型態,縣市代碼,設置單位,地址,連絡電話,聯絡人,更新年度
衛生局(所),10009,斗南鎮衛生所,雲林縣斗南鎮福德街153號,05-5973329,蘇麗花,2020
衛生局(所),10009,古坑鄉衛生所,雲林縣古坑鄉西平村中山路391號,05-5821132,蔡宜君,2020
衛生局(所),10009,林內鄉衛生所,雲林縣林內鄉林中村新興路54號,05-5892273,廖容君,2020
衛生局(所),10009,莿桐鄉衛生所,雲林縣莿桐鄉和平路53-2號,05-5842575,王懷葶,2020
衛生局(所),10009,大埤鄉衛生所,雲林縣大埤鄉北和村中山路4號,05-5912214,吳苡瑄,2020
衛生局(所),10009,虎尾鎮衛生所,雲林縣虎尾鎮公安里明正路11號,05-6322211,陳綉鳳,2020
衛生局(所),10009,土庫鎮衛生所,雲林縣土庫鎮中正里中山路254號,05-6622638,林姿伊,2020
衛生局(所),10009,褒忠鄉衛生所,雲林縣褒忠鄉中勝村添財街21號,05-6972004,鄒惠雅,2020
衛生局(所),10009,東勢鄉衛生所,雲林縣東勢鄉東南村懷恩街40號,05-6991190,楊惠茹,2020
衛生局(所),10009,台西鄉衛生所,雲林縣台西鄉民生路36號,05-6982148,吳佳容,2020
衛生局(所),10009,西螺鎮衛生所,雲林縣西螺鎮福興里修文路110號,05-5873140,周惠玲,2020
衛生局(所),10009,二崙鄉衛生所,雲林縣二崙鄉崙西村中興路9號,05-5982004,蔡曉惠,2020
衛生局(所),10009,崙背鄉衛生所,雲林縣崙背鄉南陽村南光路34號,05-6962009,李娟如,2020
衛生局(所),10009,麥寮鄉衛生所,雲林縣麥寮鄉麥豐村光復路4號,05-6932268,林慧真,2020
衛生局(所),10009,北港鎮衛生所,雲林縣北港鎮新街里北辰路3號,05-7832103,曾筱茜,2020
衛生局(所),10009,元長鄉衛生所,雲林縣元長鄉長南村元中路8號,05-7882004,鄭羽惠,2020
衛生局(所),10009,四湖鄉衛生所,雲林縣四湖鄉施湖村中山西路118號,05-7872890,陳岳岑,2020
衛生局(所),10009,水林鄉衛生所,雲林縣水林鄉水北村水林路8號,05-7852612,吳敏如,2020
衛生局(所),10009,口湖衛生所,雲林縣口湖鄉湖東村中正路一段114號,05-7892004,魏秋霞,2020
衛生局(所),10020,西區衛生所,嘉義市德明路1號,05-2337355#225,鄭凱云,2020
衛生局(所),10020,東區衛生所,嘉義市大雅路二段625號,05-2750423#207,沈妗芳,2020
衛生局(所),10010,"嘉義縣衛生局
(慢性防治所)",嘉義縣太保市祥和二路東段3號,05-3620608,吳碧霞,2020
衛生局(所),10010,朴子市衛生所,嘉義縣朴子市光復路40號,05-3792037,陳孟茹,2020
衛生局(所),10010,布袋鎮衛生所,嘉義縣布袋鎮新厝里21號,05-3472032,蔡甯瑜,2020
衛生局(所),10010,太保市衛生所,嘉義縣太保市後潭里443號,05-3711273,林怡伶,2020
衛生局(所),10010,大林鄉衛生所,嘉義縣大林鎮中山路252號,05-2652042,王聖棻,2020
衛生局(所),10010,民雄鄉衛生所,嘉義縣民雄鄉中樂村文化路7-2號,05-2262018,陳郁雯,2020
衛生局(所),10010,溪口鄉衛生所,嘉義縣溪口鄉溪北村中山路1號,05-2691046,李秀蓮,2020
衛生局(所),10010,新港鄉衛生所,嘉義縣新港鄉中山路167號,05-3742025,蔡旼婷,2020
衛生局(所),10010,六腳鄉衛生所,嘉義縣六腳鄉蒜頭村73-1號,05-3802016,廖慧如,2020
衛生局(所),10010,東石鄉衛生所,嘉義縣東石鄉東石村3-7號,05-3732340,黃詩婷,2020
衛生局(所),10010,義竹鄉衛生所,嘉義縣義竹鄉仁里村14鄰422-1號,05-3415555,曹櫻襦,2020
衛生局(所),10010,鹿草鄉衛生所,嘉義縣鹿草鄉西井村長壽路226巷2號,05-3752080,洪怡嘉,2020
衛生局(所),10010,水上鄉衛生所,嘉義縣水上鄉水上村正義路145號,05.2682059、2685721、2685201,陳嘉惠,2020
衛生局(所),10010,中埔衛生所,嘉義縣中埔鄉中埔村130-1號,"05-2531008
05-2530085",林惠如,2020
衛生局(所),10010,竹崎鄉衛生所,嘉義縣竹崎鄉文化路19-1號,05-2611264,丘幸平,2020
衛生局(所),10010,梅山鄉衛生所,嘉義縣梅山鄉華山路18號,05-2621049,吳亮賢,2020
衛生局(所),10010,番路鄉衛生所,嘉義縣番路鄉下坑村2鄰菜公店60號,05-2591148,魏銘正,2020
衛生局(所),10010,大埔鄉衛生所,嘉義縣大埔鄉大埔村53-1號,05-2521214,李駿紘,2020
衛生局(所),10010,阿里山鄉衛生所,嘉義縣阿里山鄉樂野村3鄰97-2號,05-2561573,石孟潔,2020
衛生局(所),10021,新營區衛生所,新營區三民路72號,06-6355696,楊蕙如,2020
衛生局(所),10021,鹽水區衛生所,鹽水區武廟路1號,06-6521041,羅筱婷,2020
衛生局(所),10021,白河區衛生所,白河區國光路5號,06-6852014,鄭詠聰,2020
衛生局(所),10021,麻豆區衛生所,麻豆區興國路11-1號,06-5722215,許瑞娟,2020
衛生局(所),10021,佳里區衛生所,佳里區進學路159號,06-7215025,李侞蓁,2020
衛生局(所),10021,新化區衛生所,新化區健康路143號,06-5906025,張書錦,2020
衛生局(所),10021,善化區衛生所,善化區中山路200號,06-5837035,蔡嬿偵,2020
衛生局(所),10021,學甲區衛生所,學甲區建國路38號,06-7833359,陳秋燕,2020
衛生局(所),10021,柳營區衛生所,柳營區士林里54-5號,06-6220464,吳麗玲,2020
衛生局(所),10021,後壁區衛生所,後壁區後壁里3號,06-6872624,李姵儀,2020
衛生局(所),10021,東山區衛生所,東山區東山里236號,06-6802618,黃素琴,2020
衛生局(所),10021,下營區衛生所,下營區中山路2段137號,06-6892149,黃明裕,2020
衛生局(所),10021,六甲區衛生所,六甲區中華路110號,06-6982013,李沂臻,2020
衛生局(所),10021,官田區衛生所,官田區中山路1段128號,06-5791493,黃婉菁,2020
衛生局(所),10021,大內區衛生所,大內區大內里2號,06-5761044,黃淑玲,2020
衛生局(所),10021,西港區衛生所,西港區西港里中山路368號,06-7952338,陳貞君,2020
衛生局(所),10021,七股區衛生所,七股區大埕里379號,06-7872277,康雯惠,2020
衛生局(所),10021,將軍區衛生所,將軍區忠興里185-6號,06-7942007,李瓊玟,2020
衛生局(所),10021,北門區衛生所,北門區永隆里50號,06-7862043,王鈺娟,2020
衛生局(所),10021,新市區衛生所,新市區中興街12號,06-5992504,黃巧育,2020
衛生局(所),10021,安定區衛生所,安定區安定里59-1號,06-5922022,林聰立,2020
衛生局(所),10021,山上區衛生所,山上區山上里201-15號,06-5781013,顏邑庭,2020
衛生局(所),10021,玉井區衛生所,玉井區中正路5號,06-5742275,沈杏芬,2020
衛生局(所),10021,楠西區衛生所,楠西區中正路226號,06-5751006,李昭憲,2020
衛生局(所),10021,南化區衛生所,南化區南化里226-1號,06-5771139,蔡淑娟,2020
衛生局(所),10021,左鎮區衛生所,左鎮區中正里172-15號,06-5731114,吳孟禪,2020
衛生局(所),10021,仁德區衛生所,仁德區中山路606巷2號,06-2704153,廖嘉慧,2020
衛生局(所),10021,歸仁區衛生所,歸仁區中正北路1段1號,06-2393309,洪千雅,2020
衛生局(所),10021,關廟區衛生所,關廟區中正路1000號,06-5952395,陳曉芸,2020
衛生局(所),10021,龍崎區衛生所,龍崎區崎頂里新市子158號,06-5941397,李韶玲,2020
衛生局(所),10021,永康區衛生所,永康區文化路51號,06-2326507,李麗萍,2020
衛生局(所),10021,東區衛生所,東區林森路一段418號,06-2674085,周瑞鈴,2020
衛生局(所),10021,南區衛生所,南區南和路6號,06-2618578,黃美淑,2020
衛生局(所),10021,北區衛生所,北區西華街50號,06-2252404,黃雪娥,2020
衛生局(所),10021,中西區衛生所,中西區環河街94號,06-2252405,莊枚欣,2020
衛生局(所),10021,安平區衛生所,安平區育平路310號,06-2996885,楊顏禎,2020
衛生局(所),10021,安南區衛生所,安南區仁安路70號,06-2567406,沈冠佑,2020
衛生局(所),64000,疾病管制處,高雄市苓雅區凱旋二路132-1號,"07-7134000-1349
0912195258",張簡英茹,2020
衛生局(所),64000,仁武區衛生所,高雄市仁武區地政街23號,07-3711434,侯靜萍,2020
衛生局(所),64000,內門區衛生所,高雄市內門區觀亭里中埔頭20號,"07-6671088-31
",陳梅桂,2020
衛生局(所),64000,左營區衛生所,高雄市左營區進學路4號,07-5817191-25,李欣嬡,2020
衛生局(所),64000,林園區衛生所,高雄市林園區林園北路186號,07-6412404,洪智萍,2020
衛生局(所),64000,阿蓮區衛生所,高雄市阿蓮區民生路94-1號,07-6317141,黃泱稷,2020
衛生局(所),64000,美濃區衛生所,高雄市美濃區美中路246號,07-6812064-21,吳秀貞,2020
衛生局(所),64000,茄萣區衛生所,高雄市茄萣區濱海路二段1號,"07-6988850
07-6989275",陳月嬌,2020
衛生局(所),64000,桃源區衛生所,高雄市桃源區桃源里南進巷188-1號,"07-6861126-308
",謝湘宜,2020
衛生局(所),64000,楠梓區衛生所,高雄市楠梓區楠梓路202號,"07-3512110-307
",王維儀,2020
衛生局(所),64000,路竹區衛生所,高雄市路竹區國昌路86巷22號,"07-6962449-225
",魏玫儀,2020
衛生局(所),64000,鼓山區衛生所,高雄市鼓山區登山街16號,07-5315753-206,莊明芳,2020
衛生局(所),64000,鳳山區衛生所,高雄市鳳山區經武路34巷2號,07-7430437-63,莊馥蕙,2020
衛生局(所),64000,"鳳山區
第二衛生所",高雄市鳳山區林森路141號,07-8216939-216,邱雪貞,2020
衛生局(所),64000,小港區衛生所,高雄市小港區小港二街10號,"07-8218802-30
",楊秀富,2020
衛生局(所),64000,甲仙區衛生所,高雄市甲仙區中山路52號,"07-6751029-205
",劉彥芝,2020
衛生局(所),64000,湖內區衛生所,高雄市湖內區湖中路203號,"07-6993009-21
",陳麗姿,2020
衛生局(所),64000,岡山區衛生所,高雄市岡山區公園路50號,07-6212015,沈育君,2020
衛生局(所),64000,六龜區衛生所,高雄市六龜區民治路16號,"07-6891244-24
",陳靜慧,2020
衛生局(所),64000,那瑪夏區衛生所,高雄市那瑪夏區瑪雅里252號,"07-6701142-317
",邱穎嫥,2020
衛生局(所),64000,前鎮區衛生所,高雄市苓雅區凱旋二路132-1號,07-8414687-12,詹懿珈,2020
衛生局(所),64000,茂林區衛生所,高雄市茂林區茂林里8-4號,"07-6801046-25
",鄭可馨,2020
衛生局(所),64000,梓官區衛生所,高雄市梓官區梓信里公館路45號,07-6177331,盧宥廷,2020
衛生局(所),64000,鳥松區衛生所,高雄市鳥松區鳥松里文前路文北巷1弄4號,07-7316404,黃麗端,2020
衛生局(所),64000,新興衛生所,高雄市新興區中正三路25號4樓,"07-2294121-27
",辜麗禎,2020
衛生局(所),64000,彌陀區衛生所,高雄市彌陀區中華路1巷5弄1號,07-6175307,陳秀梅,2020
衛生局(所),64000,三民區第二衛生所,高雄市三民區三民街222號2樓,"07-2154156-23
",蕭如伶,2020
衛生局(所),64000,杉林區衛生所,高雄市杉林區上平里山仙路9 3巷2號,"07-6771319-130
",黃惠萍,2020
衛生局(所),64000,苓雅區衛生所,高雄市苓雅區民權一路85號3F,"07-5360559-19
",廖書岑,2020
衛生局(所),64000,三民一區衛生所,高雄市三民區鼎山街660號,"07-3820492
",翁婉華,2020
衛生局(所),64000,旗津區衛生所,高雄市三民區鼎山街661號,07-5712820,林可晴,2020
衛生局(所),64000,大寮區衛生所,高雄市大寮區進學路129巷2號之1,07-7811965-20,韓世琦,2020
衛生局(所),64000,大樹區衛生所,高雄市大樹區中興北路120號,07-6512935,黃靜惠,2020
衛生局(所),64000,大社區衛生所,高雄市大社區自強街7號,07-352-9924,鍾禮如,2020
衛生局(所),64000,橋頭區衛生所,高雄市橋頭區隆豐路5號,07-611-2203,張文瓊,2020
衛生局(所),64000,燕巢區衛生所,高雄市燕巢區南燕里中興路2號,07-616-0292,黃聖惠,2020
衛生局(所),64000,田寮區衛生所,高雄市田寮區南安里崗北路32號,07-636-1746,蔡宛錚,2020
衛生局(所),64000,永安區衛生所,高雄市永安區永安路 26號,07-6911849,蔡靜芬,2020
衛生局(所),64000,旗山區衛生所,高雄市旗山區中正路197號,07-6627836,鄭如宜,2020
衛生局(所),10016,馬公市第一衛生所,澎湖縣馬公市樹德路36號,"06-9273954
06-9273958",朱方怡,2020
衛生局(所),10016,馬公市第二衛生所,澎湖縣馬公市鎖港里240號,06-9951354,蘇婉禎,2020
衛生局(所),10016,湖西鄉衛生所,澎湖縣湖西鄉湖西村151-1號,06-9921271,陳麗娟,2020
衛生局(所),10016,白沙鄉衛生所,澎湖縣白沙鄉赤崁村359號,06-9931044,許雅珍,2020
衛生局(所),10016,西嶼鄉衛生所,澎湖縣西嶼鄉池東村71-1號,06-9981115,鐘素月,2020
衛生局(所),10016,望安鄉衛生所,澎湖縣望安鄉西安村36之7號,06-9991036,許瓊云,2020
衛生局(所),10016,七美鄉衛生所,澎湖縣七美鄉中和村54號,06-9971005,林慧瑋,2020
衛生局(所),10013,屏東縣政府衛生局,屏東市自由路272號,(08)7379006,蔡紫琳,2020
衛生局(所),10013,屏東市衛生所,屏東縣屏東市建國路92號,(08)7538701,李明遠,2020
衛生局(所),10013,潮州鎮衛生所,屏東縣潮州鎮永坤路107號,(08)7882131,林佳美,2020
衛生局(所),10013,東港鎮衛生所,屏東縣東港鎮        新生三路23號,(08)8325310,許宜婷,2020
衛生局(所),10013,恆春鎮衛生所,屏東縣恆春鎮文化路78號,(08)8892140,李玫,2020
衛生局(所),10013,萬丹鄉衛生所,屏東縣萬丹鄉四維村萬丹路5號,(08)7772049,阮玉燕,2020
衛生局(所),10013,長治鄉衛生所,屏東縣長治鄉進興村潭頭路3號,(08)7368734,許素綾,2020
衛生局(所),10013,九如鄉衛生所,屏東縣九如鄉九如路  2段247號,(08)7392006,鄭淑惠,2020
衛生局(所),10013,麟洛鄉衛生所,屏東縣麟洛鄉麟洛村中山路156-1號,(08)7221152,紀玉姿,2020
衛生局(所),10013,里港鄉衛生所,屏東縣里港鄉大平村中山路103-1號,(08)7751711,鄭靜宜,2020
衛生局(所),10013,高樹鄉衛生所,屏東縣高樹鄉長榮村 南昌路12-2號,(08)7962026,廖志宏,2020
衛生局(所),10013,鹽埔鄉衛生所,屏東縣鹽埔鄉顏北村勝利路187號,(08)7932474,薛曉秦,2020
衛生局(所),10013,內埔鄉衛生所,屏東縣內埔鄉內埔村中興路191號,(08)7792414,江怡君,2020
衛生局(所),10013,萬巒鄉衛生所,屏東縣萬巒鄉萬全村褒忠路14-2號,(08)7810327,張瀠心,2020
衛生局(所),10013,竹田鄉衛生所,屏東縣竹田鄉竹田村中山路25號,(08)7712434,張樺欣,2020
衛生局(所),10013,新埤鄉衛生所,屏東縣新埤鄉新埤村 中正路38號,(08)7971090,賴汶婷,2020
衛生局(所),10013,枋寮鄉衛生所,屏東縣枋寮鄉枋寮村德興路77號,(08)8782940,李潮瑩,2020
衛生局(所),10013,新園鄉衛生所,屏東縣新園鄉仙吉村仙吉路89-2號,(08)8681293,黃雅琪,2020
衛生局(所),10013,崁頂鄉衛生所,屏東縣崁頂鄉崁頂村興農路29-9號,(08)8631454,許惠茹,2020
衛生局(所),10013,林邊鄉衛生所,屏東縣林邊鄉光林村和平路45號,(08)8752076,羅紫藍,2020
衛生局(所),10013,佳冬鄉衛生所,屏東縣佳冬鄉六根村佳和路87-1號,(08)8662018,鍾意美,2020
衛生局(所),10013,琉球鄉衛生所,屏東縣琉球鄉本福村中山路51號,(08)8612513,許燕君,2020
衛生局(所),10013,滿州鄉衛生所,屏東縣滿州鄉滿州村中山路31號,(08)8801279,賴雅文,2020
衛生局(所),10013,南州鄉衛生所,屏東縣南州鄉溪南村4鄰人和路239號,(08)8642224,余秀琴,2020
衛生局(所),10013,車城鄉衛生所,屏東縣車城鄉福安村福安路2-30號,(08)8821300,許德誠,2020
衛生局(所),10013,枋山鄉衛生所,屏東縣枋山鄉枋山村枋山路98號,(08)8761150,蔡孟瑤,2020
衛生局(所),10013,三地門鄉衛生所,屏東縣三地門鄉三地村行政街4號,(08)7991284,潘麗玲,2020
衛生局(所),10013,瑪家鄉衛生所,屏東縣瑪家鄉北葉村風景巷86號,(08)7991164,林霏,2020
衛生局(所),10013,霧台鄉衛生所,屏東縣霧台鄉霧台村神山巷68號,(08)7902480,黃芳渝,2020
衛生局(所),10013,泰武鄉衛生所,屏東縣泰武鄉佳平村179號,(08)7832059,高霏霏,2020
衛生局(所),10013,來義鄉衛生所,屏東縣來義鄉古樓村中正路90號,(08)7850103,曾明娘,2020
衛生局(所),10013,春日鄉衛生所,屏東縣春日鄉春日村春日路176號,(08)8780358,澎瓊慧,2020
衛生局(所),10013,獅子鄉衛生所,屏東縣獅子鄉楓林村  2巷31號,(08)8771324,郭曼華,2020
衛生局(所),10013,牡丹鄉衛生所,屏東縣牡丹鄉石門村石門路19號,(08)8831013,郭玉蓮,2020
衛生局(所),10015,花蓮縣衛生局,花蓮縣花蓮市新興路200號,03-8227141#318,張凱翔,2020
衛生局(所),10015,花蓮市衛生所,花蓮縣花蓮市新興路200號,03-8230232#218,吳佩芬,2020
衛生局(所),10015,吉安鄉衛生所,花蓮縣吉安鄉吉安路2段132號,03-8521113,方秀山,2020
衛生局(所),10015,新城鄉衛生所,花蓮縣新城鄉北埔村北埔路160號,03-8266781#214,陳明春,2020
衛生局(所),10015,秀林鄉衛生所,花蓮縣秀林鄉秀林路88號,03-8612123,彭惠敏,2020
衛生局(所),10015,壽豐鄉衛生所,花蓮縣壽豐鄉壽豐村公園路28巷10號,03-8652101,時玲玲,2020
衛生局(所),10015,鳳林鎮衛生所,花蓮縣鳳林鎮公正街8-1號,03-8761116-7,黎一婷,2020
衛生局(所),10015,光復鄉衛生所,花蓮縣光復鄉大馬村中學街158號,03-8701114,劉淑容,2020
衛生局(所),10015,萬榮鄉衛生所,花蓮縣萬榮鄉萬榮村1鄰12號,03-8751651,彭小玲,2020
衛生局(所),10015,瑞穗鄉衛生所,花蓮縣瑞穗鄉民生街75號,03-8872045,許嗣壕,2020
衛生局(所),10015,玉里鎮衛生所,花蓮縣玉里鎮中正路152號,03-8882046,王之瑜,2020
衛生局(所),10015,卓溪鄉衛生所,花蓮縣卓溪鄉卓溪村中正65號,03-8881238,高秋利,2020
衛生局(所),10015,富里鄉衛生所,花蓮縣富里鄉中山路203號,03-8831029,張津碩,2020
衛生局(所),10015,豐濱鄉衛生所,花蓮縣豐濱鄉(村)31鄰光豐路39號,"03-8791156
03-8791590",黃珮瑜,2020
衛生局(所),10014,臺東縣衛生局,臺東縣臺東市博愛路336號,089-352995,廖思涵,2020
衛生局(所),10014,臺東縣臺東市衛生所,臺東市大同路51號,089-350757,沈玫燕,2020
衛生局(所),10014,臺東縣卑南鄉衛生所,臺東縣卑南鄉太平村和平路132號,089-382042,陳立人,2020
衛生局(所),10014,臺東縣延平鄉衛生所,臺東縣延平鄉桃源村1鄰昇平路11號,089-561040,林芝心,2020
衛生局(所),10014,臺東縣鹿野鄉衛生所,臺東縣鹿野鄉鹿野村中華路一段418號,089-551074,林玫秀,2020
衛生局(所),10014,臺東縣關山鎮衛生所,臺東縣關山鎮中華路78號,089-811042,張宜玲,2020
衛生局(所),10014,臺東縣海端衛生所,臺東縣海端鄉海端村山界29號,089-931391,呂凱晶,2020
衛生局(所),10014,臺東縣池上鄉衛生所,臺東縣池上鄉中山路104號,089-862609,謝秋貞,2020
衛生局(所),10014,臺東縣東河鄉衛生所,臺東縣臺東縣東河鄉東河村10鄰300號,089-896482,戴伶玲,2020
衛生局(所),10014,臺東縣成功鎮衛生所,臺東縣成功鎮中山東路64號,089-851419,王淑琴,2020
衛生局(所),10014,臺東縣長濱鄉衛生所,臺東縣長濱鄉長濱村7鄰46號,089-831022,董瑞玲,2020
衛生局(所),10014,臺東縣太麻里鄉衛生所,臺東縣太麻里鄉泰和村2鄰民權路66號,089-781220,陳惠敏,2020
衛生局(所),10014,臺東縣金峰鄉衛生所,臺東縣金峰鄉賓茂村14號,089-771176,鍾曜仲,2020
衛生局(所),10014,臺東縣大武鄉衛生所,臺東縣大武鄉濱海路100號,089-791143,黃佩甄,2020
衛生局(所),10014,臺東縣達仁鄉衛生所,臺東縣達仁鄉安朔村13鄰復興路122號,089-702209,謝志堅,2020
衛生局(所),10014,臺東縣綠島鄉衛生所,臺東縣綠島鄉中寮村1號,089-672511,鄭莉君,2020
衛生局(所),10014,臺東縣蘭嶼鄉衛生所,臺東縣蘭嶼鄉紅頭村紅頭36-1號,089-732557,巫家驊,2020
民間團體,63000,財團法人台灣紅絲帶基金會,台北市大同區南京西路410號8樓,02-25592059,周順瑛,2020
民間團體,63000,Gisneyland紅樓部屋,台北市萬華區成都路10 巷19號2樓,02-23611069,賴偉恩,2020
民間團體,63000,社團法人台灣預防醫學學會-希望工作坊,台北市中正區羅斯福路2段70號9樓之4,02-23920010,賓老師,2020
民間團體,63000,社團法人台灣同志諮詢熱線協會,台北市中正區羅斯福路二段70號12樓,02-23921969 (週一至週五14:00-22:00),杜思誠,2020
民間團體,10019,社團法人中華民國台灣懷愛協會,台中市南區建國北路一段110號(研究大樓13樓),04-24730022#11722,李夢萍,2020
民間團體,64000,社團法人台灣愛之希望協會,高雄市鼓山區龍文街31號5樓,07-5500225,吳孟姿,2020
