No,Disease,Question,Answer1,Answer2,Answer3,Answer4
210,流行性腮腺炎,腮腺炎有什麼併發症?,20～30％成年男性會併發睪丸炎，多為單側，若為雙側，可能導致不孕；5％成年女性則可能併發卵巢炎，但很少會引發不孕症,"流行性腮腺炎在早期或晚期常侵犯中樞神經系統而造成無菌性腦膜炎。併發腦炎之發生率為1-2/100,000，平均致死率為1％",,
211,流行性腮腺炎,腮腺炎有哪些高風險族群?,"主要是未接種疫苗的民眾,尤其是4~9歲的孩童",孕婦於懷孕最初3個月感染會增加流產的機率,,
212,流行性腮腺炎,腮腺炎傳染途徑為何？,這問題非常好！它會經飛沫及直接接觸感染病人之唾液傳染,,,
213,流行性腮腺炎,腮腺炎潛伏期和可傳染期,腮腺炎的潛伏期約12-25天，一般為18天,那發生前7天至發生後9天就有傳染力，發病前48小時至發病後5日感染力最強，病發後15天內尿液中仍可能帶病毒,就算無感染症狀也具有傳染性！,
214,流行性腮腺炎,腮腺炎的國內流行期,全年均有通報病例,,,
215,流行性腮腺炎,腮腺炎流行地區有哪些?,腮腺炎的流行遍及全世界，人類為唯一的宿主與傳染族群,,,
216,流行性腮腺炎,如何預防腮腺炎?,主要就是依循國內常規預防接種時程施打MMR疫苗並維持良好的個人及環境衛生,,,
217,流行性腮腺炎,除了接種疫苗外的腮腺炎預防方法?,好問題！首先要維持良好的個人及環境衛生，記得保持雙手清潔，並用正確的方法洗手,同時保持室內空氣流通，避免長期處於密閉空間內,,
218,流行性腮腺炎,何時需要進行腮腺炎的預防接種?,這問題非常好！一般是出生滿12個月，及滿5歲至入國小前各接種一劑「麻疹、腮腺炎、德國麻疹（MMR）混合疫苗」,,,
219,流行性腮腺炎,我可以公費接種腮腺炎疫苗嗎？,"目前政府針對以下對象提供公費MMR疫苗接種：
 1.幼兒常規預防接種、學幼童補接種
 2.經檢驗德國麻疹抗體呈陰性之育齡婦女(15-49歲)",,,
220,流行性腮腺炎,接種腮腺炎疫苗前要經過醫師評估？,沒錯！用來預防麻疹、腮腺炎及德國麻疹的MMR疫苗雖然是一種安全有效之疫苗，但接種前仍須先經醫師的詳細評估診察，以確認你的身體健康狀況，以及是否有疫苗使用禁忌症等，再決定可不可以接種,,,
221,流行性腮腺炎,接種腮腺炎疫苗需要額外付費嗎？,自費接種MMR疫苗所需費用，一劑大約是$280~$500元，掛號及診療費約是$250~700元,不過價格僅供參考，實際供應價格請以醫院公告為準,,
222,流行性腮腺炎,我現在適合接種腮腺炎疫苗嗎？,"目前以下的情況是不建議接種麻疹疫苗的：
 1.已知對「蛋」之蛋白質或疫苗的成份有嚴重過敏者，不予接種
 2.孕婦不宜接種，女性接種後4週內應避免懷孕
 3.已知患有嚴重免疫缺失者不宜接種
 4.發燒或正患有急性中重度疾病者，宜待病情穩定後再接種",若還有相關疑慮，你可以再洽詢醫師做進一步評估,,
223,流行性腮腺炎,我想了解腮腺炎疫苗或預防藥品,簡單來說MMR疫苗是用來預防麻疹、腮腺炎、德國麻疹的活性減毒疫苗，接種1劑MMR疫苗對於流行性腮腺炎的保護力可達80％，接種2劑MMR疫苗更可達90％,,,
224,流行性腮腺炎,腮腺炎疫苗該接種幾劑？,幼兒常規預防接種為兩劑。育齡婦女之公費施打為1劑。其他自費部分可以請醫師評估接種劑數,,,
225,流行性腮腺炎,腮腺炎疫苗保護力可以持續多久？,由於抗體濃度在個體間的差異極大，因此最好的方法是接受血液抗體濃度檢測後，再視情況追加施打,,,
226,流行性腮腺炎,接種腮腺炎疫苗後要注意什麼？,若接種後出現副作用或感到不適請至附近醫療院所就診,那女性接種後4週內應避免懷孕,,
227,流行性腮腺炎,這是接種腮腺炎疫苗的副作用嗎？,接種MMR疫苗後，局部反應較少。麻疹疫苗成分，約5-10%施打對象在接種後5-12天，會有皮疹、咳嗽、鼻炎或發燒等症狀,,,
228,流行性腮腺炎,接種腮腺炎疫苗後有副作用該怎麼辦？,請儘速至附近醫療院所就醫,,,
229,流行性腮腺炎,疑似感染腮腺炎了怎麼辦？,"若出現發燒、腮腺腫大等疑似症狀時，請戴上口罩儘速就醫,並主動告知醫師你的可能接觸史",,,
230,流行性腮腺炎,罹患腮腺炎要注意什麼？,好問題！建議患者自腮腺(耳下腺)腫大起隔離5日，儘量避免上學或上班，期間同時應遵循呼吸道衛生與咳嗽禮節,另外要保持室內通風，定期消毒環境,,
231,流行性腮腺炎,罹患腮腺炎有需要隔離？,患者應自腮腺腫大之日起隔離5日，期間同時應遵循呼吸道衛生與咳嗽禮節，避免傳染給親友,,,
232,流行性腮腺炎,罹患腮腺炎可以上班上課？,病人應該在腮腺腫大那天起，請假至少5天，期間同時應遵循呼吸道衛生與咳嗽禮節,,,
233,流行性腮腺炎,疑似罹患腮腺炎要去哪裡就醫？,"若出現發燒、腮腺腫大等疑似症狀時，請戴上口罩，儘速至附近醫療院所就醫,並主動告知可能接觸史",,,
234,流行性腮腺炎,腮腺炎要怎麼治療？,這問題非常好！一般無特殊治療，以支持療法為主，例如多臥床休息、適當補充體液、給予退燒藥等,,,
235,流行性腦脊髓膜炎,什麼是流行性腦脊髓膜炎？,簡單來說流行性腦脊髓膜炎是由腦膜炎雙球菌引起的腦膜炎，是一種呼吸道傳染病，主要由飛沫與接觸傳染,,,
236,流行性腦脊髓膜炎,流行性腦脊髓膜炎會有什麼症狀？,好問題！常見症狀有發燒、劇烈頭痛、噁心、嘔吐、頸部僵直、畏光及神經學症狀，如精神錯亂（譫妄)、瘀斑（purpura）、休克、急性腎上腺出血及多重器官衰竭等症狀,1歲以下的嬰兒的臨床症狀不典型也不容易察覺，常只有發燒、嘔吐，還可能會出現躁動不安、哭叫、不易餵食、張力低下等症狀，另有囪門突出的情形，但頸部不一定會僵直,,
237,流行性腦脊髓膜炎,罹患流行性腦脊髓膜炎的嚴重性？,據統計，流行性腦脊髓膜炎（Meningococcal meningitis）患者即使給予合適抗生素治療，致死率仍有10%~15%,而感染後未經腦脊髓膜炎症狀，直接進展至流行性腦脊髓膜炎敗血症者之致死率可高達40%，且存活者中有20%產生相關後遺症,,
238,流行性腦脊髓膜炎,流行性腦脊髓膜炎有什麼併發症?,會常以急性嚴重之併發症狀出現，如腦膜炎、菌血症及敗血症等，並容易造成後遺症,,,
239,流行性腦脊髓膜炎,流行性腦脊髓膜炎有哪些高風險族群?,持續性補體缺損、脾臟功能缺損、人類免疫缺乏病毒感染者為易感染流行性腦脊髓膜炎的高危險族群，請特別注意,,,
240,流行性腦脊髓膜炎,流行性腦脊髓膜炎傳染途徑為何？,主要是因為直接接觸感染者的喉嚨和鼻腔分泌物，也可經飛沫傳染，甚至是經由接觸無症狀的帶菌者而被感染,不過腦膜炎雙球菌通常須透過親密（咳嗽或親吻）或長時間接觸才能有效傳播,,
241,流行性腦脊髓膜炎,流行性腦脊髓膜炎潛伏期和可傳染期,潛伏期約2~10天，通常為3~4天,只要腦膜炎雙球菌存在人體鼻腔或咽部分泌物中，就有可能傳染，直到接受適當的抗生素治療後24小時，口鼻不再帶菌為止,,
242,流行性腦脊髓膜炎,流行性腦脊髓膜炎流行地區有哪些?,流行性腦脊髓膜炎是全球性的疾病，最主要的流行地區位於撒哈拉沙漠以南橫跨非洲中部的「非洲流腦帶」地區,人口聚集場所或活動也較容易造成疾病傳播，過去在伊斯蘭教朝覲經常發生流行疫情,,
243,流行性腦脊髓膜炎,如何預防流行性腦脊髓膜炎?,主要就是維持良好的個人及環境衛生，並改善居住和工作環境的擁擠度，如軍營、學校,病患與照顧者應妥善處理口鼻分泌物，並於處理後立即洗手,如果有需要前往流行地區可依醫師評估接種疫苗,
244,流行性腦脊髓膜炎,除了接種疫苗外的流行性腦脊髓膜炎預防方法?,這問題非常好！首先要維持良好的個人及環境衛生，病患應遵循呼吸道衛生與咳嗽?節,再來就是要保持室內空氣流通，避免長期處於密閉空間內，避免到過度擁擠、通風不良的場所，並改善居住和工作環境的擁擠度，如軍營、學校,病患與照顧者應妥善處理口鼻分泌物，並於處理後立即洗手,
245,流行性腦脊髓膜炎,何時需要進行流行性腦脊髓膜炎的預防接種?,好問題！欲前往流行性腦脊髓膜炎高風險地區，建議於出國10天前先行接種流行性腦脊髓膜炎疫苗,依部分國外學校規定，留學生就學前須檢附流行性腦脊髓膜炎疫苗之接種證明,,
246,流行性腦脊髓膜炎,我可以公費接種流行性腦脊髓膜炎疫苗嗎？,目前接種流行性腦脊髓膜炎疫苗須自費,,,
247,流行性腦脊髓膜炎,接種流行性腦脊髓膜炎疫苗前要經過醫師評估？,沒錯！流行性腦脊髓膜炎疫苗雖然是一種安全有效之疫苗，但接種前必須先經醫師的詳細評估診察，以確認個案身體健康狀況，以及是否有疫苗使用禁忌症等，再決定可不可以接種,,,
248,流行性腦脊髓膜炎,接種流行性腦脊髓膜炎疫苗需要額外付費嗎？,"自費接種流行性腦脊髓膜炎疫苗所需費用，施打一劑是$1,189元，掛號及診療費約是$250~700元",,,
249,流行性腦脊髓膜炎,我現在適合接種流行性腦脊髓膜炎疫苗嗎？,未滿12個月之嬰幼兒及對疫苗成分過敏者，包含接種含破傷風類毒素成份疫苗曾發生不良反應者，不適合接種流行性腦脊髓膜炎疫苗。另外，高燒或罹患急性中重度疾病者建議暫緩接種,那免疫力不全患者、或正在接受免疫抑制治療者、孕婦及哺乳中婦女則需進一步由醫師評估是否適合接種,,
250,流行性腦脊髓膜炎,我想了解流行性腦脊髓膜炎疫苗或預防藥品,國內使用的流行性腦脊髓膜炎疫苗是一種不活化疫苗，可預防A、C、W-135、Y四種血清型的流行性腦脊髓膜炎,Rifampin、Ciprofloxacin、Ceftriaxone及Azithromycin都是流行性腦脊髓膜炎預防藥品，對消除腦膜炎雙球菌於鼻咽帶菌效果達90~95%，為執行預防性投藥之建議用藥,,
251,流行性腦脊髓膜炎,流行性腦脊髓膜炎疫苗有哪些種類?,流行性腦脊髓膜炎疫苗目前國內只有供應一種，屬於不活化疫苗,,,
252,流行性腦脊髓膜炎,流行性腦脊髓膜炎疫苗有哪些廠牌?,目前使用的疫苗來自美國的Sanofi Pasteur,,,
253,流行性腦脊髓膜炎,流行性腦脊髓膜炎疫苗該接種幾劑？,基本上接種一劑，建議5年追加接種一劑,,,
254,流行性腦脊髓膜炎,流行性腦脊髓膜炎疫苗保護力可以持續多久？,流行性腦脊髓膜炎疫苗在接種約10天後可產生保護力，保護力可維持5年,但9個月以下嬰兒、56(含)歲以上成人尚無足夠的安全性及有效性資料,,
255,流行性腦脊髓膜炎,接種流行性腦脊髓膜炎疫苗後要注意什麼?,接種後若有任何不適或副作用，請儘速就醫，並通知接種疫苗之醫療院所,,,
256,流行性腦脊髓膜炎,這是接種流行性腦脊髓膜炎疫苗的副作用嗎？,接種部位可能有紅腫、疼痛情形，偶爾會有倦怠、輕微發燒的症狀，約1~3天會恢復,,,
257,流行性腦脊髓膜炎,接種流行性腦脊髓膜炎後有副作用該怎麼辦？,請儘速就醫及告知疫苗接種史，並通知接種疫苗之醫療院所,,,
258,流行性腦脊髓膜炎,疑似感染流行性腦脊髓膜炎了怎麼辦？,如出現發燒、劇烈頭痛、噁心、嘔吐、頸部僵直、畏光及神經學症狀，像比如說精神錯亂或瘀斑、休克、急性腎上腺出血及多重器官衰竭等流行性腦脊髓膜炎症狀，應立即就醫，並告知醫師旅遊史,,,
259,流行性腦脊髓膜炎,罹患流行性腦脊髓膜炎要注意什麼？,這問題非常好！請配合醫護人員指示進行隔離及治療，並注意與病患密切接觸者的健康狀況,患病期間要做好個人及環境衛生，如保持室內空氣流通、注意咳嗽禮節,,
260,流行性腦脊髓膜炎,罹患流行性腦脊髓膜炎有需要隔離？,病人應持續呼吸道隔離至抗生素開始治療後24小時,,,
261,流行性腦脊髓膜炎,疑似罹患流行性腦脊髓膜炎要去哪裡就醫？,若出現疑似症狀時，請儘速至附近醫療院所就醫,,,
262,流行性腦脊髓膜炎,流行性腦脊髓膜炎要怎麼治療？,好問題！傳統上使用抗生素治療。盡早治療可以提高治癒及存活率！,,,
263,流行性腦脊髓膜炎,了解流行性腦脊髓膜炎用藥,治療首選用藥為注射合適劑量之Ceftriaxone或Penicillin，但須考量不同地區Penicillin抗藥菌株流行的狀況,所有臨床分離菌株均會執行藥敏試驗，斟酌合適臨床用藥，確保治療效果。且醫師會根據個人的病史、藥敏史、就醫紀錄酌予調整,,
264,高海拔疾病,什麼是高海拔疾病？,高海拔疾病主要是指人體處在高海拔地區時，因高海拔特殊環境所導致的健康風險，又稱「高山症」。,"隨著海拔高度的上升,會使得大氣壓力下降,導致氧氣的分壓降低。高海拔疾病通常是因為身體適應高地環境的速度趕不上高度上升的速度，導致低血氧而引起的",,
265,高海拔疾病,高海拔疾病會有什麼症狀？,這問題非常好！如果是急性高山病，會因缺氧出現頭痛、頭暈、失眠、噁心、嘔吐、厭食、虛弱等非特異性症狀，大部分的人到達高海拔地區1~12小時後會開始出現症狀，然後再2~3天後會隨著身體適應環境而緩解,少數發生急性高山病的旅客，會惡化為腦水腫，症狀包括嚴重頭痛、嗜睡、意識不清、運動失調、甚至昏迷。而步態不穩是高海拔腦水腫的重要指標,如出現高海拔肺水腫症狀，會出現運動能力變差、休息狀態下仍不停喘氣、乾咳、胸悶，隨著疾病惡化會出現呼吸困難、咳嗽帶血、發紺。致死率比另外兩種高海拔疾病更高！,
266,高海拔疾病,罹患高海拔疾病的嚴重性？,若沒有給予妥善治療或降低高度，高海拔疾病可能致死！,,,
267,高海拔疾病,高海拔疾病有哪些高風險族群？,患有心衰竭、肺動脈高壓、心肌缺氧(心絞痛)、鐮刀形貧血、任何型式肺功能不良者有較高風險,另外，高海拔疾病的發生與個人體適能無關，快速的攀升有較高機率罹患高海拔疾病,"快速攀升是指在海拔大於 2000 米以上的高度,每日上升大於 400-600米",
268,高海拔疾病,高海拔疾病易發生地區有哪些？,在海拔超過2000公尺以上的地區，都有出現高山症的風險,"常見的旅遊地區包括：
 1.國內高海拔的高山，例如:玉山、雪山、大霸尖山等
 2.國外高海拔區域，例如:青藏鐵路、尼泊爾部分區域、祕魯印加遺址城市 Cuzco等",,
269,高海拔疾病,如何預防高海拔疾病？,要避免快速上升高度，讓身體能慢慢適應高海拔環境。若預計要前往高海拔地區旅遊，活動前30天內可至海拔2750公尺以上的地區停留2天以上，有助於身體適應高地環境,你也可以諮詢旅遊醫學門診或其他具高山醫學專業的醫療人員，並依照醫師指示服用高山症預防藥物,,
270,高海拔疾病,除了預防投藥外的高海拔疾病預防方法？,好問題！一定要避免快速上升高度，讓身體能慢慢適應高海拔環境。若預計要前往高海拔地區旅遊，活動前30天內可至海拔2750公尺以上的地區停留2天以上，有助於身體適應高地環境,那在高海拔地區避免劇烈的活動、不要吸菸、不要喝酒或服用鎮靜劑/安眠藥並注意保暖。,你可以食用高碳水化合物、低脂飲食，可增加體內二氧化碳，加快呼吸速率。避免碳酸飲料及豆類等產氣食物，以減少脹氣,
271,高海拔疾病,何時需要進行高海拔疾病的預防投藥？,這問題非常好！原則上高山症預防性藥物的服用期間為登山（高度超過2750-3000公尺）前24小時到登頂後2~4天。但會因藥物不同而有些許差異,,,
272,高海拔疾病,我現在適合服用高海拔疾病的預防藥物嗎？,患蠶豆症或對磺胺類藥物過敏者不適合吃丹木斯,當有感染問題時不適合吃類固醇，而同時服用硝酸鹽類藥物的人則不適合吃威而鋼、犀利士,此外，孕婦不建議服用上述任一藥物,
273,高海拔疾病,我想了解高海拔疾病預防藥品,Acetazolamide(Diamox，丹木斯)是目前預防急性高山病、高海拔腦水腫的一線用藥；類固醇藥物Dexamethasone也有預防效果，使用上還是要遵從醫師建議,其他可能可以預防高海拔肺水腫的藥物包括鈣離子阻斷劑Nifedipine、乙型交感神經促進劑β-agonist(Salmeterol)、Tadalafil(Cialis，犀利士)、Sildenafil(Viagra，威而鋼)等,,
274,高海拔疾病,高海拔疾病的預防投藥後要注意什麼？,藥物可以降低高海拔疾病的機率及發作的嚴重度，但無法保證一定不會發生。 因此在高海拔地區仍須做好適應措施,,,
275,高海拔疾病,疑似有高海拔疾病怎麼辦？,若已出現症狀，降低高度是治療高海拔疾病最有效的唯一方式,,,
276,高海拔疾病,罹患高海拔疾病要注意什麼？,好問題！降低高度是治療高海拔疾病最有效的唯一方式。千萬不要帶著病患到更高、更不利救援的地方,發生任何高海拔疾病的患者，千萬不能落單在營地休息或獨自下撤，至少要由一位具有基本醫療知識、熟悉路況的隊員陪同,,
277,高海拔疾病,疑似罹患高海拔疾病要去哪裡就醫？,當發現自己出現疑似高山症症狀時，應趕快知會同伴，讓同行者能隨時留意你的狀況，千萬不要逞強，以免錯過了最好的治療或下撤機會！,,,
278,高海拔疾病,高海拔疾病要怎麼治療？,這問題非常好！無論症狀多輕微，都不應到海拔更高處、更不易下撤或救援的地方過夜，如果在同樣高度處休息或用藥治療後症狀沒有改善，就應降低高度,高海拔腦水腫、高海拔肺水腫患者應立刻降低高度。藥物、供應氧氣等可以當作替患者爭取救援時間的方法，但一定要立刻下降至少海拔500~1000公尺,,
279,高海拔疾病,了解高海拔疾病用藥,降低高度是治療高海拔疾病最有效的唯一方式。其他如丹木斯或類固醇藥物，除了預防外，也有治療效果，只是都沒有降低高度來得重要且有效,,,
280,高海拔疾病,高海拔疾病用藥後要注意什麼？,若用藥後出現任何不適情形或副作用，請立即停藥並諮詢開立處方的臨床醫師,,,
281,高海拔疾病,服用高海拔疾病用藥有哪些副作用？,丹木斯(Diamox)的副作用為手腳麻木、腸胃不適、噁心、多尿、口乾、急性閉角性青光眼、Steven-Johnson Syndrome,類固醇(Dexamethasone)的副作用為口乾舌燥、高血壓、高血糖、眼壓升高、青光眼等,,
282,登革熱,什麼是登革熱？,登革熱是一種藉由病媒蚊叮咬而感染登革病毒的急性傳染病，並且依據不同的血清型病毒，分為Ⅰ、Ⅱ、Ⅲ、Ⅳ四種型別，而每一型都具有能感染致病的能力,感染到某一型的登革病毒，就會對那一型的病毒具有終身免疫，但是對於其他型別的登革病毒僅具有短暫的免疫力，還是有可能再感染其他血清型別病毒,,
283,登革熱,登革熱會有什麼症狀？,每個人的體質不一樣，有些人感染登革熱症狀輕微，甚至不會出現症狀。而典型登革熱的症狀則是會有突發性的高燒（≧38℃），頭痛、後眼窩痛、肌肉痛、關節痛及出疹等現象,重複感染不同型登革病毒，可從輕微或不明顯症狀，到發燒、出疹的典型登革熱，或出現嗜睡、躁動不安、肝腫大等警示徵象，甚至可能導致嚴重出血或嚴重器官損傷的登革熱重症,,
284,登革熱,罹患登革熱的嚴重性？,若是先後感染不同型別之登革病毒，有更高機率導致較嚴重的臨床症狀，如果沒有及時就醫或治療，死亡率可以高達20%以上，所以千萬不能掉以輕心！,,,
285,登革熱,登革熱有什麼危險徵兆,發病後的第3至5天，若病情突然加劇，如發生劇烈疼痛、抽搐、昏迷、意識狀況及血壓改變等，須注意是否進展為登革熱重症,,,
286,登革熱,登革熱有哪些高風險族群,病媒蚊對於叮咬對象並無選擇性，每一個人都有可能被病媒蚊叮咬而感染登革熱,依據世界衛生組織2009年之登革熱指引，有潛在疾病因素及特定社經狀況之登革熱疑似病患，為登革熱重症的高危險群,如糖尿病、腎衰竭、慢性溶血疾病、肥胖、懷孕婦女、嬰兒、老人、獨居或偏遠地區居民等,
287,登革熱,登革熱傳染途徑為何？,登革熱的感染方式主要是藉由病媒蚊叮咬人時將登革病毒傳入人體內，並不會由人直接傳染給人，也不會經由空氣或接觸傳染,在臺灣傳播登革熱的病媒蚊為斑蚊屬，特徵是身體黑色，腳上有白斑，主要是埃及斑蚊和白線斑蚊兩種。其中埃及斑蚊喜歡棲息於室內，而白線斑蚊大多棲息於室外,,
288,登革熱,登革熱潛伏期和可傳染期,一般人感染病毒經3至8天的潛伏期後開始發病，但少數人的潛伏期可達14天,病患發病前1天至發病後5天的這段期間，稱為「可傳染期」或「病毒血症期」，因登革病毒存在於血液中，如果病患在這段期間被斑蚊叮咬，那麼這隻斑蚊將感染登革病毒,登革病毒在蚊子體內經過8至12天的增殖，這隻斑蚊就具有終身傳染病毒的能力，當牠再叮咬其他人時，就會把體內的登革病毒傳染給另一個人,
289,登革熱,登革熱的國內流行期,在境外移入病例方面，臺灣每個月都有病例發生，主要來自東南亞鄰近國家，受到登革熱疫情日益嚴峻之影響，15年來病例數逐年攀升,經基因親緣性分析顯示，每年本土疫情流行之病毒株多與當年東南亞國家流行之病毒株相近,東南亞國家登革熱疫情日趨嚴重，登革病毒侵入臺灣的相對危險性也隨之提高。依據疾病管制署歷年統計資料，每年10月至11月為登革熱流行高峰,
290,登革熱,登革熱流行地區有哪些,全球登革熱發生的地區，主要在熱帶及亞熱帶有埃及斑蚊及白線斑蚊分布的國家，包括非洲、南美洲、中東、東南亞及西太平洋地區。在部分東南亞國家如印尼、越南、泰國、菲律賓及若干中南美洲國家，已生根成為地方性傳染病,臺灣位於亞熱帶地區，像這樣有點熱、又有點溼的環境，正是蚊子最喜歡的生長環境，且臺灣全島皆有登革熱病媒蚊分布，各縣市均有發生流行疫情的風險,,
291,登革熱,如何預防登革熱,"1.清除居家戶內外積水容器（孳生源），澈底落實「巡、倒、清、刷」
 2.居家環境應該裝設紗窗、紗門，睡覺時最好掛蚊帳，可使用捕蚊燈，避免蚊蟲叮咬
 3.前往登革熱流行地區應作好防蚊措施，宜穿著淺色長袖衣褲，並在皮膚裸露處塗抹政府主管機關核可的防蚊藥劑",,,
292,登革熱,除了預防接種或投藥外的登革熱預防方法,登革熱疫苗尚未在臺灣核准上市。在我國尚未有安全、有效的疫苗被核准上市前，建議應加強自身的防蚊措施，並積極清除積水容器，杜絕病媒蚊孳生才是防治登革熱的根本之道,,,
293,登革熱,接種登革熱疫苗需要額外付費嗎？,登革熱目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！,,,
294,登革熱,我想了解登革熱疫苗或預防藥品,2015年12月全球首支登革熱疫苗問世，為法國Sanofi Pasteur藥廠所生產的Dengvaxia®，屬四價活性減毒疫苗，適用年齡為9至45歲的兒童及成人,目前已陸續在墨西哥、菲律賓、巴西及薩爾瓦多等國家核准上市，尚未在臺灣核准上市,,
295,登革熱,登革熱疫苗有哪些種類,2015年12月全球首支登革熱疫苗問世，為法國Sanofi Pasteur藥廠所生產的Dengvaxia®，屬四價活性減毒疫苗，適用年齡為9至45歲的兒童及成人。尚未在臺灣核准上市,,,
296,登革熱,登革熱疫苗有哪些廠牌,2015年12月全球首支登革熱疫苗問世，為法國Sanofi Pasteur藥廠所生產的Dengvaxia®，屬四價活性減毒疫苗，適用年齡為9至45歲的兒童及成人。尚未在臺灣核准上市,,,
297,登革熱,疑似感染登革熱了怎麼辦？,如果出現登革熱疑似症狀，應儘速就醫，並告知醫師旅遊或活動史。由於登革熱目前沒有特效藥物可治療，一般採行支持性療法，請遵照醫師指示服藥、休息、多喝水,醫療院所如遇有疑似感染登革熱的病患，將會通報衛生單位，以利政府採取相關防治措施,,
298,登革熱,罹患登革熱要注意什麼？,遵照醫師指示服藥、休息、多喝水。在您發病後5天內的這段期間仍處於「可傳染期」，登革病毒存在於血液中，應注意避免被蚊蟲叮咬，而將病毒藉由病媒蚊散播出去,生病期間建議儘量在家休息，並配合政府防疫工作，如孳生源清除、查核或緊急化學防治措施,,
299,登革熱,罹患登革熱有需要隔離？,感染登革熱並無強制隔離之必要，應於「可傳染期」（發病前1天至發病後5天）做好防蚊措施，避免被病媒蚊叮咬而將病毒散播出去。生病期間建議儘量在家休息,,,
300,登革熱,罹患登革熱可以上班上課？,生病期間建議儘量在家休息，且於「可傳染期」（發病前1天至發病後5天）做好防蚊措施，避免被病媒蚊叮咬而將病毒散播出去,,,
301,登革熱,我需要作登革熱篩檢嗎？,根據您的流行病學資料及臨床症狀，醫師如果懷疑您感染登革熱時，可使用「登革熱NS1抗原快速診斷試劑」輔助診斷,快速診斷試劑只是診斷登革熱的檢驗工具之一，如果懷疑感染登革熱，醫師還是可以幫您抽血送至疾病管制署檢驗，未必一定要用快速診斷試劑,,
302,登革熱,疑似罹患登革熱要去哪裡就醫？,如果出現發燒、頭痛、後眼窩痛、肌肉關節痛、出疹等登革熱疑似症狀，應儘速至附近的醫療院所就醫，並告知醫師旅遊或活動史，以利醫師及早診斷及通報,,,
303,登革熱,登革熱要怎麼治療？,由於目前沒有特效藥物可治療登革熱，所以感染登革熱的患者，一定要聽從醫師的囑咐，多休息、多喝水、適時服用退燒藥，通常在感染後2週左右可自行痊癒,,,
304,登革熱,臺灣傳播登革熱的病媒蚊有哪些種類？,在臺灣傳播登革熱的病媒蚊為斑蚊屬，特徵是身體黑色，腳上有白斑，主要是埃及斑蚊和白線斑蚊兩種,其中埃及斑蚊成蚊胸部兩側具有一對似七弦琴之縱線及中間一對黃色縱線，喜歡棲息於室內；白線斑蚊中胸楯板有一條白色中央縱紋，大多棲息於室外,,
305,登革熱,登革熱病媒蚊分布於臺灣哪些地區？,臺灣全島皆有登革熱病媒蚊分布，埃及斑蚊分布於嘉義布袋以南各縣市，包括嘉義縣、臺南市、高雄市、屏東縣、臺東縣（臺東市）、澎湖縣（馬公市）等,"而白線斑蚊則分布於全島平地及1,500公尺以下之山區",,
306,登革熱,什麼是病媒蚊孳生源？,病媒蚊孳生源是病媒蚊幼蟲及蛹所生長的環境，以登革熱病媒蚊而言，其幼蟲（孑孓）孳生於人工積水容器或天然積水容器內，故孳生源是指「所有積水容器」,清除所有積水容器是預防登革熱最有效的辦法，而這項工作不能單靠政府，必須大家一起參與，才能短時間內達成目的,,
307,登革熱,什麼是登革熱NS1抗原快速診斷試劑？,登革病毒的結構包括3種結構蛋白（structural protein）和7種非結構蛋白（nonstructural protein），其中非結構蛋白NS1抗原在感染初期可於感染者血清中偵測到，所以用來研發登革熱快速診斷試劑,目前市售的快速診斷試劑可用人體血清、血漿或全血來進行定性檢測，操作方法簡便，約20至30分鐘可知道檢驗結果,,
308,登革熱,公費登革熱NS1抗原快速診斷試劑的使用條件為何？,自105年12月6日起，潛伏期有國內、外登革熱流行地區活動史，或住家、活動範圍附近有登革熱陽性病患，只要距離發病尚未超過7日並符合登革熱病例定義，可使用登革熱NS1抗原快速診斷試劑，費用由疾病管制署支付，並由健保署代辦,,,
309,茲卡病毒感染症,什麼是茲卡病毒感染症？,茲卡病毒感染症是由茲卡病毒所引起的急性傳染病，這種病毒為黃病毒的一種。,主要是經由蚊子叮咬傳播，最早在1947年於烏干達的茲卡森林中的獼猴體內分離出來,目前依據基因型別分為亞洲型和非洲型兩種型別，在中非、東南亞和印度等都有發現的紀錄,
310,茲卡病毒感染症,茲卡病毒感染症會有什麼症狀？,典型的症狀是發燒（通常是微燒）、紅疹、關節痛（主要是手和腳的小關節）或結膜炎等，其他常見症狀為頭痛、後眼窩痛、肌肉痛、食慾不振、腹痛及噁心等,茲卡病毒感染症之症狀與登革熱相似但較輕微，這些症狀通常在3–12天的潛伏期過後開始，症狀持續約2–7天，常會被忽略或被誤認為登革熱,,
311,茲卡病毒感染症,罹患茲卡病毒感染症的嚴重性？,目前已知婦女於懷孕期間感染茲卡病毒，可能產下小頭畸形等神經異常新生兒,,,
312,茲卡病毒感染症,茲卡病毒感染症有什麼併發症,依據流行地區監測資料顯示，曾有少數病例出現神經系統（如急性多發性神經炎）或免疫系統（如特異性血小板低下性紫斑症）併發症,近期有愈來愈多的研究結果顯示，這些神經異常與感染茲卡病毒有關,目前已知婦女於懷孕期間感染茲卡病毒，可能產下小頭畸形等神經異常新生兒,
313,茲卡病毒感染症,茲卡病毒感染症有哪些高風險族群,1.前往茲卡病毒感染症流行地區的民眾，尤其是懷孕婦女 2.在病媒蚊孳生較多的場所居住或活動的民眾,,,
