縣市,鄉鎮市區,機構類別,醫事機構代碼,合約醫療院所名稱,接種時間,聯絡電話,地址,公費疫苗,自費疫苗
高雄市,左營區,合約院所,3502032227,李凱斌小兒科診所,"週一至週五
上午：8:30-12:00
晚上：17:00-21:00
週日晚上：17:00-21:00
",07-3454784,高雄市左營區文莊路53號,各項常規疫苗、育齡婦女MMR、HPV疫苗、23PPV,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV(4價及9價)、水痘、帶狀皰疹疫苗
高雄市,左營區,合約院所,3502032192,金仁福診所,"週一至週五
上午：8:00-12:00
下午：16:00-21:30
週六8:00-12:00
",07-5529843,高雄市左營區華夏路228號,各項常規疫苗、HPV,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV、帶狀皰疹疫苗
高雄市,左營區,合約院所,3502030876,李建中診所,"週一至週六
上午：8:30-12:00
週一至週五
晚上:17:00-21:30
週六
晚上17:00-20:30
",07-3498018,高雄市左營區崇德路238號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV
高雄市,左營區,合約院所,3502030385,馬遠成診所,"週一至週五
上午：8:00-12:00
晚上：18:30-21:30
週六上午：8:00-12:00
",07-5832348,高雄市左營區果峰街2巷2號3號1樓,各項常規疫苗、HPV、育齡婦女MMR,B型肝炎疫苗、HPV疫苗、13PCV、帶狀皰疹
高雄市,左營區,合約院所,3502032343,葉乙力小兒科診所,"週一至週六
上午：8:00-12:00
下午：15:00-17:50
晚上：18:30-21:30
週日上午：8:00-12:00
",07-3456256,高雄市左營區華夏路700號,各項常規疫苗,B型肝炎疫苗
高雄市,左營區,合約院所,3502032325,華夏診所,"週一至週六
上午：8:00-12:00
下午：15:00-18:00
晚上：18:30-21:00
",07-3453961,高雄市左營區華夏路708號1樓,各項常規疫苗、HPV疫苗、23PPV,B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV疫苗、帶狀皰疹
高雄市,左營區,合約院所,1507300068,鈞安婦幼醫院,"週一至週六
上午：8:30-11:30
晚上：18:30-21:30
週日上午：8:30-11:30
",07-3480088,高雄市左營區華夏路609號,各項常規疫苗、HBIG疫苗,13PCV、輪狀病毒疫苗、幼兒A型肝炎疫苗、HPV疫苗
高雄市,左營區,合約院所,3507300999,育濰小兒科診所,"週一至週日
上午：8:00-12:00
下午：16:00-21:00
(週四上午休診)
",07-3414005,高雄市左營區重上街168號,各項常規疫苗、HPV疫苗、23PPV,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV疫苗、帶狀皰疹、水痘、活性日腦、MMR
高雄市,左營區,合約院所,3507301192,中馨診所,"週一至週五
上午：8:30-12:00
週一、週二、週三、週五
下午：15:30-19:30
週六上午：9:00-12:00
",07-3488226,高雄市左營區文川路128號,各項常規疫苗、HPV疫苗,"幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV疫苗、帶狀皰疹、水痘、活性日腦、MMR
"
高雄市,左營區,合約院所,3502032610,乃聖診所,"週一至週五
上午8:30-12:00
下午16:30-18:30
晚上19:20-21:00
星期六8:30-12:00
(週三晚上、週五早上休診)
",07-3500041,高雄市左營區文強路232號,各項常規疫苗、HPV疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV疫苗、帶狀皰疹、水痘、MMR
高雄市,左營區,合約院所,3507300097,彌馨診所,"週一至週五
早上9:00-12:00
下午14:00-17:30
晚上18:30-21:30
星期六
上午9:00-12:00
下午14:00-17:30
週日
早上9:00-12:00

",07-8629880,高雄市左營區至聖路288號,各項常規疫苗、HPV疫苗、育齡婦女MMR,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV疫苗、MMR、水痘、三合一、帶狀皰疹、
高雄市,左營區,合約院所,1502031095,馨蕙馨醫院,"週一至週五
早上9:00-12:00
下午14:00-17:30
晚上18:30-21:30
星期六
上午9:00-12:00


",07-5586080,高雄市左營區明誠二路541號,育齡婦女MMR、HPV疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV疫苗、MMR、水痘、三合一、帶狀皰疹、
高雄市,左營區,合約院所,1507300022,博愛蕙馨醫院,"週一至週五
早上9:00-12:00
下午14:00-17:30
晚上18:30-21:30
星期六
上午9:00-12:00
下午14:00-17:30
晚上18:30-21:30
週日
早上9:00-12:00
接種卡介苗週二.五
上午9:00-12:00
",07-8628880,高雄市左營區博愛二路20號,各項常規疫苗、HPV疫苗、育齡婦女MMR,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV疫苗、MMR、水痘、三合一、帶狀皰疹、
高雄市,左營區,合約院所,3502030643,黃昭文診所,"週一至週五(週五上午休診)
上午：8:30-12:00
下午：15:30-18:00
晚上：19:00-21:30
週六上午：9:00-12:00
",07-5592289,高雄市左營區自由二路255號,各項常規疫苗、HPV疫苗、23PPV,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV疫苗、帶狀皰疹、水痘
高雄市,左營區,合約院所,3502030723,楊宜璋耳鼻喉科診所,"週一至週六
上午：8:00-12:00
下午：14:00-18:00
晚上：18:00-21:30
",07-5591007,高雄市左營區明誠二路362號1樓,各項常規疫苗、23PPV,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、帶狀皰疹、HPV、三合一、水痘
高雄市,左營區,合約院所,3507301334,文仁小兒科診所,"週一至週五
上午：8:00-12:00
下午：15:00-18:00
晚上：18:30-21:00
週六、日
上午：9:00-12:00
下午：16:00-20:00
",07-3455959,高雄市左營區自由三路172號,各項常規疫苗、HPV疫苗、育齡婦女MMR,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、MMR、HPV、水痘、日腦、6合一
高雄市,楠梓區,合約院所,1502040021,健仁醫院,"1.週一至週六
上午：8:30-12:00",07-3512110-1122,高雄市楠梓區楠陽路136號,各項常規疫苗、HBIG、BCG、高雄市HPV疫苗、高雄市長者23PPV、A型肝炎疫苗、育齡婦女MMR,"2HepA、rHepB、13PCV、2Rota、+MMR、Var
"
高雄市,楠梓區,合約院所,3502040309,宏生診所,"1.週一至週五
上午：8:00-12:00
下午：15:00-17:30
晚上：18:30-21:00
2.週六
上午：8:30-12:00
下午休診
晚上：18:30-21:00(週日、例假日休診)，每個月最後一個星期六休假",07-3619412,高雄市楠梓區樂群路179巷2號,各項常規疫苗、高雄市HPV疫苗、高雄市長者23PPV、A型肝炎疫苗、育齡婦女MMR,2HepA、rHepB、13PCV、2Rota、+MMR、Var、Zoster、TT
高雄市,楠梓區,合約院所,3501195234,健安診所,"1.每週一至週六
上午：8:30-12:00
下午：16:00-18:00
晚上：19:00-21:30
及每月最後一星期六休診)(週日休診)
國定假日：08:30-12:00",07-3529801,高雄市楠梓區岳陽街53號,各項常規疫苗、高雄市HPV疫苗、A型肝炎疫苗,rHepB、13PCV、2Rota
高雄市,楠梓區,合約院所,3502040667,陳顯明診所,"1.週一至週五
上午：8:30-12:00
下午：15:30-18:30
晚上：19:00-21:30
2.週六
上午：8:30-12:00
下午、晚上休診
(週日休診)",07-3648127,高雄市楠梓區德賢路265號,各項常規疫苗、高雄市HPV疫苗、高雄市長者23PPV、A型肝炎疫苗、育齡婦女MMR,2HepA、rHepB、13PCV、Zoster
高雄市,楠梓區,合約院所,3502040434,苑秉純小兒科診所,"1.週一至週六
上午：8:00-11:30
2.週一至週五
下午：15:00-17:30
",07-3645885,高雄市楠梓區軍校路792號,各項常規疫苗、高雄市HPV疫苗、A型肝炎疫苗,2HepA、rHepB、13PCV、2HPV
高雄市,楠梓區,合約院所,3502042223,王建安小兒科診所,"1.週一至週六
上午：8:00-12:00
下午：15:00-18:00
晚上:18:30-21:30
2.週日
上午：8:00-12:00",07-3600680,高雄市楠梓區德民路949號,"各項常規疫苗、BCG、高雄市HPV疫苗、A型肝炎疫苗
",2HepA、+2HepA、2Rota、13PCV、Var、Zoster、2.9HPV、+MMR
高雄市,楠梓區,合約院所,3502040596,高耿耀診所,"1.週一至週六
上午：8:00-12:00
下午：15:30-18:00
晚上：18:30-21:30
週六晚上休診
(週日休診)",07-3529803,高雄市楠梓區建楠路188號,各項常規疫苗、高雄市市HPV疫苗、A型肝炎疫苗A肝疫苗、育齡婦女MMR,rHepB、2Rota、Var、13PCV、9HPV、2Rota
高雄市,楠梓區,合約院所,3502042248,廣佑安診所,"1.週一至週六
上午：8:30-12:00
下午：15:30-18:00
晚上：19:00-21:30
2.週六晚上休診
(週日休診)",07-3605998,高雄市楠梓區德民路782號1樓,各項常規疫苗、高雄市長者HPV疫苗、A型肝炎疫苗,Var、13PCV、9HPV
高雄市,楠梓區,合約院所,3502041860,孫欲珍小兒科家庭醫學科診所,"1.週一至週五
上午：9:00-12:00
下午：17:00-21:00
2.週六
上午：09:00-12:00
(週日休診)",07-3613709,高雄市楠梓區海專路237號,各項常規疫苗、高雄市長者23PPV、高雄市HPV疫苗、A型肝炎疫苗,2HepA、rHepB、13PCV、2Rota、Var、9HPV
高雄市,楠梓區,合約院所,3502042054,杏生婦產科診所,"1.週一、週六
晚上：19:00-21:30
2.週二、三、四
上午：9:00-12:00",07-3658288,高雄市楠梓區德民路190、292號,各項常規疫苗、HBIG、高雄市HPV疫苗、A型肝炎疫苗,rHepB、+MMR
高雄市,楠梓區,合約院所,1507310019,金安心醫院,"1.每週一至週六
上午：9:00-12:00
2.每週三下午
下午:14:30-17:30
2.每週一、二、五
晚上18:00-21:00
",07-3649890,高雄市楠梓區加昌路606號,各項常規疫苗、BCG、HBIG、高雄市HPV疫苗、A型肝炎疫苗,2Rota，3in1，2HPV，9HPV，13PCV，+MMR，Var
高雄市,楠梓區,合約院所,3507310351,季建華耳鼻喉科診所,"1.週一至週五
上午：8:00-12:00
下午：15:00-18:00
晚上：18:00-21:00
2.週六
上午9:00-12:00、晚上：18:30-21:30
週日晚上：18:30-21:30",07-3663331,"高雄市楠梓區加昌路618號
1樓",各項常規疫苗、高雄市HPV疫苗、A型肝炎疫苗,rHepB
高雄市,楠梓區,合約院所,3507310226,翁仲仁婦產科診所,"1.週一、六
上午：9:00-12:00
2.週一、三、五
下午：15:00-18:00
3.週一-週五
晚上：19:00-21:30
",07-3626158,"高雄市楠梓區德民路1010-5號,
2樓,3樓,4樓",rHepB、HBIG、高雄市HPV疫苗,rHepB、2HPV、9HPV
高雄市,楠梓區,合約院所,3502042312,家福耳鼻喉科診所,"1.週一、週四
上午：8:00-12:00
2.週四
下午：15:00-18:00
3.週一、三、四、五
晚上:18:40-21:30


",07-3609988,高雄市楠梓區後昌新路15號,各項常規疫苗、高雄市HPV疫苗、A型肝炎疫苗,rHepB
高雄市,楠梓區,合約院所,3507310342,建霖診所,"1.週一、二、四、五
上午：8:00-12:00",07-3523006,高雄市楠梓區鳳楠路248號,各項常規疫苗、高雄市HPV疫苗、A型肝炎疫苗,rHepB
高雄市,三民一,合約院所,3507321078,芯四季診所,週一~週六0900-1200/1400-1730/1830-2100週日0900-1200,07-3980000,高雄市三民區聯興路135號,各項常規疫苗、卡介苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、JE、HPV9+、HPV2+、三合一、VAR
高雄市,三民一,合約院所,1502051426,四季台安醫院,週一~週六0900-1200/1400-1730/1830-2100週日0900-1200,07-3983000,高雄市三民區聯興路157號,各項常規疫苗、育齡婦女MMR,成人A型肝炎疫苗、B型肝炎疫苗、HPV9+、HPV2+、HPV4+、成人百日咳、成人VAR
高雄市,三民一,合約院所,1107320017,義大醫療財團法人義大大昌醫院,週一~週五0830-1200/1330-1700/1800-2100週六0830-1200,07-5599123,高雄市三民區大昌一路305號,各項常規疫苗、卡介苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、VAR、HPV9+、HPV2+、帶狀皰疹、破傷風
高雄市,三民一,合約院所,3507320044,捷祺家庭兒科診所,週一~週五0730-1200/1500-2100/1800-2100週六0800-1200/1500-1800,07-3503666,高雄市三民區裕誠路125號1樓,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗
高雄市,三民一,合約院所,3502055499,偉倫小兒科診所,週一~週五0830-1200/1530-1800/1900-2130週六0900-1200/1500-1800/週二下午休診,07-3800333,高雄市三民區鼎山街256號1樓,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、VAR
高雄市,三民一,合約院所,3502052498,范雅修小兒科診所,週一、週二、週四、週五0830-1200/1700-2100週三0800-1200/1900-2100/週日1830-2130,07-3876366,高雄市三民區平等路163號1樓,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、VAR、MMR
高雄市,三民一,合約院所,3507320035,柳雱邁診所,週一、週三、週五0800-1200/1500-1800/1830-2130週二、週四0800-1200/1830-2130週六0800-1200週日1500-1800/1830-2130,07-3895640,高雄市三民區大順二路96號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、VAR、MMR、JE、HPV2、HPV9
高雄市,三民一,合約院所,3507321247,緯立診所,週一~週日0830-1200/15000-1800/1830-2130/週六晚上及週日上午及下午休診,07-3850785,高雄市三民區建元路30號1樓,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、MMR、HPV4、HPV9、帶狀皰疹
高雄市,三民一,合約院所,3502052694,育明診所,週一~週五0800-1200/1600-2200週六0800-1200/週日1800-2200,07-3478461,高雄市三民區民族一路537號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、VAR、MMR、JE、HPV9
高雄市,三民一,合約院所,3507320142,林正?小兒科診所,週一~週五0900-1200/1500-1800/1900-2130週六~週日0900-1200/1500-1800,07-3806183,高雄市三民區覺民路600號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV2
高雄市,三民一,合約院所,3502050378,董金山診所,週一~週五0800-1200/1500-1800/1900-2130,07-3833405,高雄市三民區大昌二路544號,各項常規疫苗,B型肝炎疫苗、13PCV、帶狀皰疹
高雄市,三民一,合約院所,1502050241,民族醫院,週一~週五0900-1150/1430-1630/1800-2000週六0830-1150/1430-1630,07-3462802,高雄市三民區民族一路880號,各項常規疫苗,B型肝炎疫苗、輪狀病毒疫苗、百日咳
高雄市,三民一,合約院所,3502052149,王婦產科診所,週一~週五0900-1200/1500-1800/1830-2130週六0900-1200,07-3873979,高雄市三民區九如一路440號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、VAR、MMR、HPV9
高雄市,三民一,合約院所,3507320080,郭建宏小兒科診所,週一~週五0800-1200/1530-1800/1830-2130週六0900-1200週日0900-1200/1600-2000,07-3982606,高雄市三民區義華路394號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗、MMR
高雄市,三民一,合約院所,3502051642,羅韻珊小兒科診所,週一~週五0830-1200/1830-2100週六0800-1200/1900-2100週六及國定假日0830-1200,07-3870430,高雄市三民區大豐二路110-1號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、MMR、JE、HPV9、帶狀皰疹
高雄市,三民一,合約院所,3502051375,蕭瑞榮小兒科診所,週一~週五0800-1200/1530-1800/1900-2100週六0800-1200/1900-2100國定假日0830-1130,07-3867121,高雄市三民區建工路533號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗、MMR、HPV4、帶狀皰疹
高雄市,三民一,合約院所,3502054125,張殷彰診所,週一~週五0800-1200/1530-1800/1900-2100週六0800-1200/1900-2100國定假日0830-1130,07-3867121,高雄市三民區建工路533號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗、MMR、HPV4、帶狀皰疹
高雄市,三民一,合約院所,3502051544,莊永昌診所,週一~週五0800-1200/1530-2000週六0800-1200,07-3922289,高雄市三民區建工路332號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、帶狀皰疹
高雄市,三民一,合約院所,3502051599,徐樹本小兒科診所,週一~週五、週日1700-2200/週六1700-1930/第二週及第四週週六休診,07-3867833,高雄市三民區建興路373號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗
高雄市,三民一,合約院所,3507320688,曾柏彰診所,週一~週五0730-1200/1500-1800/1800-2100週六0830-1130/1500-1800週日0830-1130,07-3103216,高雄市三民區鼎力路339號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗、VAR
高雄市,三民一,合約院所,3507321023,陳志宇診所,週一~週六0800-1200/1500-1800/1840-2140週日1830-2130,07-3833282,高雄市三民區覺民路186號,各項常規疫苗,B型肝炎疫苗、13PCV、破傷風
高雄市,三民一,合約院所,3507321149,好健康診所,週一~週六0830-1200/1500-1800/1830-2130週日0830-1200,07-3839966,高雄市三民區建工路396號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗、VAR、HPV4、帶狀皰疹、破傷風、子宮頸
高雄市,三民一,合約院所,3502054465,謝明容耳鼻喉科診所,週一~週六0830-1200/1500-1800/1800-2130週日1800-2130,07-3973999,高雄市三民區大昌二路142號,各項常規疫苗,
高雄市,三民一,合約院所,3507321185,潘仕晉兒科診所,週一~週五0900-1300/1800-2100週六0900-1200,07-3853515,高雄市三民區覺民路533號,各項常規疫苗,
高雄市,三民一,合約院所,3502055389,禾泰診所,週一~週五0700-1200/1530-1800/1900-2100週六0700-1200/週三下午休診,07-3903812,高雄市三民區陽明路68號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、帶狀皰疹
高雄市,三民一,合約院所,3502052292,王漢卿小兒科診所,週一~週六0830-1200/1530-1800/1900-2130,07-3877918,高雄市三民區陽明路132號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗、帶狀皰疹
高雄市,三民一,合約院所,3502055293,元成診所,週一~週六0700-1200/1530-1800/1900-2100,07-3903808,高雄市三民區陽明路81號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、帶狀皰疹
高雄市,三民二,合約院所,1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,"星期一-星期五
上午8：30-12：00
下上1：30-5：00
星期六
上午8：30-12：00",07-3208241,高雄市三民區自由一路100號,各項常規疫苗、卡介苗、B型肝炎免疫球蛋白、A型肝炎疫苗、23價多糖體肺炎鏈球菌疫苗、人類乳突病毒疫苗、精製結核菌素、流行性感冒疫苗、b型嗜血桿菌疫苗、破傷風減量白喉混合疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、Tdap疫苗
高雄市,三民二,合約院所,1502050045,德謙醫院,"星期一-星期六
上午9：00-12：00(星期三接種卡介苗)
晚上7：00-10：00
星期日
上午9：00-12：00",07-3210981#906,高雄市三民區九如二路18號,各項常規疫苗、卡介苗、B型肝炎免疫球蛋白、A型肝炎疫苗、育齡婦女MMR、人類乳突病毒疫苗、流行性感冒疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、水痘疫苗
高雄市,三民二,合約院所,3502054929,承安耳鼻喉科診所,"公費疫苗
星期二、四、六
晚上6：30-9：30
自費疫苗
星期一-星期六
上午8：30-12：00
星期一-星期五
下午3：00-6：00
星期一-星期六
晚上6：30-9：30",07-3160789,高雄市三民區力行路250號1F,各項常規疫苗、A型肝炎疫苗、23價多糖體肺炎鏈球菌疫苗、流行性感冒疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、MMR、帶狀皰疹、4價流行性感冒疫苗
高雄市,三民二,合約院所,3502051348,曾繁英診所,"星期一-星期五
上午8：00-12：00
下午4：00-6：00
晚上7：00-9：30
星期六
上午8：30-12：00",07-3111048,高雄市三民區自立一路267號,各項常規疫苗、A型肝炎疫苗、育齡婦女MMR、人類乳突病毒疫苗、流行性感冒疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、MMR、皰疹
高雄市,鹽埕區,合約院所,3502010463,盧榮坤小兒科診所,"週一,三,五8:30-12:0015:30-18:0019:00-21:30週二,四8:30-12:0019:00-21:30週六8:30-120014:00-17:0019:00-21:30",07-5215657,高雄市鹽埕區莒光街137號,各項常規疫苗、A型肝炎疫苗、PPV、育齡婦女MMR、HPV,幼兒A型肝炎疫苗、成人A型肝炎疫苗、13PCV、輪狀病毒疫苗、水痘、帶狀皰疹、MMR、子宮頸疫苗、日本腦炎
高雄市,前金區,合約院所,3507340199,大郭診所,"週一至五8:00-11:3014:30-17:3018:30-21:30週六,日08:00-11:30",07-2412233,高雄市前金區自強二路69號,各項常規疫苗、A型肝炎疫苗、PPV、育齡婦女MMR、HPV,幼兒A型肝炎疫苗、13PCV、輪狀病毒疫苗、水痘、MMR
高雄市,新興區,合約院所,3502063035,蔡瑞聲診所,週一至六7:30-12:0014:00-21:00週日7:30-12:00,07-2413388,高雄市新興區中正三路63號,各項常規疫苗、A型肝炎疫苗、PPV、育齡婦女MMR、HPV,成人A型肝炎疫苗、B型肝炎疫苗、13PCV、MMR
高雄市,新興區,合約院所,3502063259,偉峰診所,週一至五8:00-12:0015:30-18:0019:00-21:30週六8:00-12:0015:30-18:00,07-2222123,高雄市新興區復興一路16號,各項常規疫苗、A型肝炎疫苗、PPV、育齡婦女MMR、HPV,B型肝炎疫苗、13PCV、帶狀皰疹
高雄市,新興區,合約院所,3502061139,毛重富耳鼻喉科診所,週一至六8:00-12:0014:00-21:30週日8:30-12:00,07-2350168,高雄市新興區復興一路107之1號,各項常規疫苗、A型肝炎疫苗、PPV、育齡婦女MMR、HPV,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、水痘、帶狀皰疹
高雄市,前金區,合約院所,102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,週一至週五8:30-12:0014:00-17:3018:00-20:30週六8:30-12:00,07-2911101,高雄市前金區中華三路68號,各項常規疫苗、卡介苗、A型肝炎疫苗、PPV、育齡婦女MMR、HPV,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、Tdap疫苗、水痘、帶狀皰疹、HPV
高雄市,前金區,合約院所,1502070118,健新醫院,週一至五8:30-12:3017:00-21:00週六8:30-12:30,07-2164569,高雄市前金區七賢二路295號,各項常規疫苗、B型肝炎免疫球蛋白、育齡婦女MMR、HPV,幼兒A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、水痘、MMR、HBIG、HPV
高雄市,苓雅區,合約院所,102080017,高雄市立民生醫院,"星期一至星期五
09:00-12:00
14:00-17:00",07-7511131,高雄市苓雅區凱旋二路134號,各項常規疫苗、A型肝炎疫苗、育齡婦女MMR、PPD、人類乳突病毒(HPV)疫苗(2價)、PPV(23價),輪狀病毒疫苗、人類乳突病毒(HPV)疫苗(9價)、MMR、B型肝炎疫苗
高雄市,苓雅區,合約院所,902080013,阮綜合醫療社團法人阮綜合醫院,"星期一至星期五
14:00-17:00",07-3351121,高雄市苓雅區成功一路162號,各項常規疫苗、卡介苗、B型肝炎免疫球蛋白、A型肝炎疫苗、育齡婦女MMR、PPD、人類乳突病毒(HPV)疫苗(2價)、PPV(23價),"幼兒A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、Tdap疫苗、水痘疫苗、帶狀皰疹疫苗、麻疹腮腺炎德國麻疹混合疫苗(MMR)、人類乳突病毒(HPV)疫苗(2價.4價.9價)、HBIG
"
高雄市,苓雅區,合約院所,502080015,國軍高雄總醫院附設民眾診療服務處,"星期一.二.五
09:00-12:00
14:00-17:00
",07-7496751,高雄市苓雅區中正一路2號,各項常規疫苗、B型肝炎免疫球蛋白、A型肝炎疫苗、育齡婦女MMR、PPD,成人A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗、帶狀皰疹疫苗、人類乳突病毒(HPV)疫苗(4價.9價)
高雄市,苓雅區,合約院所,1107350015,天主教聖功醫療財團法人聖功醫院,"星期一至星期五
08:30-12:00
14:00-17:00
17:30-20:30
星期六
08:30-12:00",07-2238153,高雄市苓雅區建國一路352號,各項常規疫苗、卡介苗、B型肝炎免疫球蛋白、A型肝炎疫苗、育齡婦女MMR、人類乳突病毒(HPV)疫苗(2價)、PPV(23價),"幼兒A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、水痘疫苗、帶狀皰疹疫苗、人類乳突病毒(HPV)疫苗(2價.9價)、MMR

"
高雄市,苓雅區,合約院所,3502080894,林國坤診所,"週一-週五:
8:30-12:00
17:00-21:30
週六:
8:30-12:00

",07-7225391,高雄市苓雅區建國一路115-4號,各項常規疫苗、A型肝炎疫苗、育齡婦女MMR、PPV(23價),B型肝炎疫苗、輪狀病毒疫苗、MMR、13PCV
高雄市,苓雅區,合約院所,3502081499,陳清裕小兒科診所,"週一-週五:
8:00-12:00
16:00-18:00
19:00-21:00
週六:
8:00-12:00
下午休診
19:00-21:00

",07-7517221,高雄市苓雅區三多一路327號,各項常規疫苗、A型肝炎疫苗、育齡婦女MMR、PPV(23價)、人類乳突病毒(HPV)疫苗(2價),幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、帶狀皰疹疫苗
高雄市,苓雅區,合約院所,3502081882,小貝貝小兒科診所,"週一-週五:
8:30-12:00
17:00-20:30
週六:
8:30-12:00",07-3383099,高雄市苓雅區光華一路25號,各項常規疫苗、A型肝炎疫苗、育齡婦女MMR、人類乳突病毒(HPV)疫苗(2價),幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗、水痘疫苗、MMR、13PCV、Tdap疫苗、帶狀皰疹疫苗、人類乳突病毒(HPV)疫苗(2價.4價.9價)、活性日本腦炎疫苗
