受補助單位,補助日期,撥款金額,核准日期,累計撥款金額,補助事項或支出用途,縣市別
醫療財團法人羅許基金會羅東博愛醫院,111/10/14,"8,455 ",1110414,"8,455 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,宜蘭縣
財團法人台灣紅絲帶基金會,111/12/22,"100,000 ",1111006,"100,000 ",急性病毒性肝炎防治衛生教育,臺北市
財團法人兒童肝膽疾病防治基金會,111/12/28,"100,000 ",1111006,"100,000 ",急性病毒性肝炎防治衛生教育,臺北市
財團法人肝病防治學術基金會 ,111/12/24,"100,000 ",1111018,"100,000 ",急性病毒性肝炎防治衛生教育,臺北市
財團法人台灣肝臟研究暨教育基金會,112/01/05,0 ,1110608,"259,064 ",2022亞太肝臟研究學會單一主題會議(2022 APASL Single Topic Conference on Hepatocellular Carcinoma),臺北市
長庚醫療財團法人嘉義長庚紀念醫院,111/12/08,"2,968,951 ",1110611,"2,968,951 ",補助傳染病防治醫療網應變醫院強化負壓隔離病房硬體結構/設備,嘉義縣
大千綜合醫院,111/12/02,"40,000 ",1110101,"40,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,苗栗縣
大順醫院,111/12/07,"42,000 ",1110101,"42,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,苗栗縣
大新醫院,111/12/06,"54,000 ",1110101,"54,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
水里社區基督聯合診所,111/12/07,"44,000 ",1110101,"44,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,南投縣
安泰醫療社團法人安泰醫院,111/11/25,"41,000 ",1110101,"41,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
安泰醫療社團法人潮州安泰醫院,111/12/02,"35,000 ",1110101,"35,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
竹山秀傳醫療社團法人竹山秀傳醫院,111/12/01,"44,000 ",1110101,"44,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,南投縣
竹信醫院,111/11/18,"53,000 ",1110101,"53,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,新竹縣
佑民醫療社團法人佑民醫院,111/11/25,"46,000 ",1110101,"46,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,南投縣
周昭宏內科診所,111/11/25,"40,000 ",1110101,"40,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
枋寮醫療社團法人枋寮醫院,111/11/18,"129,000 ",1110101,"129,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
東勢區農會附設農民醫院,111/11/18,"37,000 ",1110101,"37,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,臺中市
南門醫療社團法人南門醫院,111/11/18,"39,000 ",1110101,"39,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
茂隆骨科醫院,111/11/22,"34,000 ",1110101,"34,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),111/11/25,"42,000 ",1110101,"42,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,高雄市
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),111/12/01,"44,000 ",1110101,"44,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,高雄市
童綜合醫療社團法人童綜合醫院,111/12/05,"35,000 ",1110101,"35,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,臺中市
陽明醫院,111/11/18,"43,000 ",1110101,"43,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,嘉義市
輔英科技大學附設醫院,111/12/02,"39,000 ",1110101,"39,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
寶建醫療社團法人寶建醫院,111/11/18,"92,000 ",1110101,"92,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
安泰醫療社團法人安泰醫院,111/12/28,"1,500 ",1110101,"1,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,屏東縣
竹山秀傳醫療社團法人竹山秀傳醫院,111/12/21,"2,000 ",1110101,"2,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,南投縣
東元醫療社團法人東元綜合醫院,111/12/21,"10,500 ",1110101,"10,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,新竹縣
高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),111/12/21,500 ,1110101,"10,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,高雄市
臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,112/01/09,"6,000 ",1110101,"46,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺北市
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),111/12/26,"25,000 ",1110823,"25,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,高雄市
中華醫事科技大學,111/12/08,0 ,1110101,"20,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺南市
世界和平婦女會台灣總會,111/12/08,0 ,1110101,"80,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
台灣年輕藥師協會,111/12/13,"70,000 ",1110101,"210,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
台灣愛滋病學會,111/12/31,"227,000 ",1110101,"635,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
社團法人中華民國愛滋感染者權益促進會,111/12/31,0 ,1110101,"250,730 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
社團法人台北市日日春關懷互助協會,111/12/28,0 ,1110101,"200,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
社團法人台灣世界快樂聯盟,111/12/13,0 ,1110101,"16,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,屏東縣
社團法人台灣曾心為你社會服務協會,111/12/28,0 ,1110101,"32,166 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,高雄市
社團法人台灣愛之希望協會,112/01/04,"104,000 ",1110101,"520,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,高雄市
社團法人台灣愛滋病護理學會,112/01/06,"3,744 ",1110101,"562,144 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
社團法人台灣新滋識同盟,112/01/06,0 ,1110101,"233,871 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,新北市
社團法人台灣跨虹者權益促進協會,112/01/03,0 ,1110101,"160,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
社團法人台灣露德協會,111/12/31,"539,200 ",1110101,"1,208,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
社團法人桃園市藥師公會,111/12/20,"60,000 ",1110101,"135,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,桃園市
社團法人高雄市藥師公會,111/12/26,0 ,1110101,"30,159 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,高雄市
臺北市藥師公會,111/12/26,"1,250 ",1110101,"76,250 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
大千綜合醫院,111/10/18,"12,500 ",1110414,"12,500 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,苗栗縣
光田醫療社團法人光田綜合醫院,111/08/15,0 ,1110414,"28,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,臺中市
光田醫療社團法人光田綜合醫院大甲分院,111/08/15,0 ,1110414,"23,595 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,臺中市
安泰醫療社團法人安泰醫院,111/08/11,0 ,1110414,"15,626 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,屏東縣
竹山秀傳醫療社團法人竹山秀傳醫院,111/10/13,"28,000 ",1110414,"28,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,南投縣
秀傳醫療社團法人秀傳紀念醫院,111/09/19,0 ,1110414,"18,675 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,彰化縣
東元醫療社團法人東元綜合醫院,111/10/14,"19,225 ",1110414,"19,225 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,新竹縣
林新醫療社團法人林新醫院,111/09/19,0 ,1110414,"28,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,臺中市
敏盛綜合醫院,111/11/10,"24,000 ",1110414,"24,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,桃園市
童綜合醫療社團法人童綜合醫院,111/08/11,0 ,1110414,"26,100 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,臺中市
澄清綜合醫院中港分院,111/08/11,0 ,1110414,"20,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,臺中市
衛生福利部雙和醫院(委託臺北醫學大學興建經營),111/10/18,"11,900 ",1110414,"11,900 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,新北市
社團法人臺灣兒科醫學會,111/08/04,0 ,1110302,"299,841 ",111年辦理腸病毒及新冠肺炎(COVID-19)臨床診斷處置(含疫苗接種)教育訓練案,臺北市
中華民國醫師公會全國聯合會,111/09/26,0 ,1110520,"23,045 ",辦理登革熱、屈公病與蜱媒傳染病之醫事人員教育訓練,臺北市
臺灣腎臟護理學會,111/12/29,"200,000 ",1110919,"200,000 ",醫療院所透析單位急性病毒性B、C型肝炎防治教育訓練,臺北市
維尚泌尿科診所,111/12/28,"2,000 ",1110101,"11,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺北市
鳳山李嘉文泌尿科診所,112/01/04,"54,000 ",1110101,"54,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,高雄市
個人,111/03/14,0 ,1110308,"7,699 ",110年矯正機關潛伏結核感染檢驗及治療計畫屏東監獄鄭姓收容人住院及就醫掛號費用。,各縣市
個人,112/01/05,"450,372 ",1111221,"450,372 ",111年6名個案之丁基原啡因複方錠(Suboxone)藥品費用案)非HIV個案,各縣市
個人,111/12/27,"2,352,000 ",1110525,"2,352,000 ",111年公費抗結核藥品bedaquiline(20mg),各縣市
個人,111/11/30,"22,860,000 ",1110418,"54,864,000 ",111年公費抗結核藥品bedaquiline採購案,各縣市
個人,111/09/20,0 ,1110711,"1,692,000 ",111年公費抗結核藥品cycloserine,各縣市
個人,111/09/20,0 ,1110721,"646,000 ",111年公費抗結核藥品kanamycin採購案,各縣市
個人,111/05/04,0 ,1110414,"48,800 ",111年公費抗結核藥品levofloxacin(100mg),各縣市
個人,111/11/03,"480,000 ",1110427,"912,000 ",111年公費抗結核藥品levofloxacin(750mg)採購案,各縣市
個人,111/10/25,"790,650 ",1110711,"878,500 ",111年公費抗結核藥品moxifloxacin採購案,各縣市
個人,111/12/01,"832,000 ",1110308,"2,496,000 ",111年抗結核專案進口藥terizidone,各縣市
個人,111/05/10,0 ,1110208,"2,138,400 ",111年抗結核藥Delamanid採購案,各縣市
個人,111/06/29,0 ,1110328,"1,378,100 ",111年度公費抗結核藥品clofazimine、PAS及兒童複方可溶錠RH/RHZ採購案,各縣市
個人,111/10/31,"3,207,600 ",1110608,"3,207,600 ",111年度專案進口公費抗結核藥品delamanid(第1次增購),各縣市
個人,111/10/05,"40,000 ",1110920,"40,000 ",抗結核藥物amikacin 500mg採購案,各縣市
個人,111/11/03,"96,000 ",1110920,"96,000 ",抗結核藥物levofloxacin 500mg採購案,各縣市
個人,112/01/07,0 ,1110210,"41,500,000 ",111年孕婦全面愛滋篩檢,各縣市
個人,111/12/27,"32,208 ",1110119,"1,512,180 ",111年因執行業務意外暴露感染源之預防性投藥醫療費用,各縣市
個人,112/01/04,0 ,1110214,"172,023,500 ",111年委託健保署代辦公務預算支付結核病等醫療費用,各縣市
個人,111/11/17,"5,108,400 ",1110728,"5,108,400 ",111年度第1/2型愛滋病毒自我篩檢試劑採購案,各縣市
個人,112/01/11,0 ,1110110,"341,437,637 ",111年度結核病及漢生病直接觀察治療都治執行計畫,各縣市
個人,112/01/04,"2,904,900 ",1110221,"7,292,500 ",111年度愛滋抗原/抗體複合型快速篩檢試劑採購,各縣市
個人,112/01/09,"16,307,612 ",1110101,"164,253,612 ",111年建構抗藥性結核病醫療照護體系,各縣市
個人,111/06/10,0 ,1110117,"1,890,000 ",111年接觸者潛伏結核感染治療3HP複方藥品採購,各縣市
個人,112/01/09,"7,626,520 ",1110111,"69,151,648 ",111年愛滋病指定醫事機構服務品質提升計畫,各縣市
個人,112/01/09,"22,540,368 ",1110101,"75,356,183 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,各縣市
個人,112/01/11,"1,242,360 ",1111003,"1,351,040 ",111年愛滋匿名篩檢服務拓點計畫,各縣市
個人,111/12/30,0 ,1110101,"997,440 ",111年補助臺南市政府衛生局配置保全人員,各縣市
個人,111/11/03,0 ,1110119,"289,688 ",111年疑似愛滋感染嬰幼兒醫療照護作業補助費用,各縣市
個人,112/01/07,"1,817,555 ",1110101,"4,655,880 ",111年矯正機關潛伏結核感染篩檢與治療計畫,各縣市
個人,112/01/07,0 ,1110211,"1,092,290,361 ",支付110及111年愛滋病醫療費用及欠款,各縣市
個人,112/01/07,0 ,1110211,"18,000,000 ",性病、急性病毒性肝炎或藥癮病患全面篩檢愛滋病毒計畫,各縣市
個人,111/11/07,"3,730 ",1110314,"6,782 ",補助感染愛滋之藥害病患全民健保自付保費(110年下半年及111年上半年),各縣市
個人,112/01/06,"1,633,373,250 ",1111229,"1,633,373,250 ",預付111年委託衛生福利部中央健康保險署代辦支付嚴重特殊傳染性肺炎隔離治療費用,各縣市
個人,112/01/06,0 ,1110215,"26,500,000 ",藥癮愛滋個案替代治療計畫,各縣市
個人,111/01/21,0 ,1110120,"207,067 ",本署退休人員(聘任人員)110年度優惠存款差額利息歸墊,各縣市
個人,111/01/26,0 ,1110112,"172,000 ",111年春節慰問金,各縣市
個人,111/09/16,0 ,1110809,"170,000 ",111年致贈退休人員及在職亡故同仁之遺族三節慰問金(中秋節),各縣市
個人,111/06/01,0 ,1110506,"170,000 ",111年致贈退休人員及在職亡故同仁之遺族三節慰問金(端午節),各縣市
個人,111/09/16,0 ,1110824,"224,000 ",退職工友(含遺眷)111年中秋節慰問金,各縣市
個人,111/06/16,0 ,1110506,"226,000 ",退職工友(含遺眷)111年端午節慰問金,各縣市
個人,111/03/08,0 ,1110110,"226,000 ",職工(含遺眷)111年春節慰問金,各縣市
個人,111/12/02,"12,000 ",1110812,"24,000 ",111年三麻一風監視要查作業之病例通報獎金,各縣市
個人,111/12/28,"2,500 ",1111202,"2,500 ",屈公病通報獎金,各縣市
個人,112/01/06,"56,500 ",1120105,"83,000 ",登革熱通報獎金,各縣市
個人,111/12/28,"12,000 ",1111205,"12,000 ",腸道出血性大腸桿菌感染症及霍亂通報獎金,各縣市
?醫療財團法人好心肝基金會好心肝診所,112/01/06,"35,000 ",1111226,"35,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,臺北市
仁暉診所,112/01/05,"25,000 ",1111226,"25,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,新北市
東元醫療社團法人東元綜合醫院,112/01/05,"93,000 ",1111226,"93,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,新竹縣
長庚醫療財團法人林口長庚紀念醫院,112/01/05,"120,000 ",1111226,"120,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,桃園市
天成醫院,112/01/05,"63,000 ",1111227,"63,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,桃園市
天成醫療社團法人天晟醫院,112/01/06,"73,000 ",1111227,"73,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,桃園市
佛教慈濟醫療財團法人台北慈濟醫院,112/01/06,"92,500 ",1111227,"92,500 ",111年感染管制與抗生素管理卓越計畫獎勵案,新北市
沙爾德聖保祿修女會醫療財團法人聖保祿醫院,112/01/06,"83,000 ",1111227,"83,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,桃園市
長庚醫療財團法人基隆長庚紀念醫院,112/01/05,"63,000 ",1111227,"63,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,基隆市
國立臺灣大學醫學院附設醫院,112/01/05,"120,000 ",1111227,"120,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,臺北市
敏盛綜合醫院,112/01/05,"62,500 ",1111227,"62,500 ",111年感染管制與抗生素管理卓越計畫獎勵案,桃園市
凱程診所,112/01/05,"25,000 ",1111227,"25,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,新北市
臺北醫學大學附設醫院,112/01/06,"72,500 ",1111227,"72,500 ",111年感染管制與抗生素管理卓越計畫獎勵案,臺北市
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,112/01/06,"62,500 ",1111227,"62,500 ",111年感染管制與抗生素管理卓越計畫獎勵案,新北市
醫療財團法人羅許基金會羅東博愛醫院,112/01/05,"62,500 ",1111227,"62,500 ",111年感染管制與抗生素管理卓越計畫獎勵案,宜蘭縣
周正成小兒科診所,112/01/06,"25,000 ",1120103,"25,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,臺北市
宗男診所（桃園市）,112/01/05,"22,500 ",1120103,"22,500 ",111年感染管制與抗生素管理卓越計畫獎勵案,桃園市
宗男診所（新北市）,112/01/05,"42,500 ",1120103,"42,500 ",111年感染管制與抗生素管理卓越計畫獎勵案,新北市
科安診所,112/01/05,"52,500 ",1120103,"52,500 ",111年感染管制與抗生素管理卓越計畫獎勵案,臺北市
國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,112/01/05,"62,500 ",1120103,"62,500 ",111年感染管制與抗生素管理卓越計畫獎勵案,新竹市
麥建方小兒專科診所,112/01/12,"22,500 ",1120103,"22,500 ",111年感染管制與抗生素管理卓越計畫獎勵案,新竹縣
黃禎憲皮膚科診所,112/01/12,"25,000 ",1120103,"25,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,臺北市
蘇惠珍皮膚科診所,112/01/06,"25,000 ",1120103,"25,000 ",111年感染管制與抗生素管理卓越計畫獎勵案,臺北市
衛生福利部,112/01/10,"17,482,250 ",1111229,"17,482,250 ",一般護理之家照護嚴重特殊傳染性肺炎(COVID-19)輕症或無症狀之就地安置確診住民之照護津貼案,臺北市
衛生福利部中央健康保險署,112/01/05,"2,900,000,000 ",1120105,"2,900,000,000 ",預撥醫療機構執行嚴重特殊傳染性肺炎(COVID-19)防疫業務獎勵費用至健保署,臺北市
衛生福利部社會及家庭署,112/01/11,"146,812,900 ",1111229,"146,812,900 ",衛生福利機構照顧護理人員及社會工作人員執行嚴重特殊傳染性肺炎防治工作著有績效者獎勵金,臺北市
衛生福利部,112/01/10,"9,264,100 ",1111229,"9,264,100 ",辦理住宿式機構照顧護理人員及社會工作人員執行嚴重特殊傳染性肺炎防治工作著有績效者獎勵金,臺北市
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
