菌株收集代碼（Strain ID）,菌株分離年代（Year）,菌種 （Species）,組別,Azithromycin,Ampicillin,Cefotaxime,Ceftazidime,Nalidixic acid,Ciprofloxacin,Gentamicin,Chloramphenicol,Trimethoprim／sulfamethoxazole,Tetracylcine
R21.0408,2021,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,R,R
R21.0467,2021,S. sonnei,本國籍無境外旅遊史,S,I,S,S,R,I,S,S,R,R
R21.0552,2021,S. sonnei,本國籍無境外旅遊史,R,R,R,R,R,R,S,S,R,R
R21.0640,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0664,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0862,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0880,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.1035,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.1123,2021,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,S,R,R
R21.1378,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.1647,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.1888,2021,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,R,R
R21.2087,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.2411,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.2414,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.2415,2021,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R21.2432,2021,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R21.2433,2021,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R21.2569,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.2576,2021,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R22.0001,2022,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R22.0006,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.0010,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.0022,2022,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R22.0029,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.0033,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.0034,2022,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R22.0057,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.0058,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.0123,2022,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R22.0172,2022,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R22.0327,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.0328,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.0486,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.0523,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.0526,2022,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R22.0866,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.1286,2022,S. sonnei,本國籍無境外旅遊史,R,R,R,R,R,I,R,S,R,R
R22.1763,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.1869,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.2950,2022,S. flexneri,本國籍無境外旅遊史,S,I,S,R,R,R,S,S,R,R
R22.3015,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.3344,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.3773,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.3780,2022,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R22.3782,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.3783,2022,S. flexneri,本國籍無境外旅遊史,R,S,S,S,R,R,S,S,R,R
R22.3784,2022,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,R
R22.3832,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.3836,2022,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,R,R,R
R22.3838,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.3839,2022,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R22.3843,2022,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R23.0022,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,R,R,R,S,S,R,R
R23.0024,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R23.0032,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R23.0845,2023,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,R,R,R
R23.1160,2023,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R23.2334,2023,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,R,R
R23.2343,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R23.2373,2023,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,R,R
R23.2444,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R23.2698,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R23.2707,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R23.2714,2023,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R17.0032,2017,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,R
R17.0034,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0035,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0037,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0040,2017,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R17.0042,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0043,2017,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R17.0045,2017,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R17.0050,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0054,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0055,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0072,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0150,2017,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,R
R17.0151,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0152,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0191,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0200,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0230,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0260,2017,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,R
R17.0277,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0338,2017,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R17.0345,2017,S. boydii,外籍人士或有境外旅遊史,S,I,S,S,R,I,S,S,S,S
R17.0415,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0528,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0529,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R17.0530,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.0603,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,S
R17.0950,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.1215,2017,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,R
R17.1416,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R17.1459,2017,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R17.1513,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.1878,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.1879,2017,S. flexneri,外籍人士或有境外旅遊史,S,S,R,R,R,R,S,S,S,R
R17.2139,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.2359,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.2526,2017,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R17.2710,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.2854,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.3314,2017,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R17.3517,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.3795,2017,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R17.3960,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.3961,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.4349,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,S,S,S
R17.4814,2017,S. flexneri,本國籍無境外旅遊史,S,S,S,S,S,S,S,S,S,S
R17.5168,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.5256,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R17.5351,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R17.5651,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,S
R17.5726,2017,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,R
R17.5766,2017,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R17.5821,2017,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,R
R17.5965,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.5966,2017,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R17.6058,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.6059,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.6073,2017,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R17.6074,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.6075,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.6124,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.6157,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.6161,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.6162,2017,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,R,S,R
R17.6164,2017,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R17.6165,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R17.6167,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R18.0004,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0005,2017,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.0014,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0015,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R18.0016,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R18.0018,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0021,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.0022,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,R,S,R
R18.0024,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0029,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.0032,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0040,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0041,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0045,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0048,2018,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,R
R18.0049,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0051,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,S,R
R18.0052,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,S,R
R18.0055,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0061,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.0062,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,S,R
R18.0074,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0075,2018,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0082,2018,S. flexneri,本國籍無境外旅遊史,R,R,S,S,R,R,S,R,S,R
R18.0121,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0152,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0203,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.0225,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0226,2018,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R18.0227,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0238,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0264,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0265,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0270,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0329,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0521,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0533,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.0535,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0553,2018,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,R
R18.0620,2018,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,R
R18.0622,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R18.0646,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0679,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.0688,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0811,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0817,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.0883,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.0884,2018,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R18.0885,2018,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R18.0887,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.1032,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.1248,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.1249,2018,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.1331,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.1341,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.1380,2018,S. flexneri,本國籍無境外旅遊史,S,R,R,S,R,R,S,S,S,R
R18.1575,2018,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.1638,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,R,S,R,S,S,S,S
R18.1641,2018,S. flexneri,外籍人士或有境外旅遊史,R,S,S,S,R,I,S,S,S,S
R18.1870,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2167,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R18.2324,2018,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,I,S,S,S,S
R18.2335,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.2336,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R18.2396,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2401,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2402,2018,S. boydii,外籍人士或有境外旅遊史,S,I,S,S,S,S,S,S,S,R
R18.2408,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2416,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2417,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2420,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2425,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2432,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2433,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2434,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2435,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2439,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2440,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,R,R,S,R,S,R
R18.2448,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2449,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2450,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2453,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2456,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2457,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2463,2018,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2468,2018,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,S
R18.2475,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2476,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2477,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2483,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2486,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R18.2495,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R18.2511,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R18.2515,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R18.2516,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R18.2634,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R19.0001,2018,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R19.0004,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.0005,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0095,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.0103,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,R,R,R,S,R,S,R
R19.0109,2019,S. boydii,外籍人士或有境外旅遊史,S,R,R,R,R,R,S,R,S,R
R19.0110,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,R,R,S,R,S,R
R19.0118,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.0177,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0221,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0223,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.0236,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0260,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0306,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0430,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0438,2019,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R19.0541,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0560,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0685,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.0695,2019,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0809,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.0911,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.1194,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.1319,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.1389,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R19.1657,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.1659,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.1748,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.1768,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.1856,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2046,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R19.2202,2019,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R19.2247,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.2436,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2480,2019,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,S,R
R19.2661,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2687,2019,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2733,2019,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,S
R19.2737,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2741,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.2754,2019,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2861,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2868,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2879,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.2884,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2886,2019,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2897,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2899,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2900,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,S,R
R19.2902,2019,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,S,R
R19.2903,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
R19.2934,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,S,R
