國名(中),國名(英),ISO3166-1（numeric）,主類別,次類別,疾病,警示日期,疫苗
百慕達(英國海外領地),Bermuda,060,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
百慕達(英國海外領地),Bermuda,060,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
百慕達(英國海外領地),Bermuda,060,預防接種規定及建議,預防接種項目,,,傷寒疫苗
百慕達(英國海外領地),Bermuda,060,當地其他相關疾病,接觸傳染,狂犬病,,
百慕達(英國海外領地),Bermuda,060,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
不丹,Bhutan,064,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
不丹,Bhutan,064,預防接種規定及建議,預防接種項目,,,日本腦炎疫苗
不丹,Bhutan,064,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
不丹,Bhutan,064,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
不丹,Bhutan,064,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
不丹,Bhutan,064,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
不丹,Bhutan,064,預防接種規定及建議,預防接種項目,,,傷寒疫苗
不丹,Bhutan,064,預防接種規定及建議,預防接種項目,,,瘧疾預防用藥
不丹,Bhutan,064,當地其他相關疾病,蟲媒傳染,登革熱,,
不丹,Bhutan,064,當地其他相關疾病,蟲媒傳染,日本腦炎,,
不丹,Bhutan,064,當地其他相關疾病,蟲媒傳染,瘧疾,,
不丹,Bhutan,064,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
不丹,Bhutan,064,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
不丹,Bhutan,064,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
不丹,Bhutan,064,當地其他相關疾病,食物或飲水傳染,霍亂,,
不丹,Bhutan,064,當地其他相關疾病,食物或飲水傳染,傷寒,,
不丹,Bhutan,064,注意飲食安全-建議,選擇安全的食物,,,
不丹,Bhutan,064,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
不丹,Bhutan,064,當地其他相關疾病,接觸傳染,狂犬病,,
不丹,Bhutan,064,當地其他相關疾病,接觸傳染,新型A型流感(近5年禽鳥有檢出H5N1病毒),,
不丹,Bhutan,064,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
不丹,Bhutan,064,避免接觸動物-建議,新型A型流感大多由染病的禽類感染人類，在當地應避免出入有活禽的傳統市場、養殖場、鳥園，並避免接觸鳥類及其糞便、屍體,,,
不丹,Bhutan,064,避免接觸動物-建議,禽類肉品及蛋都應熟食,,,
玻利維亞,Bolivia,068,國際旅遊疫情建議等級,第一級:注意(Watch)警示,登革熱,2025-02-03,
玻利維亞,Bolivia,068,國際旅遊疫情建議等級,第一級:注意(Watch)警示,黃熱病,2023-11-01,
玻利維亞,Bolivia,068,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
玻利維亞,Bolivia,068,國際旅遊疫情建議等級,第一級:注意(Watch)警示,茲卡病毒感染症,2023-03-20,
玻利維亞,Bolivia,068,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
玻利維亞,Bolivia,068,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
玻利維亞,Bolivia,068,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
玻利維亞,Bolivia,068,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
玻利維亞,Bolivia,068,預防接種規定及建議,預防接種項目,,,傷寒疫苗
玻利維亞,Bolivia,068,預防接種規定及建議,預防接種項目,,,瘧疾預防用藥
玻利維亞,Bolivia,068,當地其他相關疾病,其他類,M痘,,
玻利維亞,Bolivia,068,其他類-建議,降低人際間傳播風險,,,
玻利維亞,Bolivia,068,其他類-建議,降低人畜共通傳播風險,,,
玻利維亞,Bolivia,068,其他類-建議,如有任何疑似症狀，應及時就醫，並告知旅遊史、高風險場域暴露史與接觸史,,,
玻利維亞,Bolivia,068,當地其他相關疾病,蟲媒傳染,登革熱,,
玻利維亞,Bolivia,068,當地其他相關疾病,蟲媒傳染,瘧疾,,
玻利維亞,Bolivia,068,當地其他相關疾病,蟲媒傳染,黃熱病,,
玻利維亞,Bolivia,068,當地其他相關疾病,蟲媒傳染,利什曼原蟲,,
玻利維亞,Bolivia,068,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
玻利維亞,Bolivia,068,當地其他相關疾病,蟲媒傳染,奧羅普切熱,,
玻利維亞,Bolivia,068,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
玻利維亞,Bolivia,068,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
玻利維亞,Bolivia,068,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
玻利維亞,Bolivia,068,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
玻利維亞,Bolivia,068,當地其他相關疾病,食物或飲水傳染,傷寒,,
玻利維亞,Bolivia,068,注意飲食安全-建議,選擇安全的食物,,,
玻利維亞,Bolivia,068,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
玻利維亞,Bolivia,068,當地其他相關疾病,接觸傳染,狂犬病,,
玻利維亞,Bolivia,068,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
荷屬波奈,Bonaire,535,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
荷屬波奈,Bonaire,535,國際旅遊疫情建議等級,第一級:注意(Watch)警示,茲卡病毒感染症,2020-11-06,
荷屬波奈,Bonaire,535,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
荷屬波奈,Bonaire,535,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
荷屬波奈,Bonaire,535,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
荷屬波奈,Bonaire,535,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
荷屬波奈,Bonaire,535,預防接種規定及建議,預防接種項目,,,傷寒疫苗
荷屬波奈,Bonaire,535,當地其他相關疾病,蟲媒傳染,登革熱,,
荷屬波奈,Bonaire,535,當地其他相關疾病,蟲媒傳染,日本腦炎,,
荷屬波奈,Bonaire,535,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
荷屬波奈,Bonaire,535,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
荷屬波奈,Bonaire,535,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
荷屬波奈,Bonaire,535,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
荷屬波奈,Bonaire,535,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
荷屬波奈,Bonaire,535,當地其他相關疾病,接觸傳染,狂犬病,,
荷屬波奈,Bonaire,535,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,當地其他相關疾病,蟲媒傳染,蜱媒腦炎,,
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,當地其他相關疾病,蟲媒傳染,利什曼原蟲,,
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,預防蚊蟲叮咬-建議,蜱媒腦炎是一種由蜱蟲傳播的疾病，蜱蟲多活動於森林、草原等有樹木、灌木或草地的地方，建議前往這些地點時加強防蟲措施,,,
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,預防蚊蟲叮咬-建議,如遭蜱蟲叮咬，可以鑷子夾住蜱蟲前半部，垂直皮膚表面緩慢向上拔除，如無適當工具，建議就醫處理，以免口器斷裂於叮咬部位而造成感染,,,
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,當地其他相關疾病,接觸傳染,狂犬病,,
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,070,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
波札那共和國,Botswana,072,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
波札那共和國,Botswana,072,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
波札那共和國,Botswana,072,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
波札那共和國,Botswana,072,預防接種規定及建議,預防接種項目,,,小兒麻痺疫苗
波札那共和國,Botswana,072,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
波札那共和國,Botswana,072,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
波札那共和國,Botswana,072,預防接種規定及建議,預防接種項目,,,傷寒疫苗
波札那共和國,Botswana,072,預防接種規定及建議,預防接種項目,,,瘧疾預防用藥
波札那共和國,Botswana,072,當地其他相關疾病,蟲媒傳染,登革熱,,
波札那共和國,Botswana,072,當地其他相關疾病,蟲媒傳染,瘧疾,,
波札那共和國,Botswana,072,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
波札那共和國,Botswana,072,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
波札那共和國,Botswana,072,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
波札那共和國,Botswana,072,當地其他相關疾病,食物或飲水傳染,霍亂,,
波札那共和國,Botswana,072,當地其他相關疾病,食物或飲水傳染,傷寒,,
波札那共和國,Botswana,072,注意飲食安全-建議,選擇安全的食物,,,
波札那共和國,Botswana,072,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
波札那共和國,Botswana,072,當地其他相關疾病,接觸傳染,狂犬病,,
波札那共和國,Botswana,072,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
波札那共和國,Botswana,072,感染血吸蟲風險-建議,避免接觸河流、湖泊、池塘等淡水水域,,,
波札那共和國,Botswana,072,感染血吸蟲風險-建議,使用河水、湖水洗澡或洗衣，建議添加氯錠消毒，或在乾淨容器至少儲放2天再使用,,,
波札那共和國,Botswana,072,感染血吸蟲風險-建議,如不慎碰觸淡水，請立即用酒精和乾毛巾大力擦拭皮膚，減低感染風險,,,
巴西,Brazil,076,國際旅遊疫情建議等級,第二級:警示(Alert)警示,登革熱,2023-08-22,
巴西,Brazil,076,國際旅遊疫情建議等級,第二級:警示(Alert)警示,屈公病,2023-09-06,
巴西,Brazil,076,國際旅遊疫情建議等級,第二級:警示(Alert)警示,茲卡病毒感染症,2023-11-01,
巴西,Brazil,076,國際旅遊疫情建議等級,第一級:注意(Watch)警示,M痘,2025-04-11,
巴西,Brazil,076,國際旅遊疫情建議等級,第一級:注意(Watch)警示,黃熱病,2023-11-01,
巴西,Brazil,076,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
巴西,Brazil,076,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
巴西,Brazil,076,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
巴西,Brazil,076,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
巴西,Brazil,076,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
巴西,Brazil,076,預防接種規定及建議,預防接種項目,,,傷寒疫苗
巴西,Brazil,076,預防接種規定及建議,預防接種項目,,,瘧疾預防用藥
巴西,Brazil,076,當地其他相關疾病,其他類,M痘,,
巴西,Brazil,076,其他類-建議,降低人際間傳播風險,,,
巴西,Brazil,076,其他類-建議,降低人畜共通傳播風險,,,
巴西,Brazil,076,其他類-建議,如有任何疑似症狀，應及時就醫，並告知旅遊史、高風險場域暴露史與接觸史,,,
巴西,Brazil,076,當地其他相關疾病,蟲媒傳染,登革熱,,
巴西,Brazil,076,當地其他相關疾病,蟲媒傳染,瘧疾,,
巴西,Brazil,076,當地其他相關疾病,蟲媒傳染,黃熱病,,
巴西,Brazil,076,當地其他相關疾病,蟲媒傳染,利什曼原蟲,,
巴西,Brazil,076,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
巴西,Brazil,076,當地其他相關疾病,蟲媒傳染,屈公病,,
巴西,Brazil,076,當地其他相關疾病,蟲媒傳染,奧羅普切熱,,
巴西,Brazil,076,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
巴西,Brazil,076,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
巴西,Brazil,076,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
巴西,Brazil,076,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
巴西,Brazil,076,當地其他相關疾病,食物或飲水傳染,傷寒,,
巴西,Brazil,076,注意飲食安全-建議,選擇安全的食物,,,
巴西,Brazil,076,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
巴西,Brazil,076,當地其他相關疾病,接觸傳染,狂犬病,,
巴西,Brazil,076,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
巴西,Brazil,076,感染血吸蟲風險-建議,避免接觸河流、湖泊、池塘等淡水水域,,,
巴西,Brazil,076,感染血吸蟲風險-建議,使用河水、湖水洗澡或洗衣，建議添加氯錠消毒，或在乾淨容器至少儲放2天再使用,,,
巴西,Brazil,076,感染血吸蟲風險-建議,如不慎碰觸淡水，請立即用酒精和乾毛巾大力擦拭皮膚，減低感染風險,,,
英屬印度洋群島,British Indian Ocean Territory,086,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
英屬印度洋群島,British Indian Ocean Territory,086,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
英屬印度洋群島,British Indian Ocean Territory,086,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
英屬印度洋群島,British Indian Ocean Territory,086,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
英屬印度洋群島,British Indian Ocean Territory,086,預防接種規定及建議,預防接種項目,,,傷寒疫苗
英屬印度洋群島,British Indian Ocean Territory,086,當地其他相關疾病,蟲媒傳染,登革熱,,
英屬印度洋群島,British Indian Ocean Territory,086,當地其他相關疾病,蟲媒傳染,日本腦炎,,
英屬印度洋群島,British Indian Ocean Territory,086,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
英屬印度洋群島,British Indian Ocean Territory,086,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
英屬印度洋群島,British Indian Ocean Territory,086,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
英屬維京群島,British Virgin Islands,092,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
英屬維京群島,British Virgin Islands,092,國際旅遊疫情建議等級,第一級:注意(Watch)警示,茲卡病毒感染症,2020-11-06,
英屬維京群島,British Virgin Islands,092,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
英屬維京群島,British Virgin Islands,092,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
英屬維京群島,British Virgin Islands,092,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
英屬維京群島,British Virgin Islands,092,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
英屬維京群島,British Virgin Islands,092,預防接種規定及建議,預防接種項目,,,傷寒疫苗
英屬維京群島,British Virgin Islands,092,當地其他相關疾病,蟲媒傳染,登革熱,,
英屬維京群島,British Virgin Islands,092,當地其他相關疾病,蟲媒傳染,屈公病,,
英屬維京群島,British Virgin Islands,092,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
英屬維京群島,British Virgin Islands,092,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
英屬維京群島,British Virgin Islands,092,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
英屬維京群島,British Virgin Islands,092,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
英屬維京群島,British Virgin Islands,092,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
英屬維京群島,British Virgin Islands,092,當地其他相關疾病,接觸傳染,狂犬病,,
英屬維京群島,British Virgin Islands,092,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
汶萊,Brunei Darussalam,096,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
汶萊,Brunei Darussalam,096,預防接種規定及建議,預防接種項目,,,日本腦炎疫苗
汶萊,Brunei Darussalam,096,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
汶萊,Brunei Darussalam,096,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
汶萊,Brunei Darussalam,096,預防接種規定及建議,預防接種項目,,,小兒麻痺疫苗
汶萊,Brunei Darussalam,096,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
汶萊,Brunei Darussalam,096,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
汶萊,Brunei Darussalam,096,預防接種規定及建議,預防接種項目,,,傷寒疫苗
汶萊,Brunei Darussalam,096,預防接種規定及建議,預防接種項目,,,瘧疾預防用藥
汶萊,Brunei Darussalam,096,當地其他相關疾病,蟲媒傳染,登革熱,,
汶萊,Brunei Darussalam,096,當地其他相關疾病,蟲媒傳染,日本腦炎,,
汶萊,Brunei Darussalam,096,當地其他相關疾病,蟲媒傳染,瘧疾,,
汶萊,Brunei Darussalam,096,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
汶萊,Brunei Darussalam,096,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
汶萊,Brunei Darussalam,096,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
汶萊,Brunei Darussalam,096,當地其他相關疾病,食物或飲水傳染,傷寒,,
汶萊,Brunei Darussalam,096,注意飲食安全-建議,選擇安全的食物,,,
汶萊,Brunei Darussalam,096,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
汶萊,Brunei Darussalam,096,當地其他相關疾病,接觸傳染,狂犬病,,
汶萊,Brunei Darussalam,096,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
保加利亞,Bulgaria,100,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
保加利亞,Bulgaria,100,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
保加利亞,Bulgaria,100,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
保加利亞,Bulgaria,100,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
保加利亞,Bulgaria,100,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
保加利亞,Bulgaria,100,當地其他相關疾病,蟲媒傳染,蜱媒腦炎,,
保加利亞,Bulgaria,100,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
保加利亞,Bulgaria,100,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
保加利亞,Bulgaria,100,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
保加利亞,Bulgaria,100,預防蚊蟲叮咬-建議,蜱媒腦炎是一種由蜱蟲傳播的疾病，蜱蟲多活動於森林、草原等有樹木、灌木或草地的地方，建議前往這些地點時加強防蟲措施,,,
保加利亞,Bulgaria,100,預防蚊蟲叮咬-建議,如遭蜱蟲叮咬，可以鑷子夾住蜱蟲前半部，垂直皮膚表面緩慢向上拔除，如無適當工具，建議就醫處理，以免口器斷裂於叮咬部位而造成感染,,,
保加利亞,Bulgaria,100,當地其他相關疾病,接觸傳染,狂犬病,,
保加利亞,Bulgaria,100,當地其他相關疾病,接觸傳染,新型A型流感(近5年禽鳥有檢出H5N1病毒),,
保加利亞,Bulgaria,100,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
保加利亞,Bulgaria,100,避免接觸動物-建議,新型A型流感大多由染病的禽類感染人類，在當地應避免出入有活禽的傳統市場、養殖場、鳥園，並避免接觸鳥類及其糞便、屍體,,,
保加利亞,Bulgaria,100,避免接觸動物-建議,禽類肉品及蛋都應熟食,,,
布吉納法索,Burkina Faso,854,國際旅遊疫情建議等級,第一級:注意(Watch)警示,登革熱,2025-04-11,
布吉納法索,Burkina Faso,854,國際旅遊疫情建議等級,第一級:注意(Watch)警示,黃熱病,2023-11-01,
布吉納法索,Burkina Faso,854,國際旅遊疫情建議等級,第一級:注意(Watch)警示,麻疹,2024-08-01,
布吉納法索,Burkina Faso,854,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
布吉納法索,Burkina Faso,854,國際旅遊疫情建議等級,第一級:注意(Watch)警示,茲卡病毒感染症,2019-07-08,
布吉納法索,Burkina Faso,854,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
布吉納法索,Burkina Faso,854,預防接種規定及建議,預防接種項目,,,流行性腦脊髓膜炎疫苗
布吉納法索,Burkina Faso,854,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
布吉納法索,Burkina Faso,854,預防接種規定及建議,預防接種項目,,,小兒麻痺疫苗
布吉納法索,Burkina Faso,854,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
布吉納法索,Burkina Faso,854,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
布吉納法索,Burkina Faso,854,預防接種規定及建議,預防接種項目,,,傷寒疫苗
布吉納法索,Burkina Faso,854,預防接種規定及建議,預防接種項目,,,瘧疾預防用藥
布吉納法索,Burkina Faso,854,當地其他相關疾病,蟲媒傳染,登革熱,,
布吉納法索,Burkina Faso,854,當地其他相關疾病,蟲媒傳染,瘧疾,,
布吉納法索,Burkina Faso,854,當地其他相關疾病,蟲媒傳染,黃熱病,,
布吉納法索,Burkina Faso,854,當地其他相關疾病,蟲媒傳染,利什曼原蟲,,
布吉納法索,Burkina Faso,854,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
布吉納法索,Burkina Faso,854,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
布吉納法索,Burkina Faso,854,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
布吉納法索,Burkina Faso,854,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
布吉納法索,Burkina Faso,854,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
布吉納法索,Burkina Faso,854,當地其他相關疾病,食物或飲水傳染,霍亂,,
布吉納法索,Burkina Faso,854,當地其他相關疾病,食物或飲水傳染,傷寒,,
布吉納法索,Burkina Faso,854,注意飲食安全-建議,選擇安全的食物,,,
布吉納法索,Burkina Faso,854,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
布吉納法索,Burkina Faso,854,當地其他相關疾病,接觸傳染,狂犬病,,
布吉納法索,Burkina Faso,854,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
