醫療院所名稱,抗蛇毒血清種類,電話,區域別,縣市別,縣市別代碼,縣市鄉鎮市區,縣市鄉鎮市區代碼,地址,經度,緯度,醫事機構代碼
東元醫療社團法人東元綜合醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)5527000,北區,新竹縣,10004,新竹縣竹北市,10004010,新竹縣竹北市斗崙里縣政二路６９號,121.013753,24.823703,0933050018
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)6677600,北區,新竹縣,10004,新竹縣竹北市,10004010,新竹縣竹北市生醫路一段2號,121.0429112,24.8074294,0433050018
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院 (竹東院區),抗龜殼花及赤尾鮐蛇毒血清,(03)5343248,北區,新竹縣,10004,新竹縣竹東鎮,10004020,新竹縣竹東鎮上館里至善路52號,121.0232212,24.7189239,0433050018
新竹縣五峰鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(03)5851005,北區,新竹縣,10004,新竹縣五峰鄉,10004130,新竹縣五峰鄉大隘村699號,121.119384,24.63184,2333140017
新竹縣尖石鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(03)5842356,北區,新竹縣,10004,新竹縣尖石鄉,10004120,新竹縣尖石鄉嘉樂村二61號,121.178636,24.667854,2333130011
臺北榮民總醫院新竹分院,抗龜殼花及赤尾鮐蛇毒血清,(03)5962134,北區,新竹縣,10004,新竹縣竹東鎮,10004020,新竹縣竹東鎮東寧里中豐路１段８１號,121.099575,24.722702,0633030010
佛教慈濟醫療財團法人玉里慈濟醫院,抗百步蛇毒血清,(038)882718,東區,花蓮縣,10015,花蓮縣玉里鎮,10015030,花蓮縣玉里鎮永昌里民權街1之1號,121.3159497,23.3352493,1145030012
佛教慈濟醫療財團法人花蓮慈濟醫院,抗百步蛇毒血清,(038)561825,東區,花蓮縣,10015,花蓮縣花蓮市,10015010,花蓮縣花蓮市國福里中央路三段７０７號,121.5903585,23.9962097,1145010010
國軍花蓮總醫院附設民眾診療服務處,抗百步蛇毒血清,(038)263151,東區,花蓮縣,10015,花蓮縣新城鄉,10015040,花蓮縣新城鄉嘉里村嘉里路163號,121.6074,24.024429,0545040515
臺北榮民總醫院玉里分院,抗百步蛇毒血清,(038)883141,東區,花蓮縣,10015,花蓮縣玉里鎮,10015030,花蓮縣玉里鎮泰昌里新興街９１號,121.312031,23.339213,0645030011
佛教慈濟醫療財團法人玉里慈濟醫院,抗雨傘節及飯匙倩蛇毒血清,(038)882718,東區,花蓮縣,10015,花蓮縣玉里鎮,10015030,花蓮縣玉里鎮永昌里民權街1之1號,121.3159497,23.3352493,1145030012
佛教慈濟醫療財團法人花蓮慈濟醫院,抗雨傘節及飯匙倩蛇毒血清,(038)561825,東區,花蓮縣,10015,花蓮縣花蓮市,10015010,花蓮縣花蓮市國福里中央路三段７０７號,121.5903585,23.9962097,1145010010
臺北榮民總醫院玉里分院,抗雨傘節及飯匙倩蛇毒血清,(038)883141,東區,花蓮縣,10015,花蓮縣玉里鎮,10015030,花蓮縣玉里鎮泰昌里新興街９１號,121.312031,23.339213,0645030011
臺北榮民總醫院鳳林分院,抗雨傘節及飯匙倩蛇毒血清,(038)764539,東區,花蓮縣,10015,花蓮縣鳳林鎮,10015020,花蓮縣鳳林鎮鳳信里中正路1段2號,121.439215,23.727428,0645020015
臺灣基督教門諾會醫療財團法人門諾醫院,抗雨傘節及飯匙倩蛇毒血清,(038)241016,東區,花蓮縣,10015,花蓮縣花蓮市,10015010,花蓮縣花蓮市民權路４４號,121.626753,23.988335,1145010038
衛生福利部花蓮醫院,抗雨傘節及飯匙倩蛇毒血清,(038)358141,東區,花蓮縣,10015,花蓮縣花蓮市,10015010,花蓮縣花蓮市民權里中正路600號,121.611421,23.979207,0145010019
衛生福利部花蓮醫院豐濱原住民分院,抗雨傘節及飯匙倩蛇毒血清,(038)791385,東區,花蓮縣,10015,花蓮縣豐濱鄉,10015080,花蓮縣豐濱鄉豐濱村豐濱村光豐路４１號,121.5212558,23.60219835,0145080011
佛教慈濟醫療財團法人玉里慈濟醫院,抗龜殼花及赤尾鮐蛇毒血清,(038)882718,東區,花蓮縣,10015,花蓮縣玉里鎮,10015030,花蓮縣玉里鎮永昌里民權街1之1號,121.3159497,23.3352493,1145030012
佛教慈濟醫療財團法人花蓮慈濟醫院,抗龜殼花及赤尾鮐蛇毒血清,(038)561825,東區,花蓮縣,10015,花蓮縣花蓮市,10015010,花蓮縣花蓮市國福里中央路三段７０７號,121.5903585,23.9962097,1145010010
國軍花蓮總醫院附設民眾診療服務處,抗龜殼花及赤尾鮐蛇毒血清,(038)263151,東區,花蓮縣,10015,花蓮縣新城鄉,10015040,花蓮縣新城鄉嘉里村嘉里路163號,121.6074,24.024429,0545040515
臺北榮民總醫院玉里分院,抗龜殼花及赤尾鮐蛇毒血清,(038)883141,東區,花蓮縣,10015,花蓮縣玉里鎮,10015030,花蓮縣玉里鎮泰昌里新興街９１號,121.312031,23.339213,0645030011
臺北榮民總醫院鳳林分院,抗龜殼花及赤尾鮐蛇毒血清,(038)764539,東區,花蓮縣,10015,花蓮縣鳳林鎮,10015020,花蓮縣鳳林鎮鳳信里中正路1段2號,121.439215,23.727428,0645020015
臺灣基督教門諾會醫療財團法人門諾醫院,抗龜殼花及赤尾鮐蛇毒血清,(038)241016,東區,花蓮縣,10015,花蓮縣花蓮市,10015010,花蓮縣花蓮市民權路４４號,121.626753,23.988335,1145010038
衛生福利部花蓮醫院,抗龜殼花及赤尾鮐蛇毒血清,(038)358141,東區,花蓮縣,10015,花蓮縣花蓮市,10015010,花蓮縣花蓮市民權里中正路600號,121.611421,23.979207,0145010019
衛生福利部花蓮醫院豐濱原住民分院,抗龜殼花及赤尾鮐蛇毒血清,(038)791385,東區,花蓮縣,10015,花蓮縣豐濱鄉,10015080,花蓮縣豐濱鄉豐濱村豐濱村光豐路４１號,121.5212558,23.60219835,0145080011
佛教慈濟醫療財團法人花蓮慈濟醫院,抗鎖鏈蛇毒血清,(038)561825,東區,花蓮縣,10015,花蓮縣花蓮市,10015010,花蓮縣花蓮市國福里中央路三段７０７號,121.5903585,23.9962097,1145010010
臺北榮民總醫院玉里分院,抗鎖鏈蛇毒血清,(038)883141,東區,花蓮縣,10015,花蓮縣玉里鎮,10015030,花蓮縣玉里鎮泰昌里新興街９１號,121.312031,23.339213,0645030011
臺東縣大武鄉衛生所,抗百步蛇毒血清,(089)791325,東區,臺東縣,10014,臺東縣大武鄉,10014100,臺東縣大武鄉大武村復興路2-2號,120.903936,22.355929,2346050013
臺東縣太麻里鄉衛生所,抗百步蛇毒血清,(089)781220,東區,臺東縣,10014,臺東縣太麻里鄉,10014090,臺東縣太麻里鄉泰和村民權路66號,121.007423,22.615376,2346060019
臺東縣池上鄉衛生所,抗百步蛇毒血清,(089)862609,東區,臺東縣,10014,臺東縣池上鄉,10014060,臺東縣池上鄉福原村中山路104號,121.214811,23.121687,2346100018
臺東縣卑南鄉衛生所,抗百步蛇毒血清,(089)382030,東區,臺東縣,10014,臺東縣卑南鄉,10014040,臺東縣卑南鄉太平村和平路132號,121.088069,22.782071,2346040017
臺東縣延平鄉衛生所,抗百步蛇毒血清,(089)561358,東區,臺東縣,10014,臺東縣延平鄉,10014130,臺東縣延平鄉桃源村桃源111號,121.0833723,22.902167,2346120010
臺東縣金峰鄉衛生所,抗百步蛇毒血清,(089)771176,東區,臺東縣,10014,臺東縣金峰鄉,10014140,臺東縣金峰鄉賓茂村114號,120.960697,22.532412,2346150018
臺東縣長濱鄉衛生所,抗百步蛇毒血清,(089)831022,東區,臺東縣,10014,臺東縣長濱鄉,10014080,臺東縣長濱鄉長濱村中興路46號,121.453933,23.318793,2346080011
臺東縣海端鄉衛生所,抗百步蛇毒血清,(089)931391,東區,臺東縣,10014,臺東縣海端鄉,10014120,臺東縣海端鄉海端村山界29號,121.176693,23.100942,2346130016
臺東縣鹿野鄉衛生所,抗百步蛇毒血清,(089)551074,東區,臺東縣,10014,臺東縣鹿野鄉,10014050,臺東縣鹿野鄉鹿野村中華路一段418號,121.1351419,22.9123306,2346090017
臺東縣達仁鄉衛生所,抗百步蛇毒血清,(089)702209,東區,臺東縣,10014,臺東縣達仁鄉,10014150,臺東縣達仁鄉安朔村13復興路122號,120.884945,22.293353,2346140012
臺東縣綠島鄉衛生所,抗百步蛇毒血清,(089)672762,東區,臺東縣,10014,臺東縣綠島鄉,10014110,臺東縣綠島鄉中寮村11-1號,121.469607,22.673186,2346110014
臺東縣蘭嶼鄉衛生所,抗百步蛇毒血清,(089)731619,東區,臺東縣,10014,臺東縣蘭嶼鄉,10014160,臺東縣蘭嶼鄉紅頭村36號,121.5340909,22.026739,2346160014
臺灣基督長老教會馬偕醫療財團法人臺東馬偕紀念醫院,抗百步蛇毒血清,(089)310150,東區,臺東縣,10014,臺東縣臺東市,10014010,臺東縣臺東市東海里長沙街３０３巷１號,121.1385693,22.7510488,1146010014
臺東縣東河鄉衛生所,抗百步蛇毒血清,(089)896289,東區,臺東縣,10014,臺東縣東河鄉,10014070,臺東縣東河鄉東河村10300號,121.303079,22.968461,2346070015
臺東縣大武鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)791325,東區,臺東縣,10014,臺東縣大武鄉,10014100,臺東縣大武鄉大武村復興路2-2號,120.903936,22.355929,2346050013
臺東縣太麻里鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)781220,東區,臺東縣,10014,臺東縣太麻里鄉,10014090,臺東縣太麻里鄉泰和村民權路66號,121.007423,22.615376,2346060019
臺東縣池上鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)862609,東區,臺東縣,10014,臺東縣池上鄉,10014060,臺東縣池上鄉福原村中山路104號,121.214811,23.121687,2346100018
臺東縣卑南鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)382030,東區,臺東縣,10014,臺東縣卑南鄉,10014040,臺東縣卑南鄉太平村和平路132號,121.088069,22.782071,2346040017
臺東縣延平鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)561358,東區,臺東縣,10014,臺東縣延平鄉,10014130,臺東縣延平鄉桃源村桃源111號,121.0833723,22.902167,2346120010
臺東縣金峰鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)771176,東區,臺東縣,10014,臺東縣金峰鄉,10014140,臺東縣金峰鄉賓茂村114號,120.960697,22.532412,2346150018
臺東縣長濱鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)831022,東區,臺東縣,10014,臺東縣長濱鄉,10014080,臺東縣長濱鄉長濱村中興路46號,121.453933,23.318793,2346080011
臺東縣海端鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)931391,東區,臺東縣,10014,臺東縣海端鄉,10014120,臺東縣海端鄉海端村山界29號,121.176693,23.100942,2346130016
臺東縣鹿野鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)551074,東區,臺東縣,10014,臺東縣鹿野鄉,10014050,臺東縣鹿野鄉鹿野村中華路一段418號,121.1351419,22.9123306,2346090017
臺東縣達仁鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)702209,東區,臺東縣,10014,臺東縣達仁鄉,10014150,臺東縣達仁鄉安朔村13復興路122號,120.884945,22.293353,2346140012
臺東縣綠島鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)672762,東區,臺東縣,10014,臺東縣綠島鄉,10014110,臺東縣綠島鄉中寮村11-1號,121.469607,22.673186,2346110014
臺東縣蘭嶼鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)731619,東區,臺東縣,10014,臺東縣蘭嶼鄉,10014160,臺東縣蘭嶼鄉紅頭村36號,121.5340909,22.026739,2346160014
臺灣基督長老教會馬偕醫療財團法人臺東馬偕紀念醫院,抗雨傘節及飯匙倩蛇毒血清,(089)310150,東區,臺東縣,10014,臺東縣臺東市,10014010,臺東縣臺東市東海里長沙街３０３巷１號,121.1385693,22.7510488,1146010014
佛教慈濟醫療財團法人關山慈濟醫院,抗雨傘節及飯匙倩蛇毒血清,(089)814880,東區,臺東縣,10014,臺東縣關山鎮,10014030,臺東縣關山鎮豐泉里和平路１２５–５號,121.165177,23.05112,1146030516
東基醫療財團法人臺東基督教醫院,抗雨傘節及飯匙倩蛇毒血清,(089)323362,東區,臺東縣,10014,臺東縣臺東市,10014010,臺東縣臺東市新生里開封街３５０號,121.146016,22.763821,1146010032
臺東縣東河鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(089)896289,東區,臺東縣,10014,臺東縣東河鄉,10014070,臺東縣東河鄉東河村10300號,121.303079,22.968461,2346070015
臺東縣大武鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(089)791325,東區,臺東縣,10014,臺東縣大武鄉,10014100,臺東縣大武鄉大武村復興路2-2號,120.903936,22.355929,2346050013
臺東縣太麻里鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(089)781220,東區,臺東縣,10014,臺東縣太麻里鄉,10014090,臺東縣太麻里鄉泰和村民權路66號,121.007423,22.615376,2346060019
臺東縣金峰鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(089)771176,東區,臺東縣,10014,臺東縣金峰鄉,10014140,臺東縣金峰鄉賓茂村114號,120.960697,22.532412,2346150018
臺東縣綠島鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(089)672762,東區,臺東縣,10014,臺東縣綠島鄉,10014110,臺東縣綠島鄉中寮村11-1號,121.469607,22.673186,2346110014
臺東縣蘭嶼鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(089)731619,東區,臺東縣,10014,臺東縣蘭嶼鄉,10014160,臺東縣蘭嶼鄉紅頭村36號,121.5340909,22.026739,2346160014
臺灣基督長老教會馬偕醫療財團法人臺東馬偕紀念醫院,抗龜殼花及赤尾鮐蛇毒血清,(089)310150,東區,臺東縣,10014,臺東縣臺東市,10014010,臺東縣臺東市東海里長沙街３０３巷１號,121.1385693,22.7510488,1146010014
佛教慈濟醫療財團法人關山慈濟醫院,抗龜殼花及赤尾鮐蛇毒血清,(089)814880,東區,臺東縣,10014,臺東縣關山鎮,10014030,臺東縣關山鎮豐泉里和平路１２５–５號,121.165177,23.05112,1146030516
東基醫療財團法人臺東基督教醫院,抗龜殼花及赤尾鮐蛇毒血清,(089)323362,東區,臺東縣,10014,臺東縣臺東市,10014010,臺東縣臺東市新生里開封街３５０號,121.146016,22.763821,1146010032
衛生福利部臺東醫院,抗龜殼花及赤尾鮐蛇毒血清,(089)324112,東區,臺東縣,10014,臺東縣臺東市,10014010,臺東縣臺東市民權里五權街１號,121.150649,22.757025,0146010013
衛生福利部臺東醫院成功分院,抗龜殼花及赤尾鮐蛇毒血清,(089)854748,東區,臺東縣,10014,臺東縣成功鎮,10014020,臺東縣成功鎮中山東路32號,121.377829,23.099296,0146020537
臺東縣大武鄉衛生所,抗鎖鏈蛇毒血清,(089)791325,東區,臺東縣,10014,臺東縣大武鄉,10014100,臺東縣大武鄉大武村復興路2-2號,120.903936,22.355929,2346050013
臺東縣綠島鄉衛生所,抗鎖鏈蛇毒血清,(089)672762,東區,臺東縣,10014,臺東縣綠島鄉,10014110,臺東縣綠島鄉中寮村11-1號,121.469607,22.673186,2346110014
臺東縣蘭嶼鄉衛生所,抗鎖鏈蛇毒血清,(089)731619,東區,臺東縣,10014,臺東縣蘭嶼鄉,10014160,臺東縣蘭嶼鄉紅頭村36號,121.5340909,22.026739,2346160014
臺灣基督長老教會馬偕醫療財團法人臺東馬偕紀念醫院,抗鎖鏈蛇毒血清,(089)310150,東區,臺東縣,10014,臺東縣臺東市,10014010,臺東縣臺東市東海里長沙街３０３巷１號,121.1385693,22.7510488,1146010014
佛教慈濟醫療財團法人關山慈濟醫院,抗鎖鏈蛇毒血清,(089)814880,東區,臺東縣,10014,臺東縣關山鎮,10014030,臺東縣關山鎮豐泉里和平路１２５–５號,121.165177,23.05112,1146030516
衛生福利部臺東醫院,抗鎖鏈蛇毒血清,(089)324112,東區,臺東縣,10014,臺東縣臺東市,10014010,臺東縣臺東市民權里五權街１號,121.150649,22.757025,0146010013
衛生福利部臺東醫院成功分院,抗鎖鏈蛇毒血清,(089)854748,東區,臺東縣,10014,臺東縣成功鎮,10014020,臺東縣成功鎮中山東路32號,121.377829,23.099296,0146020537
中國醫藥大學北港附設醫院,抗雨傘節及飯匙倩蛇毒血清,(05)7837901,南區,雲林縣,10009,雲林縣北港鎮,10009060,雲林縣北港鎮新街里新德路１２３號,120.30782,23.591763,1339060017
長庚醫療財團法人雲林長庚紀念醫院,抗雨傘節及飯匙倩蛇毒血清,(05)6915151,南區,雲林縣,10009,雲林縣麥寮鄉,10009130,雲林縣麥寮鄉中興村工業路1500號,120.218341,23.795184,1139130010
國立成功大學醫學院附設醫院斗六分院,抗雨傘節及飯匙倩蛇毒血清,(05)5332121,南區,雲林縣,10009,雲林縣斗六市,10009010,雲林縣斗六市莊敬路345號,120.545625,23.703134,0439010527
國立臺灣大學醫學院附設醫院雲林分院,抗雨傘節及飯匙倩蛇毒血清,(05)5323911,南區,雲林縣,10009,雲林縣斗六市,10009010,雲林縣斗六市雲林路二段５７９號,120.525929,23.697662,0439010518
中國醫藥大學北港附設醫院,抗龜殼花及赤尾鮐蛇毒血清,(05)7837901,南區,雲林縣,10009,雲林縣北港鎮,10009060,雲林縣北港鎮新街里新德路１２３號,120.30782,23.591763,1339060017
長庚醫療財團法人雲林長庚紀念醫院,抗龜殼花及赤尾鮐蛇毒血清,(05)6915151,南區,雲林縣,10009,雲林縣麥寮鄉,10009130,雲林縣麥寮鄉中興村工業路1500號,120.218341,23.795184,1139130010
國立成功大學醫學院附設醫院斗六分院,抗龜殼花及赤尾鮐蛇毒血清,(05)5332121,南區,雲林縣,10009,雲林縣斗六市,10009010,雲林縣斗六市莊敬路345號,120.545625,23.703134,0439010527
國立臺灣大學醫學院附設醫院雲林分院,抗龜殼花及赤尾鮐蛇毒血清,(05)5323911,南區,雲林縣,10009,雲林縣斗六市,10009010,雲林縣斗六市雲林路二段５７９號,120.525929,23.697662,0439010518
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,抗百步蛇毒血清,(05)2756000,南區,嘉義市,10020,嘉義市東區,10020010,嘉義市東區長竹里大雅路二段５６５號,120.4671,23.47568,1122010021
陽明醫院,抗百步蛇毒血清,(05)2252000,南區,嘉義市,10020,嘉義市東區,10020010,嘉義市東區吳鳳北路252號,120.45319,23.48057,1532101091
戴德森醫療財團法人嘉義基督教醫院,抗百步蛇毒血清,(05)2765041,南區,嘉義市,10020,嘉義市東區,10020010,嘉義市東區忠孝路５３９號,120.45005,23.4994,1122010012
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,抗雨傘節及飯匙倩蛇毒血清,(05)2756000,南區,嘉義市,10020,嘉義市東區,10020010,嘉義市東區長竹里大雅路二段５６５號,120.4671,23.47568,1122010021
陽明醫院,抗雨傘節及飯匙倩蛇毒血清,(05)2252000,南區,嘉義市,10020,嘉義市東區,10020010,嘉義市東區吳鳳北路252號,120.45319,23.48057,1532101091
臺中榮民總醫院嘉義分院,抗雨傘節及飯匙倩蛇毒血清,(05)2359630,南區,嘉義市,10020,嘉義市西區,10020020,嘉義市西區世賢路二段６００號,120.42297,23.46755,0622020017
戴德森醫療財團法人嘉義基督教醫院,抗雨傘節及飯匙倩蛇毒血清,(05)2765041,南區,嘉義市,10020,嘉義市東區,10020010,嘉義市東區忠孝路５３９號,120.45005,23.4994,1122010012
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,抗龜殼花及赤尾鮐蛇毒血清,(05)2756000,南區,嘉義市,10020,嘉義市東區,10020010,嘉義市東區長竹里大雅路二段５６５號,120.4671,23.47568,1122010021
陽明醫院,抗龜殼花及赤尾鮐蛇毒血清,(05)2252000,南區,嘉義市,10020,嘉義市東區,10020010,嘉義市東區吳鳳北路252號,120.45319,23.48057,1532101091
臺中榮民總醫院嘉義分院,抗龜殼花及赤尾鮐蛇毒血清,(05)2359630,南區,嘉義市,10020,嘉義市西區,10020020,嘉義市西區世賢路二段６００號,120.42297,23.46755,0622020017
戴德森醫療財團法人嘉義基督教醫院,抗龜殼花及赤尾鮐蛇毒血清,(05)2765041,南區,嘉義市,10020,嘉義市東區,10020010,嘉義市東區忠孝路５３９號,120.45005,23.4994,1122010012
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,抗鎖鏈蛇毒血清,(05)2756000,南區,嘉義市,10020,嘉義市東區,10020010,嘉義市東區長竹里大雅路二段５６５號,120.4671,23.47568,1122010021
嘉義縣大埔鄉衛生所,抗百步蛇毒血清,(05)2521214,南區,嘉義縣,10010,嘉義縣大埔鄉,10010170,嘉義縣大埔鄉大埔村53-1號,120.592785,23.293973,2340170016
嘉義縣阿里山鄉衛生所,抗百步蛇毒血清,(05)2561573,南區,嘉義縣,10010,嘉義縣阿里山鄉,10010180,嘉義縣阿里山鄉樂野村397-2號,120.701886,23.466598,2340180012
佛教慈濟醫療財團法人大林慈濟醫院,抗雨傘節及飯匙倩蛇毒血清,(05)2648000,南區,嘉義縣,10010,嘉義縣大林鎮,10010040,嘉義縣大林鎮平林里民生路2號,120.454994,23.5965659,1140030012
長庚醫療財團法人嘉義長庚紀念醫院,抗雨傘節及飯匙倩蛇毒血清,(05)3621000,南區,嘉義縣,10010,嘉義縣朴子市,10010020,嘉義縣朴子市仁和里嘉朴路西段6號,120.284043,23.464806,1140010510
嘉義縣大埔鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,05-2521214,南區,嘉義縣,10010,嘉義縣大埔鄉,10010170,嘉義縣大埔鄉大埔村53-1號,120.592785,23.293973,2340170016
嘉義縣阿里山鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(05)2561573,南區,嘉義縣,10010,嘉義縣阿里山鄉,10010180,嘉義縣阿里山鄉樂野村397-2號,120.701886,23.466598,2340180012
臺中榮民總醫院灣橋分院,抗雨傘節及飯匙倩蛇毒血清,(05)2791072,南區,嘉義縣,10010,嘉義縣竹崎鄉,10010140,嘉義縣竹崎鄉灣橋村石麻園３８號,120.50638,23.48778,0640140012
佛教慈濟醫療財團法人大林慈濟醫院,抗龜殼花及赤尾鮐蛇毒血清,(05)2648000,南區,嘉義縣,10010,嘉義縣大林鎮,10010040,嘉義縣大林鎮平林里民生路二號,120.454994,23.5965659,1140030012
長庚醫療財團法人嘉義長庚紀念醫院,抗龜殼花及赤尾鮐蛇毒血清,(05)3621000,南區,嘉義縣,10010,嘉義縣朴子市,10010020,嘉義縣朴子市仁和里嘉朴路西段6號,120.284043,23.464806,1140010510
嘉義縣大埔鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(05)2521214,南區,嘉義縣,10010,嘉義縣大埔鄉,10010170,嘉義縣大埔鄉大埔村53-1號,120.592785,23.293973,2340170016
嘉義縣阿里山鄉衛生所,抗龜殼花及赤尾鮐蛇毒血清,(05)2561573,南區,嘉義縣,10010,嘉義縣阿里山鄉,10010180,嘉義縣阿里山鄉樂野村397-2號,120.701886,23.466598,2340180012
臺中榮民總醫院灣橋分院,抗龜殼花及赤尾鮐蛇毒血清,(05)2791072,南區,嘉義縣,10010,嘉義縣竹崎鄉,10010140,嘉義縣竹崎鄉灣橋村石麻園３８號,120.50638,23.48778,0640140012
臺灣基督長老教會新樓醫療財團法人麻豆新樓醫院,抗雨傘節及飯匙倩蛇毒血清,(06)5702228,南區,臺南市,10021,臺南市麻豆區,67000070,臺南市麻豆區麻佳路一段207號,120.233033,23.179874,1105040016
奇美醫療財團法人佳里奇美醫院,抗雨傘節及飯匙倩蛇毒血清,(06)7263333,南區,臺南市,10021,臺南市佳里區,67000120,臺南市佳里區興化里６０６號,120.183662,23.181699,1105050012
奇美醫療財團法人奇美醫院,抗雨傘節及飯匙倩蛇毒血清,(06)2812811,南區,臺南市,10021,臺南市永康區,67000310,臺南市永康區甲頂里中華路９０１號,120.221897,23.020606,1141310019
奇美醫療財團法人柳營奇美醫院,抗雨傘節及飯匙倩蛇毒血清,(06)6226999,南區,臺南市,10021,臺南市柳營區,67000040,臺南市柳營區太康里太康201號,120.324705,23.289269,1141090512
國立成功大學醫學院附設醫院,抗雨傘節及飯匙倩蛇毒血清,(06)2353535,南區,臺南市,10021,臺南市北區,10021040,臺南市北區勝利路１３８號,120.21923,23.00221,0421040011
衛生福利部臺南醫院新化分院,抗雨傘節及飯匙倩蛇毒血清,(06)5911929,南區,臺南市,10021,臺南市新化區,67000180,臺南市新化區那拔里牧場７２號,120.335877,23.063207,0141060513
臺灣基督長老教會新樓醫療財團法人麻豆新樓醫院,抗龜殼花及赤尾鮐蛇毒血清,(06)5702228,南區,臺南市,10021,臺南市麻豆區,67000070,臺南市麻豆區麻佳路一段207號,120.233033,23.179874,1105040016
奇美醫療財團法人佳里奇美醫院,抗龜殼花及赤尾鮐蛇毒血清,(06)7263333,南區,臺南市,10021,臺南市佳里區,67000120,臺南市佳里區興化里６０６號,120.183662,23.181699,1105050012
奇美醫療財團法人奇美醫院,抗龜殼花及赤尾鮐蛇毒血清,(06)2812811,南區,臺南市,10021,臺南市永康區,67000310,臺南市永康區甲頂里中華路９０１號,120.221897,23.020606,1141310019
奇美醫療財團法人柳營奇美醫院,抗龜殼花及赤尾鮐蛇毒血清,(06)6226999,南區,臺南市,10021,臺南市柳營區,67000040,臺南市柳營區太康里太康201號,120.324705,23.289269,1141090512
國立成功大學醫學院附設醫院,抗龜殼花及赤尾鮐蛇毒血清,(06)2353535,南區,臺南市,10021,臺南市北區,10021040,臺南市北區勝利路１３８號,120.21923,23.00221,0421040011
衛生福利部臺南醫院新化分院,抗龜殼花及赤尾鮐蛇毒血清,(06)5911929,南區,臺南市,10021,臺南市新化區,67000180,臺南市新化區那拔里牧場７２號,120.335877,23.063207,0141060513
屏東榮民總醫院龍泉分院,抗百步蛇毒血清,(08)7557885,高屏區,屏東縣,10013,屏東縣內埔鄉,10013130,屏東縣內埔鄉龍潭村昭勝路安平一巷１號,120.599009,22.674418,0643130018
屏東縣霧臺鄉衛生所,抗百步蛇毒血清,(08)7902232,高屏區,屏東縣,10013,屏東縣霧臺鄉,10013270,屏東縣霧臺鄉霧臺村神山巷70號,120.726778,22.749269,2343270013
屏基醫療財團法人屏東基督教醫院,抗百步蛇毒血清,(08)7363026,高屏區,屏東縣,10013,屏東縣屏東市,10013010,屏東縣屏東市華山里大連路６０號,120.5004333,22.6821339,1143010012
衛生福利部恆春旅遊醫院,抗百步蛇毒血清,(08)8892704,高屏區,屏東縣,10013,屏東縣恆春鎮,10013040,屏東縣恆春鎮山腳里恆南路１８８號,120.7426569,21.9992068,0143040019
安泰醫療社團法人安泰醫院,抗雨傘節及飯匙倩蛇毒血清,(08)8329966,高屏區,屏東縣,10013,屏東縣東港鎮,10013030,屏東縣東港鎮興東里中正路一段２１０號,120.459127,22.474326,0943030019
安泰醫療社團法人潮州安泰醫院,抗雨傘節及飯匙倩蛇毒血清,(08)7800888,高屏區,屏東縣,10013,屏東縣潮州鎮,10013020,屏東縣潮州鎮三星里四維路１６２號,120.546964,22.554031,0943020013
枋寮醫療社團法人枋寮醫院,抗雨傘節及飯匙倩蛇毒血清,(08)8789991,高屏區,屏東縣,10013,屏東縣枋寮鄉,10013160,屏東縣枋寮鄉安樂村中山路139號,120.596798,22.36414,0943160012
南門醫療社團法人南門醫院,抗雨傘節及飯匙倩蛇毒血清,(08)8894568,高屏區,屏東縣,10013,屏東縣恆春鎮,10013040,屏東縣恆春鎮城南里南門路１０號,120.745389,22.000858,0943040015
