年度,醫院層級,菌種名稱,抗生素名稱,分離菌株總數,通報藥敏試驗菌株總數,敏感性菌株數,非敏感性菌株數,通報藥敏試驗醫院家數
2017,醫學中心,Pseudomonas aeruginosa,Piperacillin/Tazobactam,32778,27670,22883,4787,16
2017,醫學中心,Pseudomonas aeruginosa,Piperacillin,32778,2523,2071,452,16
2017,醫學中心,Enterococcus faecalis,Ampicillin,22367,11899,11823,76,16
2017,醫學中心,Enterococcus faecalis,Gentamicin-High,22367,14001,7759,6242,16
2017,醫學中心,Enterococcus faecalis,Vancomycin,22367,22291,22229,62,22
2017,醫學中心,Enterococcus faecium,Ampicillin,14912,7805,721,7084,16
2017,醫學中心,Enterococcus faecium,Gentamicin-High,14912,9664,4762,4902,16
2017,醫學中心,Enterococcus faecium,Vancomycin,14912,14846,6713,8133,22
2017,醫學中心,Staphylococcus aureus,Ciprofloxacin,44332,14742,10635,4107,15
2017,醫學中心,Staphylococcus aureus,Oxacillin,44332,44269,22893,21376,22
2017,醫學中心,Staphylococcus aureus,Trimethoprim/Sulfamethoxazole,44332,30634,25948,4686,16
2017,醫學中心,Staphylococcus aureus,Vancomycin,44332,34046,34040,6,18
2017,醫學中心,Enterococcus spp.,Ampicillin,2983,2473,2027,446,16
2017,醫學中心,Enterococcus spp.,Gentamicin-High,2983,2596,1898,698,16
2017,醫學中心,Enterococcus spp.,Vancomycin,2983,2975,2625,350,21
2017,區域醫院,Acinetobacter baumannii,Ampicillin/Sulbactam,24580,20366,9092,11274,75
2017,區域醫院,Acinetobacter baumannii,Amikacin,24580,13690,6502,7188,75
2017,區域醫院,Acinetobacter baumannii,Cefepime,24580,19048,6636,12412,75
2017,區域醫院,Acinetobacter baumannii,Ciprofloxacin,24580,14507,4578,9929,75
2017,區域醫院,Acinetobacter baumannii,Ceftazidime,24580,20433,6249,14184,75
2017,區域醫院,Acinetobacter baumannii,Colistin,24580,7295,7007,288,75
2017,區域醫院,Acinetobacter baumannii,Gentamicin,24580,19579,6841,12738,75
2017,區域醫院,Acinetobacter baumannii,Imipenem,24580,21053,8149,12904,82
2017,區域醫院,Acinetobacter baumannii,Levofloxacin,24580,13770,4545,9225,75
2017,區域醫院,Acinetobacter baumannii,Meropenem,24580,11521,4833,6688,81
2017,區域醫院,Acinetobacter baumannii,Piperacillin/Tazobactam,24580,18806,5663,13143,75
2017,區域醫院,Acinetobacter baumannii,Piperacillin,24580,4504,630,3874,74
2017,區域醫院,Acinetobacter baumannii,Tigecycline,24580,9108,7402,1706,74
2017,區域醫院,Enterobacter cloacae,Amikacin,9998,8364,8157,207,73
2017,區域醫院,Enterobacter cloacae,Cefotaxime,9998,4495,2842,1653,73
2017,區域醫院,Enterobacter cloacae,Cefepime,9998,7745,6865,880,73
2017,區域醫院,Enterobacter cloacae,Ciprofloxacin,9998,6139,4948,1191,73
2017,區域醫院,Enterobacter cloacae,Ceftazidime,9998,7619,5227,2392,73
2017,區域醫院,Enterobacter cloacae,Ceftriaxone,9998,5698,3763,1935,73
2017,區域醫院,Enterobacter cloacae,Ertapenem,9998,7344,6609,735,74
2017,區域醫院,Enterobacter cloacae,Gentamicin,9998,8671,7685,986,73
2017,區域醫院,Enterobacter cloacae,Imipenem,9998,6513,5963,550,73
2017,區域醫院,Enterobacter cloacae,Levofloxacin,9998,6492,5458,1034,73
2017,區域醫院,Enterobacter cloacae,Meropenem,9998,4430,4349,81,74
2017,區域醫院,Escherichia coli,Ampicillin/Sulbactam,151118,114965,51189,63776,73
2017,區域醫院,Escherichia coli,Ampicillin,151118,61871,13770,48101,73
2017,區域醫院,Escherichia coli,Amikacin,151118,135116,133534,1582,73
2017,區域醫院,Escherichia coli,Cefuroxime sodium,151118,37460,24323,13137,73
2017,區域醫院,Escherichia coli,Cefotaxime,151118,61144,42297,18847,73
2017,區域醫院,Escherichia coli,Ciprofloxacin,151118,106041,65047,40994,73
2017,區域醫院,Escherichia coli,Ceftazidime,151118,106148,79478,26670,73
2017,區域醫院,Escherichia coli,Cefazolin,151118,111585,59532,52053,73
2017,區域醫院,Escherichia coli,Ceftriaxone,151118,94090,63969,30121,73
2017,區域醫院,Escherichia coli,Ertapenem,151118,117443,113964,3479,76
2017,區域醫院,Escherichia coli,Gentamicin,151118,138393,103062,35331,73
2017,區域醫院,Escherichia coli,Imipenem,151118,91327,89785,1542,76
2017,區域醫院,Escherichia coli,Levofloxacin,151118,108266,67722,40544,73
2017,區域醫院,Escherichia coli,Meropenem,151118,58365,55914,2451,75
2017,區域醫院,Klebsiella pneumoniae,Ampicillin/Sulbactam,67278,45975,25695,20280,75
2017,區域醫院,Klebsiella pneumoniae,Ampicillin,67278,21554,420,21134,74
2017,區域醫院,Klebsiella pneumoniae,Amikacin,67278,55656,51951,3705,75
2017,區域醫院,Klebsiella pneumoniae,Cefuroxime sodium,67278,12677,7485,5192,74
2017,區域醫院,Klebsiella pneumoniae,Cefotaxime,67278,25557,16376,9181,75
2017,區域醫院,Klebsiella pneumoniae,Ciprofloxacin,67278,42773,29158,13615,75
2017,區域醫院,Klebsiella pneumoniae,Ceftazidime,67278,45918,30514,15404,75
2017,區域醫院,Klebsiella pneumoniae,Cefazolin,67278,46167,24963,21204,75
2017,區域醫院,Klebsiella pneumoniae,Ceftriaxone,67278,32058,22890,9168,74
2017,區域醫院,Klebsiella pneumoniae,Ertapenem,67278,49464,43220,6244,80
2017,區域醫院,Klebsiella pneumoniae,Gentamicin,67278,57434,41267,16167,75
2017,區域醫院,Klebsiella pneumoniae,Imipenem,67278,43521,38257,5264,82
2017,區域醫院,Klebsiella pneumoniae,Levofloxacin,67278,37956,27862,10094,75
2017,區域醫院,Klebsiella pneumoniae,Meropenem,67278,26039,23817,2222,81
2017,區域醫院,Proteus mirabilis,Ampicillin/Sulbactam,24081,20535,12631,7904,73
2017,區域醫院,Proteus mirabilis,Ampicillin,24081,9260,3031,6229,73
2017,區域醫院,Proteus mirabilis,Amikacin,24081,20407,18650,1757,73
2017,區域醫院,Proteus mirabilis,Cefuroxime sodium,24081,5506,4158,1348,73
2017,區域醫院,Proteus mirabilis,Cefotaxime,24081,11381,8900,2481,73
2017,區域醫院,Proteus mirabilis,Ciprofloxacin,24081,16483,10220,6263,73
2017,區域醫院,Proteus mirabilis,Cefazolin,24081,20899,9146,11753,73
2017,區域醫院,Proteus mirabilis,Ceftriaxone,24081,11275,9345,1930,73
2017,區域醫院,Proteus mirabilis,Gentamicin,24081,22813,13419,9394,73
2017,區域醫院,Proteus mirabilis,Levofloxacin,24081,15695,10844,4851,73
2017,區域醫院,Proteus mirabilis,Meropenem,24081,11430,11160,270,74
2017,區域醫院,Pseudomonas aeruginosa,Amikacin,52067,40695,38978,1717,73
2017,區域醫院,Pseudomonas aeruginosa,Cefepime,52067,39973,34831,5142,73
2017,區域醫院,Pseudomonas aeruginosa,Ciprofloxacin,52067,39892,30403,9489,73
2017,區域醫院,Pseudomonas aeruginosa,Ceftazidime,52067,48695,41736,6959,73
2017,區域醫院,Pseudomonas aeruginosa,Gentamicin,52067,47655,39829,7826,73
2017,區域醫院,Pseudomonas aeruginosa,Imipenem,52067,41579,35068,6511,76
2017,區域醫院,Pseudomonas aeruginosa,Levofloxacin,52067,41080,30036,11044,73
2017,區域醫院,Pseudomonas aeruginosa,Meropenem,52067,32222,27907,4315,76
2017,區域醫院,Pseudomonas aeruginosa,Piperacillin/Tazobactam,52067,46170,38510,7660,73
2017,區域醫院,Pseudomonas aeruginosa,Piperacillin,52067,11810,8702,3108,73
2017,區域醫院,Enterococcus faecalis,Ampicillin,22119,15366,14937,429,74
2017,區域醫院,Enterococcus faecalis,Gentamicin-High,22119,17195,8868,8327,74
2017,區域醫院,Enterococcus faecalis,Vancomycin,22119,22027,21790,237,81
2017,區域醫院,Enterococcus faecium,Ampicillin,11971,8805,882,7923,74
2017,區域醫院,Enterococcus faecium,Gentamicin-High,11971,8222,3684,4538,74
2017,區域醫院,Enterococcus faecium,Vancomycin,11971,11894,5586,6308,81
2017,區域醫院,Staphylococcus aureus,Ciprofloxacin,57758,20956,12659,8297,75
2017,區域醫院,Staphylococcus aureus,Oxacillin,57758,55665,25216,30449,82
2017,區域醫院,Staphylococcus aureus,Trimethoprim/Sulfamethoxazole,57758,51655,43895,7760,75
2017,區域醫院,Staphylococcus aureus,Vancomycin,57758,49378,49148,230,76
2017,區域醫院,Enterococcus spp.,Ampicillin,10461,8743,6521,2222,71
2017,區域醫院,Enterococcus spp.,Gentamicin-High,10461,8534,4745,3789,71
2017,區域醫院,Enterococcus spp.,Vancomycin,10461,10453,8842,1611,75
2017,地區醫院,Acinetobacter baumannii,Ampicillin/Sulbactam,14529,9893,3481,6412,207
2017,地區醫院,Acinetobacter baumannii,Amikacin,14529,9033,2714,6319,206
2017,地區醫院,Acinetobacter baumannii,Cefepime,14529,9810,1508,8302,206
2017,地區醫院,Acinetobacter baumannii,Ciprofloxacin,14529,9178,1257,7921,207
2017,地區醫院,Acinetobacter baumannii,Ceftazidime,14529,11441,2111,9330,206
2017,地區醫院,Acinetobacter baumannii,Colistin,14529,4622,4473,149,204
2017,地區醫院,Acinetobacter baumannii,Gentamicin,14529,11019,2266,8753,207
2017,地區醫院,Acinetobacter baumannii,Imipenem,14529,11874,2782,9092,216
2017,地區醫院,Acinetobacter baumannii,Levofloxacin,14529,8463,1158,7305,205
2017,地區醫院,Acinetobacter baumannii,Meropenem,14529,7381,1629,5752,213
2017,地區醫院,Acinetobacter baumannii,Piperacillin/Tazobactam,14529,10477,1530,8947,207
2017,地區醫院,Acinetobacter baumannii,Piperacillin,14529,2072,217,1855,205
2017,地區醫院,Acinetobacter baumannii,Tigecycline,14529,4713,3483,1230,205
2017,地區醫院,Enterobacter cloacae,Amikacin,3556,2918,2741,177,197
2017,地區醫院,Enterobacter cloacae,Cefotaxime,3556,1088,710,378,197
2017,地區醫院,Enterobacter cloacae,Cefepime,3556,2134,1748,386,197
2017,地區醫院,Enterobacter cloacae,Ciprofloxacin,3556,2201,1543,658,198
2017,地區醫院,Enterobacter cloacae,Ceftazidime,3556,2800,2028,772,199
2017,地區醫院,Enterobacter cloacae,Ceftriaxone,3556,2492,1658,834,198
2017,地區醫院,Enterobacter cloacae,Ertapenem,3556,1942,1760,182,197
2017,地區醫院,Enterobacter cloacae,Gentamicin,3556,3187,2437,750,198
2017,地區醫院,Enterobacter cloacae,Imipenem,3556,2553,2394,159,199
2017,地區醫院,Enterobacter cloacae,Levofloxacin,3556,2289,1596,693,197
2017,地區醫院,Enterobacter cloacae,Meropenem,3556,1467,1364,103,197
2017,地區醫院,Escherichia coli,Ampicillin/Sulbactam,63301,37782,16124,21658,204
2017,地區醫院,Escherichia coli,Ampicillin,63301,30150,6262,23888,205
2017,地區醫院,Escherichia coli,Amikacin,63301,52183,50098,2085,207
2017,地區醫院,Escherichia coli,Cefuroxime sodium,63301,17761,10264,7497,202
2017,地區醫院,Escherichia coli,Cefotaxime,63301,17977,11153,6824,204
2017,地區醫院,Escherichia coli,Ciprofloxacin,63301,46374,23880,22494,207
2017,地區醫院,Escherichia coli,Ceftazidime,63301,47700,31628,16072,207
2017,地區醫院,Escherichia coli,Cefazolin,63301,50571,22103,28468,205
2017,地區醫院,Escherichia coli,Ceftriaxone,63301,42745,26326,16419,206
2017,地區醫院,Escherichia coli,Ertapenem,63301,36435,34154,2281,204
2017,地區醫院,Escherichia coli,Gentamicin,63301,59444,41551,17893,207
2017,地區醫院,Escherichia coli,Imipenem,63301,40816,38986,1830,210
2017,地區醫院,Escherichia coli,Levofloxacin,63301,38466,20282,18184,206
2017,地區醫院,Escherichia coli,Meropenem,63301,31832,29443,2389,206
2017,地區醫院,Klebsiella pneumoniae,Ampicillin/Sulbactam,31000,15997,7226,8771,206
2017,地區醫院,Klebsiella pneumoniae,Ampicillin,31000,14733,477,14256,205
2017,地區醫院,Klebsiella pneumoniae,Amikacin,31000,22907,20234,2673,208
2017,地區醫院,Klebsiella pneumoniae,Cefuroxime sodium,31000,7819,4109,3710,204
2017,地區醫院,Klebsiella pneumoniae,Cefotaxime,31000,8248,5098,3150,205
2017,地區醫院,Klebsiella pneumoniae,Ciprofloxacin,31000,20518,12167,8351,208
2017,地區醫院,Klebsiella pneumoniae,Ceftazidime,31000,22124,13363,8761,207
2017,地區醫院,Klebsiella pneumoniae,Cefazolin,31000,22151,9992,12159,206
2017,地區醫院,Klebsiella pneumoniae,Ceftriaxone,31000,17780,11084,6696,206
2017,地區醫院,Klebsiella pneumoniae,Ertapenem,31000,18572,15318,3254,213
2017,地區醫院,Klebsiella pneumoniae,Gentamicin,31000,26036,17688,8348,208
2017,地區醫院,Klebsiella pneumoniae,Imipenem,31000,22520,19736,2784,217
2017,地區醫院,Klebsiella pneumoniae,Levofloxacin,31000,15435,9473,5962,206
2017,地區醫院,Klebsiella pneumoniae,Meropenem,31000,12939,11077,1862,212
2017,地區醫院,Proteus mirabilis,Ampicillin/Sulbactam,15567,10159,4348,5811,203
2017,地區醫院,Proteus mirabilis,Ampicillin,15567,8329,1582,6747,202
2017,地區醫院,Proteus mirabilis,Amikacin,15567,12814,9478,3336,203
2017,地區醫院,Proteus mirabilis,Cefuroxime sodium,15567,3668,2388,1280,199
2017,地區醫院,Proteus mirabilis,Cefotaxime,15567,4467,2920,1547,200
2017,地區醫院,Proteus mirabilis,Ciprofloxacin,15567,11273,5069,6204,203
2017,地區醫院,Proteus mirabilis,Cefazolin,15567,11995,3247,8748,202
2017,地區醫院,Proteus mirabilis,Ceftriaxone,15567,10241,7032,3209,202
2017,地區醫院,Proteus mirabilis,Gentamicin,15567,14724,5453,9271,205
2017,地區醫院,Proteus mirabilis,Levofloxacin,15567,9417,4595,4822,201
2017,地區醫院,Proteus mirabilis,Meropenem,15567,7725,6880,845,199
2017,地區醫院,Pseudomonas aeruginosa,Amikacin,30028,24831,22603,2228,203
2017,地區醫院,Pseudomonas aeruginosa,Cefepime,30028,21163,16367,4796,201
2017,地區醫院,Pseudomonas aeruginosa,Ciprofloxacin,30028,22658,11993,10665,203
2017,地區醫院,Pseudomonas aeruginosa,Ceftazidime,30028,27046,21511,5535,203
2017,地區醫院,Pseudomonas aeruginosa,Gentamicin,30028,26727,17489,9238,204
2017,地區醫院,Pseudomonas aeruginosa,Imipenem,30028,22236,16986,5250,205
2017,地區醫院,Pseudomonas aeruginosa,Levofloxacin,30028,20884,10206,10678,201
2017,地區醫院,Pseudomonas aeruginosa,Meropenem,30028,18050,13650,4400,202
2017,地區醫院,Pseudomonas aeruginosa,Piperacillin/Tazobactam,30028,25065,18486,6579,202
2017,地區醫院,Pseudomonas aeruginosa,Piperacillin,30028,7234,4758,2476,202
2017,地區醫院,Enterococcus faecalis,Ampicillin,5511,4069,3929,140,189
2017,地區醫院,Enterococcus faecalis,Gentamicin-High,5511,3931,1709,2222,189
2017,地區醫院,Enterococcus faecalis,Vancomycin,5511,5475,5327,148,194
2017,地區醫院,Enterococcus faecium,Ampicillin,2609,1969,135,1834,186
2017,地區醫院,Enterococcus faecium,Gentamicin-High,2609,1888,784,1104,185
2017,地區醫院,Enterococcus faecium,Vancomycin,2609,2564,1320,1244,190
2017,地區醫院,Staphylococcus aureus,Ciprofloxacin,25610,10066,5696,4370,211
2017,地區醫院,Staphylococcus aureus,Oxacillin,25610,24757,9853,14904,220
2017,地區醫院,Staphylococcus aureus,Trimethoprim/Sulfamethoxazole,25610,19328,16365,2963,213
2017,地區醫院,Staphylococcus aureus,Vancomycin,25610,23006,22833,173,217
2017,地區醫院,Enterococcus spp.,Ampicillin,7311,3665,2552,1113,200
2017,地區醫院,Enterococcus spp.,Gentamicin-High,7311,4212,2094,2118,199
2017,地區醫院,Enterococcus spp.,Vancomycin,7311,7136,6020,1116,208
2016,醫學中心,Acinetobacter baumannii,Ampicillin/Sulbactam,23900,13170,7025,6145,16
2016,醫學中心,Acinetobacter baumannii,Amikacin,23900,12121,5227,6894,16
2016,醫學中心,Acinetobacter baumannii,Cefepime,23900,16678,6805,9873,16
2016,醫學中心,Acinetobacter baumannii,Ciprofloxacin,23900,17596,6436,11160,16
2016,醫學中心,Acinetobacter baumannii,Ceftazidime,23900,17699,7092,10607,16
2016,醫學中心,Acinetobacter baumannii,Colistin,23900,10206,9992,214,14
2016,醫學中心,Acinetobacter baumannii,Gentamicin,23900,13891,5391,8500,16
2016,醫學中心,Acinetobacter baumannii,Imipenem,23900,23817,9740,14077,22
2016,醫學中心,Acinetobacter baumannii,Levofloxacin,23900,11200,4474,6726,16
2016,醫學中心,Acinetobacter baumannii,Meropenem,23900,15202,6841,8361,21
2016,醫學中心,Acinetobacter baumannii,Piperacillin/Tazobactam,23900,16715,6125,10590,16
2016,醫學中心,Acinetobacter baumannii,Piperacillin,23900,1088,366,722,14
2016,醫學中心,Acinetobacter baumannii,Tigecycline,23900,8792,5748,3044,14
2016,醫學中心,Enterobacter cloacae,Amikacin,8106,5944,5877,67,14
2016,醫學中心,Enterobacter cloacae,Cefotaxime,8106,2882,1743,1139,15
2016,醫學中心,Enterobacter cloacae,Cefepime,8106,5552,4727,825,14
2016,醫學中心,Enterobacter cloacae,Ciprofloxacin,8106,5685,4641,1044,14
2016,醫學中心,Enterobacter cloacae,Ceftazidime,8106,5850,3404,2446,16
2016,醫學中心,Enterobacter cloacae,Ceftriaxone,8106,5384,3077,2307,16
2016,醫學中心,Enterobacter cloacae,Ertapenem,8106,7085,5970,1115,16
2016,醫學中心,Enterobacter cloacae,Gentamicin,8106,6188,5246,942,14
2016,醫學中心,Enterobacter cloacae,Imipenem,8106,5827,5257,570,16
2016,醫學中心,Enterobacter cloacae,Levofloxacin,8106,4640,3849,791,14
2016,醫學中心,Enterobacter cloacae,Meropenem,8106,2277,2182,95,16
2016,醫學中心,Escherichia coli,Ampicillin/Sulbactam,79260,47589,22173,25416,14
2016,醫學中心,Escherichia coli,Ampicillin,79260,30115,8762,21353,14
2016,醫學中心,Escherichia coli,Amikacin,79260,76930,76349,581,16
2016,醫學中心,Escherichia coli,Cefuroxime sodium,79260,14985,9260,5725,14
2016,醫學中心,Escherichia coli,Cefotaxime,79260,27916,19819,8097,15
2016,醫學中心,Escherichia coli,Ciprofloxacin,79260,74285,46613,27672,16
2016,醫學中心,Escherichia coli,Ceftazidime,79260,42057,30395,11662,16
2016,醫學中心,Escherichia coli,Cefazolin,79260,48708,25986,22722,14
2016,醫學中心,Escherichia coli,Ceftriaxone,79260,54805,37448,17357,16
2016,醫學中心,Escherichia coli,Ertapenem,79260,69217,68273,944,16
2016,醫學中心,Escherichia coli,Gentamicin,79260,70494,52856,17638,16
2016,醫學中心,Escherichia coli,Imipenem,79260,48948,48502,446,16
2016,醫學中心,Escherichia coli,Levofloxacin,79260,66512,41935,24577,16
2016,醫學中心,Escherichia coli,Meropenem,79260,17171,17103,68,16
2016,醫學中心,Klebsiella pneumoniae,Ampicillin/Sulbactam,49651,24082,13911,10171,15
2016,醫學中心,Klebsiella pneumoniae,Ampicillin,49651,14168,441,13727,15
2016,醫學中心,Klebsiella pneumoniae,Amikacin,49651,34340,32403,1937,16
2016,醫學中心,Klebsiella pneumoniae,Cefuroxime sodium,49651,8245,4299,3946,14
2016,醫學中心,Klebsiella pneumoniae,Cefotaxime,49651,14549,9896,4653,15
2016,醫學中心,Klebsiella pneumoniae,Ciprofloxacin,49651,33492,23870,9622,16
2016,醫學中心,Klebsiella pneumoniae,Ceftazidime,49651,24410,15878,8532,16
2016,醫學中心,Klebsiella pneumoniae,Cefazolin,49651,25028,13401,11627,15
2016,醫學中心,Klebsiella pneumoniae,Ceftriaxone,49651,14872,10868,4004,15
2016,醫學中心,Klebsiella pneumoniae,Ertapenem,49651,40292,35532,4760,21
2016,醫學中心,Klebsiella pneumoniae,Gentamicin,49651,32943,23577,9366,16
2016,醫學中心,Klebsiella pneumoniae,Imipenem,49651,35468,31982,3486,22
2016,醫學中心,Klebsiella pneumoniae,Levofloxacin,49651,22144,16306,5838,15
2016,醫學中心,Klebsiella pneumoniae,Meropenem,49651,11668,10625,1043,21
2016,醫學中心,Proteus mirabilis,Ampicillin/Sulbactam,10098,7632,5454,2178,16
2016,醫學中心,Proteus mirabilis,Ampicillin,10098,4146,1791,2355,15
2016,醫學中心,Proteus mirabilis,Amikacin,10098,7140,6919,221,14
2016,醫學中心,Proteus mirabilis,Cefuroxime sodium,10098,2010,1766,244,14
2016,醫學中心,Proteus mirabilis,Cefotaxime,10098,3851,3468,383,14
2016,醫學中心,Proteus mirabilis,Ciprofloxacin,10098,7064,5070,1994,14
2016,醫學中心,Proteus mirabilis,Cefazolin,10098,9622,4868,4754,16
2016,醫學中心,Proteus mirabilis,Ceftriaxone,10098,4304,3808,496,14
2016,醫學中心,Proteus mirabilis,Gentamicin,10098,9266,6402,2864,16
2016,醫學中心,Proteus mirabilis,Levofloxacin,10098,5864,4461,1403,14
2016,醫學中心,Proteus mirabilis,Meropenem,10098,2601,2501,100,14
2016,醫學中心,Pseudomonas aeruginosa,Amikacin,36365,25113,24437,676,14
2016,醫學中心,Pseudomonas aeruginosa,Cefepime,36365,23938,20580,3358,14
2016,醫學中心,Pseudomonas aeruginosa,Ciprofloxacin,36365,32706,26354,6352,16
2016,醫學中心,Pseudomonas aeruginosa,Ceftazidime,36365,32732,27715,5017,16
2016,醫學中心,Pseudomonas aeruginosa,Gentamicin,36365,30002,26739,3263,16
2016,醫學中心,Pseudomonas aeruginosa,Imipenem,36365,32532,26949,5583,16
2016,醫學中心,Pseudomonas aeruginosa,Levofloxacin,36365,28944,22050,6894,16
2016,醫學中心,Pseudomonas aeruginosa,Meropenem,36365,23992,20798,3194,17
2016,醫學中心,Pseudomonas aeruginosa,Piperacillin/Tazobactam,36365,31347,25883,5464,16
2016,醫學中心,Pseudomonas aeruginosa,Piperacillin,36365,10263,8232,2031,16
2016,醫學中心,Enterococcus faecalis,Ampicillin,22177,11376,10849,527,16
2016,醫學中心,Enterococcus faecalis,Gentamicin-High,22177,10830,6023,4807,15
2016,醫學中心,Enterococcus faecalis,Vancomycin,22177,22163,22090,73,22
2016,醫學中心,Enterococcus faecium,Ampicillin,14465,7383,793,6590,16
2016,醫學中心,Enterococcus faecium,Gentamicin-High,14465,7819,3220,4599,15
2016,醫學中心,Enterococcus faecium,Vancomycin,14465,14447,6233,8214,22
2016,醫學中心,Staphylococcus aureus,Ciprofloxacin,49085,15804,11886,3918,15
2016,醫學中心,Staphylococcus aureus,Oxacillin,49085,49037,24518,24519,22
2016,醫學中心,Staphylococcus aureus,Trimethoprim/Sulfamethoxazole,49085,31709,26425,5284,16
2016,醫學中心,Staphylococcus aureus,Vancomycin,49085,38545,38531,14,17
2016,醫學中心,Enterococcus spp.,Ampicillin,5035,3971,3215,756,16
2016,醫學中心,Enterococcus spp.,Gentamicin-High,5035,4137,2909,1228,15
2016,醫學中心,Enterococcus spp.,Vancomycin,5035,5021,4588,433,21
2016,區域醫院,Acinetobacter baumannii,Ampicillin/Sulbactam,28671,24161,10766,13395,74
2016,區域醫院,Acinetobacter baumannii,Amikacin,28671,17571,8394,9177,74
2016,區域醫院,Acinetobacter baumannii,Cefepime,28671,23137,8212,14925,74
2016,區域醫院,Acinetobacter baumannii,Ciprofloxacin,28671,17998,6168,11830,74
2016,區域醫院,Acinetobacter baumannii,Ceftazidime,28671,24333,7836,16497,74
2016,區域醫院,Acinetobacter baumannii,Colistin,28671,11138,10929,209,74
2016,區域醫院,Acinetobacter baumannii,Gentamicin,28671,24201,8506,15695,74
2016,區域醫院,Acinetobacter baumannii,Imipenem,28671,23700,9784,13916,81
2016,區域醫院,Acinetobacter baumannii,Levofloxacin,28671,18192,6395,11797,74
2016,區域醫院,Acinetobacter baumannii,Meropenem,28671,17164,7893,9271,79
2016,區域醫院,Acinetobacter baumannii,Piperacillin/Tazobactam,28671,23384,7529,15855,74
2016,區域醫院,Acinetobacter baumannii,Piperacillin,28671,6333,1645,4688,74
2016,區域醫院,Acinetobacter baumannii,Tigecycline,28671,14365,11039,3326,74
2016,區域醫院,Enterobacter cloacae,Amikacin,11039,9523,9318,205,72
2016,區域醫院,Enterobacter cloacae,Cefotaxime,11039,4823,3242,1581,72
2016,區域醫院,Enterobacter cloacae,Cefepime,11039,8759,7771,988,72
2016,區域醫院,Enterobacter cloacae,Ciprofloxacin,11039,7116,5768,1348,72
2016,區域醫院,Enterobacter cloacae,Ceftazidime,11039,8335,5920,2415,72
2016,區域醫院,Enterobacter cloacae,Ceftriaxone,11039,6836,4582,2254,72
2016,區域醫院,Enterobacter cloacae,Ertapenem,11039,8160,7383,777,73
2016,區域醫院,Enterobacter cloacae,Gentamicin,11039,9787,8429,1358,72
2016,區域醫院,Enterobacter cloacae,Imipenem,11039,6976,6314,662,73
2016,區域醫院,Enterobacter cloacae,Levofloxacin,11039,7865,6710,1155,72
2016,區域醫院,Enterobacter cloacae,Meropenem,11039,5704,5566,138,73
2016,區域醫院,Escherichia coli,Ampicillin/Sulbactam,156610,123534,56275,67259,72
2016,區域醫院,Escherichia coli,Ampicillin,156610,72823,20264,52559,72
2016,區域醫院,Escherichia coli,Amikacin,156610,143327,141476,1851,72
2016,區域醫院,Escherichia coli,Cefuroxime sodium,156610,36664,24371,12293,72
2016,區域醫院,Escherichia coli,Cefotaxime,156610,68088,45884,22204,73
2016,區域醫院,Escherichia coli,Ciprofloxacin,156610,109877,66234,43643,72
2016,區域醫院,Escherichia coli,Ceftazidime,156610,107393,80469,26924,72
2016,區域醫院,Escherichia coli,Cefazolin,156610,119293,60021,59272,72
2016,區域醫院,Escherichia coli,Ceftriaxone,156610,95395,65527,29868,72
2016,區域醫院,Escherichia coli,Ertapenem,156610,118290,116620,1670,75
2016,區域醫院,Escherichia coli,Gentamicin,156610,148022,107710,40312,72
2016,區域醫院,Escherichia coli,Imipenem,156610,97513,96563,950,75
2016,區域醫院,Escherichia coli,Levofloxacin,156610,119150,74309,44841,72
2016,區域醫院,Escherichia coli,Meropenem,156610,69906,69122,784,74
2016,區域醫院,Klebsiella pneumoniae,Ampicillin/Sulbactam,70017,50275,27477,22798,74
2016,區域醫院,Klebsiella pneumoniae,Ampicillin,70017,28422,641,27781,74
2016,區域醫院,Klebsiella pneumoniae,Amikacin,70017,60095,56764,3331,74
2016,區域醫院,Klebsiella pneumoniae,Cefuroxime sodium,70017,12329,7166,5163,74
2016,區域醫院,Klebsiella pneumoniae,Cefotaxime,70017,28265,17560,10705,74
2016,區域醫院,Klebsiella pneumoniae,Ciprofloxacin,70017,48202,32138,16064,74
2016,區域醫院,Klebsiella pneumoniae,Ceftazidime,70017,48164,31908,16256,74
2016,區域醫院,Klebsiella pneumoniae,Cefazolin,70017,50533,25479,25054,74
2016,區域醫院,Klebsiella pneumoniae,Ceftriaxone,70017,33991,24373,9618,74
2016,區域醫院,Klebsiella pneumoniae,Ertapenem,70017,48265,41851,6414,79
2016,區域醫院,Klebsiella pneumoniae,Gentamicin,70017,62173,45108,17065,74
2016,區域醫院,Klebsiella pneumoniae,Imipenem,70017,46318,41197,5121,81
2016,區域醫院,Klebsiella pneumoniae,Levofloxacin,70017,43214,30708,12506,74
2016,區域醫院,Klebsiella pneumoniae,Meropenem,70017,32044,29774,2270,79
2016,區域醫院,Proteus mirabilis,Ampicillin/Sulbactam,24208,21034,12794,8240,72
2016,區域醫院,Proteus mirabilis,Ampicillin,24208,13420,4161,9259,72
2016,區域醫院,Proteus mirabilis,Amikacin,24208,21088,19488,1600,72
2016,區域醫院,Proteus mirabilis,Cefuroxime sodium,24208,5816,4366,1450,72
2016,區域醫院,Proteus mirabilis,Cefotaxime,24208,12133,9319,2814,72
2016,區域醫院,Proteus mirabilis,Ciprofloxacin,24208,16984,10641,6343,72
