確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,感染國別,縣市別代碼,鄉鎮別代碼,感染國別代碼
061,2010,26,台北市,松山區,M,1,15~19,1,印尼,63000,63000010,360
061,2010,26,高雄市(舊),三民區,M,1,40~44,1,越南,64000,64000050,704
061,2010,26,新北市,三重區,M,1,35~39,1,寮國,65000,65000020,418
061,2010,26,台中市,大甲區,F,1,35~39,1,泰國,66000,66000110,764
004,2010,26,台中市,大甲區,M,1,55~59,1,中國,66000,66000110,156
061,2010,26,台中市,東勢區,M,1,40~44,1,越南,66000,66000100,704
0703,2010,26,桃園市,桃園區,M,1,30~34,1,中國,68000,68000010,156
004,2010,27,彰化縣,田中鎮,F,1,25~29,1,菲律賓,10007,10007120,608
006,2010,27,彰化縣,鹿港鎮,M,1,20~24,1,印尼,10007,10007020,360
061,2010,27,雲林縣,斗六市,M,1,35~39,1,印尼,10009,10009010,360
061,2010,27,嘉義縣,大林鎮,M,1,30~34,1,越南,10010,10010040,704
004,2010,27,屏東縣,內埔鄉,F,1,20~24,1,菲律賓,10013,10013130,608
006,2010,27,新竹市,香山區,M,1,30~34,1,菲律賓,10018,10018030,608
006,2010,27,台北市,中山區,F,1,20~24,1,印尼,63000,63000040,360
061,2010,27,台北市,信義區,M,1,10~14,1,印尼,63000,63000020,360
002a,2010,27,台北市,大安區,F,1,35~39,1,印度,63000,63000030,356
061,2010,27,台北市,文山區,M,1,40~44,1,越南,63000,63000080,704
061,2010,27,台北市,文山區,M,1,40~44,1,越南,63000,63000081,704
061,2010,27,台北市,文山區,M,1,40~44,1,越南,63000,63000082,704
006,2010,27,高雄市,前鎮區,F,1,35~39,1,印尼,64000,64000090,360
061,2010,27,新北市,三重區,M,1,20~24,1,泰國,65000,65000020,764
084,2010,27,新北市,土城區,M,1,40~44,1,緬甸,65000,65000130,104
061,2010,27,新北市,新店區,M,1,25~29,1,馬來西亞,65000,65000060,458
006,2010,27,台中市,西區,F,1,35~39,1,印尼,66000,66000040,360
061,2010,27,桃園市,蘆竹區,M,1,30~34,1,印尼,68000,68000050,360
006,2010,28,苗栗縣,大湖鄉,F,1,35~39,1,印尼,10005,10005080,360
061,2010,28,台中縣(舊),大安鄉,M,1,35~39,1,泰國,10006,10006140,764
006,2010,28,嘉義縣,太保市,F,1,35~39,1,印尼,10010,10010010,360
084,2010,28,嘉義縣,民雄鄉,M,1,40~44,1,索羅門群島,10010,10010050,090
004,2010,28,台南市(舊),東區,F,1,10~14,1,印尼,10021,10021010,360
061,2010,28,台北市,中正區,M,1,25~29,1,緬甸,63000,63000050,104
061,2010,28,台北市,信義區,M,1,40~44,1,緬甸,63000,63000020,104
056,2010,28,台北市,北投區,M,1,30~34,1,澳門,63000,63000120,446
056,2010,28,台北市,南港區,F,1,25~29,1,中國,63000,63000090,156
070e,2010,28,新北市,新莊區,F,1,30~34,1,中國,65000,65000050,156
100,2010,28,新北市,樹林區,F,1,35~39,1,印尼,65000,65000070,360
006,2010,28,台中市,北區,F,1,25~29,1,印尼,66000,66000050,360
061,2010,28,台中市,北屯區,F,1,5~9,1,柬埔寨,66000,66000080,116
004,2010,28,台中市,大里區,F,1,25~29,1,印尼,66000,66000280,360
004,2010,28,台中市,大雅區,F,1,15~19,1,菲律賓,66000,66000180,608
004,2010,28,台中市,潭子區,M,1,40~44,1,越南,66000,66000170,704
004,2010,28,台中市,西屯區,M,1,25~29,1,印尼,66000,66000060,360
006,2010,29,宜蘭縣,冬山鄉,M,1,30~34,1,泰國,10002,10002080,764
006,2010,29,宜蘭縣,宜蘭市,F,1,25~29,2,印尼,10002,10002010,360
006,2010,29,宜蘭縣,宜蘭市,F,1,35~39,1,印尼,10002,10002010,360
061,2010,29,苗栗縣,苑裡鎮,M,1,40~44,1,越南,10005,10005020,704
061,2010,29,台中縣(舊),太平市,F,1,55~59,1,新加坡,10006,10006190,702
061,2010,29,彰化縣,員林市,M,1,35~39,1,印尼,10007,10007100,360
006,2010,29,南投縣,埔里鎮,F,1,20~24,1,印尼,10008,10008020,360
004,2010,29,南投縣,草屯鎮,F,1,25~29,1,柬埔寨,10008,10008030,116
006,2010,29,嘉義縣,朴子市,F,1,30~34,1,印尼,10010,10010020,360
061,2010,29,嘉義縣,民雄鄉,F,1,50~54,1,印度,10010,10010050,356
061,2010,29,屏東縣,九如鄉,M,1,25~29,1,越南,10013,10013080,704
006,2010,29,台東縣,台東市,F,1,30~34,1,印尼,10014,10014010,360
004,2010,29,新竹市,東區,M,1,20~24,1,柬埔寨,10018,10018010,116
056,2010,29,新竹市,東區,M,1,35~39,1,中國,10018,10018010,156
061,2010,29,高雄市,三民區,F,1,10~14,1,越南,64000,64000050,704
061,2010,29,高雄市,三民區,F,1,10~14,1,越南,64000,64000051,704
061,2010,29,高雄市,三民區,F,1,10~14,1,越南,64000,64000052,704
061,2010,29,新北市,中和區,M,1,5~9,1,緬甸,65000,65000030,104
061,2010,29,新北市,八里區,M,1,25~29,1,越南,65000,65000230,704
061,2010,29,桃園市,中壢區,M,1,40~44,1,新加坡,68000,68000020,702
061,2010,29,桃園市,八德區,M,1,35~39,1,印尼,68000,68000080,360
061,2010,30,台中市(舊),北屯區,M,1,25~29,1,泰國,10019,10019080,764
061,2010,30,嘉義市,西區,M,1,5~9,1,印尼,10020,10020020,360
061,2010,30,台北市,中山區,M,1,10~14,1,印尼,63000,63000040,360
006,2010,30,台北市,大同區,F,1,20~24,1,印尼,63000,63000060,360
061,2010,30,台北市,文山區,F,1,20~24,1,印尼,63000,63000080,360
061,2010,30,台北市,文山區,F,1,20~24,1,印尼,63000,63000081,360
061,2010,30,台北市,文山區,F,1,20~24,1,印尼,63000,63000082,360
061,2010,30,新北市,三重區,F,1,30~34,1,越南,65000,65000020,704
061,2010,30,新北市,三重區,M,1,40~44,1,越南,65000,65000020,704
061,2010,30,新北市,三重區,M,1,45~49,1,寮國,65000,65000020,418
002,2010,30,新北市,中和區,M,1,25~29,1,菲律賓,65000,65000030,608
006,2010,30,新北市,永和區,F,1,25~29,1,印尼,65000,65000040,360
004,2010,30,桃園市,大溪區,M,1,5~9,1,泰國,68000,68000030,764
061,2010,30,桃園市,平鎮區,M,1,35~39,1,印度,68000,68000100,356
004,2010,30,桃園市,蘆竹區,M,1,40~44,1,中國,68000,68000050,156
061,2010,30,桃園市,龜山區,F,1,50~54,1,泰國,68000,68000070,764
061,2010,30,桃園市,龜山區,M,1,5~9,1,寮國,68000,68000070,418
487a,2010,31,新竹縣,竹東鎮,M,1,40~44,1,香港,10004,10004020,344
061,2010,31,苗栗縣,頭份市,F,1,25~29,1,越南,10005,10005050,704
061,2010,31,彰化縣,彰化市,F,1,30~34,1,印尼,10007,10007010,360
061,2010,31,高雄縣(舊),燕巢鄉,M,1,10~14,1,印尼,10012,10012100,360
061,2010,31,屏東縣,屏東市,M,1,40~44,1,泰國,10013,10013010,764
0830,2010,31,台北市,松山區,M,1,40~44,1,澳大利亞,63000,63000010,036
061,2010,31,台北市,松山區,M,1,50~54,1,馬爾地夫,63000,63000010,462
061,2010,31,高雄市,仁武區,M,1,45~49,1,越南,64000,64000170,704
061,2010,31,高雄市,鼓山區,M,1,65~69,1,越南,64000,64000020,704
061,2010,31,新北市,板橋區,F,1,30~34,1,泰國,65000,65000010,764
4828,2010,31,新北市,永和區,M,1,70+,1,中國,65000,65000040,156
006,2010,31,台中市,北區,F,1,20~24,1,印尼,66000,66000050,360
061,2010,31,台中市,西屯區,M,1,50~54,1,馬來西亞,66000,66000060,458
0701,2010,31,桃園市,大溪區,M,1,35~39,1,德國,68000,68000030,276
061,2010,31,桃園市,平鎮區,F,1,40~44,1,其他,68000,68000100,OTH
061,2010,31,桃園市,蘆竹區,F,1,35~39,1,越南,68000,68000050,704
061,2010,32,新竹縣,竹北市,F,1,5~9,1,印尼,10004,10004010,360
061,2010,32,台中縣(舊),新社鄉,M,1,40~44,1,孟加拉國,10006,10006110,050
061,2010,32,南投縣,南投市,M,1,30~34,1,印尼,10008,10008010,360
061,2010,32,南投縣,南投市,M,1,55~59,1,印尼,10008,10008010,360
061,2010,32,嘉義縣,布袋鎮,F,1,35~39,1,越南,10010,10010030,704
061,2010,32,新竹市,北區,F,1,35~39,1,印尼,10018,10018020,360
061,2010,32,台北市,松山區,F,1,30~34,1,菲律賓,63000,63000010,608
061,2010,32,高雄市,鼓山區,M,1,30~34,1,泰國,64000,64000020,764
061,2010,32,新北市,中和區,F,1,25~29,1,印尼,65000,65000030,360
006,2010,32,新北市,土城區,F,1,30~34,1,印尼,65000,65000130,360
006,2010,32,新北市,新店區,F,1,25~29,1,印尼,65000,65000060,360
061,2010,32,桃園市,中壢區,M,1,20~24,1,印尼,68000,68000020,360
061,2010,32,桃園市,大園區,F,1,30~34,1,泰國,68000,68000060,764
A920,2010,32,桃園市,龜山區,F,1,45~49,1,緬甸,68000,68000070,104
061,2010,33,宜蘭縣,宜蘭市,M,1,20~24,1,柬埔寨,10002,10002010,116
061,2010,33,新竹縣,竹北市,M,1,35~39,1,印尼,10004,10004010,360
061,2010,33,台中縣(舊),大里市,F,1,20~24,1,印尼,10006,10006200,360
061,2010,33,南投縣,南投市,M,1,50~54,1,泰國,10008,10008010,764
061,2010,33,雲林縣,古坑鄉,F,1,30~34,1,越南,10009,10009070,704
061,2010,33,雲林縣,古坑鄉,F,1,5~9,1,越南,10009,10009070,704
487a,2010,33,台東縣,長濱鄉,M,1,60~64,1,中國,10014,10014080,156
004,2010,33,花蓮縣,花蓮市,F,1,25~29,1,印尼,10015,10015010,360
006,2010,33,澎湖縣,馬公市,M,1,25~29,1,印尼,10016,10016010,360
061,2010,33,台北市,中山區,F,1,5~9,1,越南,63000,63000040,704
061,2010,33,台北市,中正區,M,1,40~44,1,印尼,63000,63000050,360
061,2010,33,台北市,信義區,F,1,15~19,1,柬埔寨,63000,63000020,116
006,2010,33,台北市,信義區,F,1,25~29,1,印尼,63000,63000020,360
061,2010,33,台北市,信義區,F,1,5~9,1,菲律賓,63000,63000020,608
006,2010,33,台北市,士林區,M,1,40~44,1,中國,63000,63000110,156
061,2010,33,台北市,文山區,M,1,30~34,1,柬埔寨,63000,63000080,116
061,2010,33,台北市,文山區,M,1,30~34,1,柬埔寨,63000,63000081,116
061,2010,33,台北市,文山區,M,1,30~34,1,柬埔寨,63000,63000082,116
061,2010,33,台北市,松山區,F,1,20~24,1,印尼,63000,63000010,360
061,2010,33,新北市,三重區,F,1,25~29,1,菲律賓,65000,65000020,608
061,2010,33,新北市,中和區,M,1,25~29,1,柬埔寨,65000,65000030,116
061,2010,33,新北市,五股區,F,1,15~19,2,柬埔寨,65000,65000150,116
061,2010,33,新北市,五股區,F,1,35~39,1,印尼,65000,65000150,360
061,2010,33,新北市,五股區,F,1,45~49,1,柬埔寨,65000,65000150,116
061,2010,33,新北市,五股區,M,1,20~24,1,柬埔寨,65000,65000150,116
061,2010,33,新北市,新店區,F,1,20~24,1,印度,65000,65000060,356
061,2010,33,新北市,新莊區,F,1,10~14,1,柬埔寨,65000,65000050,116
061,2010,33,新北市,新莊區,F,1,15~19,1,柬埔寨,65000,65000050,116
061,2010,33,新北市,汐止區,M,1,25~29,1,柬埔寨,65000,65000110,116
061,2010,33,台中市,北屯區,M,1,25~29,1,菲律賓,66000,66000080,608
061,2010,33,桃園市,大園區,M,1,20~24,1,印尼,68000,68000060,360
061,2010,33,桃園市,蘆竹區,F,1,30~34,1,菲律賓,68000,68000050,608
061,2010,33,桃園市,蘆竹區,M,1,5~9,1,菲律賓,68000,68000050,608
061,2010,34,新竹縣,湖口鄉,M,1,60~64,1,印度,10004,10004050,356
061,2010,34,苗栗縣,頭屋鄉,F,1,30~34,1,印尼,10005,10005120,360
0812,2010,34,彰化縣,員林市,M,1,30~34,1,中國,10007,10007100,156
061,2010,34,台北市,大同區,M,1,20~24,1,泰國,63000,63000060,764
061,2010,34,台北市,大同區,M,1,30~34,1,印度,63000,63000060,356
061,2010,34,台北市,大安區,F,1,50~54,1,新加坡,63000,63000030,702
061,2010,34,台北市,松山區,F,1,50~54,1,泰國,63000,63000010,764
061,2010,34,高雄市,三民區,M,1,55~59,1,越南,64000,64000050,704
061,2010,34,高雄市,三民區,M,1,55~59,1,越南,64000,64000051,704
061,2010,34,高雄市,三民區,M,1,55~59,1,越南,64000,64000052,704
061,2010,34,新北市,新莊區,M,1,45~49,1,柬埔寨,65000,65000050,116
061,2010,34,新北市,板橋區,M,1,35~39,1,柬埔寨,65000,65000010,116
061,2010,34,新北市,板橋區,M,1,60~64,1,柬埔寨,65000,65000010,116
061,2010,34,新北市,泰山區,M,1,30~34,1,其他,65000,65000160,OTH
006,2010,34,台中市,清水區,F,1,30~34,1,印尼,66000,66000120,360
004,2010,34,台南市,東區,F,1,20~24,1,馬來西亞,67000,67000320,458
070e,2010,34,台南市,東區,M,1,60~64,1,日本,67000,67000320,392
061,2010,34,台南市,永康區,M,1,40~44,1,菲律賓,67000,67000310,608
061,2010,34,桃園市,桃園區,F,1,25~29,1,印尼,68000,68000010,360
061,2010,34,桃園市,桃園區,F,1,45~49,1,越南,68000,68000010,704
061,2010,35,金門縣,金湖鎮,M,1,50~54,1,越南,09020,09020030,704
061,2010,35,台中縣(舊),潭子鄉,F,1,40~44,1,越南,10006,10006090,704
061,2010,35,雲林縣,斗六市,M,1,30~34,1,菲律賓,10009,10009010,608
006,2010,35,嘉義縣,溪口鄉,F,1,20~24,1,印尼,10010,10010060,360
006,2010,35,屏東縣,恆春鎮,F,1,35~39,1,印尼,10013,10013040,360
061,2010,35,屏東縣,萬丹鄉,M,1,35~39,1,緬甸,10013,10013050,104
061,2010,35,台南市(舊),東區,M,1,30~34,1,印度,10021,10021010,356
004,2010,35,台北市,信義區,F,1,20~24,1,印尼,63000,63000020,360
061,2010,35,台北市,信義區,M,1,30~34,1,泰國,63000,63000020,764
061,2010,35,台北市,北投區,M,1,45~49,1,印度,63000,63000120,356
006,2010,35,台北市,大安區,F,1,20~24,1,印尼,63000,63000030,360
061,2010,35,台北市,大安區,M,1,50~54,1,泰國,63000,63000030,764
006,2010,35,高雄市,三民區,M,1,20~24,1,印尼,64000,64000050,360
006,2010,35,高雄市,三民區,M,1,20~24,1,印尼,64000,64000051,360
006,2010,35,高雄市,三民區,M,1,20~24,1,印尼,64000,64000052,360
061,2010,35,高雄市,鼓山區,M,1,45~49,1,菲律賓,64000,64000020,608
084,2010,35,新北市,新莊區,M,1,20~24,1,索羅門群島,65000,65000050,090
061,2010,35,新北市,板橋區,F,1,15~19,1,菲律賓,65000,65000010,608
061,2010,35,台南市,仁德區,M,1,45~49,1,印度,67000,67000270,356
061,2010,35,台南市,東區,F,1,20~24,1,印尼,67000,67000320,360
061,2010,35,台南市,永康區,M,1,20~24,1,馬來西亞,67000,67000310,458
061,2010,35,桃園市,中壢區,F,1,40~44,1,馬來西亞,68000,68000020,458
006,2010,35,桃園市,大園區,F,1,25~29,1,印尼,68000,68000060,360
061,2010,35,桃園市,大園區,M,1,20~24,1,泰國,68000,68000060,764
A920,2010,35,桃園市,大園區,M,1,25~29,1,印尼,68000,68000060,360
061,2010,35,桃園市,平鎮區,M,1,25~29,1,印尼,68000,68000100,360
061,2010,35,桃園市,桃園區,M,1,5~9,1,印尼,68000,68000010,360
061,2010,35,桃園市,蘆竹區,F,1,3,1,菲律賓,68000,68000050,608
487a,2010,36,宜蘭縣,五結鄉,M,1,60~64,1,其他,10002,10002090,OTH
061,2010,36,新竹縣,新豐鄉,F,1,20~24,1,菲律賓,10004,10004060,608
004,2010,36,新竹縣,竹北市,F,1,30~34,1,柬埔寨,10004,10004010,116
004,2010,36,新竹縣,竹北市,M,1,20~24,1,印尼,10004,10004010,360
061,2010,36,台中縣(舊),烏日鄉,M,1,30~34,1,孟加拉國,10006,10006150,050
061,2010,36,台中縣(舊),神岡鄉,M,1,20~24,1,菲律賓,10006,10006080,608
061,2010,36,彰化縣,大村鄉,M,1,30~34,1,越南,10007,10007130,704
061,2010,36,彰化縣,彰化市,M,1,55~59,1,越南,10007,10007010,704
006,2010,36,嘉義縣,竹崎鄉,F,1,35~39,1,印尼,10010,10010140,360
061,2010,36,台東縣,卑南鄉,M,1,20~24,1,泰國,10014,10014040,764
061,2010,36,花蓮縣,玉里鎮,M,1,60~64,1,緬甸,10015,10015030,104
0701,2010,36,澎湖縣,西嶼鄉,F,1,25~29,1,緬甸,10016,10016040,104
006,2010,36,基隆市,仁愛區,F,1,25~29,1,印尼,10017,10017040,360
004,2010,36,新竹市,東區,F,1,45~49,1,柬埔寨,10018,10018010,116
004,2010,36,嘉義市,東區,M,1,25~29,1,中國,10020,10020010,156
061,2010,36,台北市,中正區,M,1,20~24,1,印尼,63000,63000050,360
004,2010,36,台北市,信義區,F,1,40~44,1,柬埔寨,63000,63000020,116
004,2010,36,台北市,內湖區,F,1,40~44,1,印尼,63000,63000100,360
004,2010,36,台北市,南港區,M,1,3,1,印尼,63000,63000090,360
004,2010,36,台北市,南港區,M,1,50~54,1,中國,63000,63000090,156
004,2010,36,台北市,大安區,F,1,20~24,1,印尼,63000,63000030,360
004,2010,36,台北市,大安區,F,1,50~54,1,柬埔寨,63000,63000030,116
004,2010,36,台北市,大安區,M,1,20~24,1,澳門,63000,63000030,446
004,2010,36,台北市,文山區,M,1,20~24,2,印尼,63000,63000080,360
004,2010,36,台北市,文山區,M,1,20~24,2,印尼,63000,63000081,360
004,2010,36,台北市,文山區,M,1,20~24,2,印尼,63000,63000082,360
084,2010,36,台北市,文山區,M,1,25~29,1,甘比亞,63000,63000080,270
084,2010,36,台北市,文山區,M,1,25~29,1,甘比亞,63000,63000081,270
084,2010,36,台北市,文山區,M,1,25~29,1,甘比亞,63000,63000082,270
061,2010,36,台北市,松山區,F,1,20~24,1,印尼,63000,63000010,360
061,2010,36,台北市,松山區,M,1,40~44,1,泰國,63000,63000010,764
004,2010,36,高雄市,三民區,M,1,40~44,1,柬埔寨,64000,64000050,116
004,2010,36,高雄市,三民區,M,1,40~44,1,柬埔寨,64000,64000051,116
004,2010,36,高雄市,三民區,M,1,40~44,1,柬埔寨,64000,64000052,116
061,2010,36,高雄市,湖內區,M,1,45~49,1,印尼,64000,64000250,360
004,2010,36,高雄市,鳳山區,M,1,35~39,1,柬埔寨,64000,64000120,116
002,2010,36,新北市,林口區,F,1,20~24,1,印尼,65000,65000170,360
004,2010,36,新北市,樹林區,F,1,35~39,1,柬埔寨,65000,65000070,116
061,2010,36,新北市,樹林區,F,1,45~49,1,越南,65000,65000070,704
061,2010,36,新北市,汐止區,F,1,30~34,1,馬來西亞,65000,65000110,458
004,2010,36,新北市,淡水區,F,1,45~49,1,柬埔寨,65000,65000100,116
061,2010,36,新北市,淡水區,M,1,50~54,1,其他,65000,65000100,OTH
061,2010,36,台中市,北屯區,F,1,20~24,1,菲律賓,66000,66000080,608
004,2010,36,台南市,安南區,F,1,20~24,1,印尼,67000,67000350,360
004,2010,36,桃園市,桃園區,M,1,20~24,1,香港,68000,68000010,344
004,2010,36,桃園市,蘆竹區,F,1,40~44,1,柬埔寨,68000,68000050,116
004,2010,37,新竹縣,竹東鎮,M,1,35~39,1,中國,10004,10004020,156
004,2010,37,苗栗縣,竹南鎮,F,1,40~44,1,柬埔寨,10005,10005040,116
006,2010,37,嘉義縣,朴子市,F,1,25~29,1,印尼,10010,10010020,360
061,2010,37,嘉義市,東區,M,1,45~49,1,菲律賓,10020,10020010,608
487a,2010,37,嘉義市,西區,F,1,70+,1,中國,10020,10020020,156
061,2010,37,台北市,內湖區,M,1,20~24,1,菲律賓,63000,63000100,608
004,2010,37,台北市,文山區,F,1,35~39,1,印度,63000,63000080,356
004,2010,37,台北市,文山區,F,1,35~39,1,印度,63000,63000081,356
004,2010,37,台北市,文山區,F,1,35~39,1,印度,63000,63000082,356
004,2010,37,台北市,文山區,M,1,20~24,1,印尼,63000,63000080,360
004,2010,37,台北市,文山區,M,1,20~24,1,印尼,63000,63000081,360
004,2010,37,台北市,文山區,M,1,20~24,1,印尼,63000,63000082,360
006,2010,37,台北市,萬華區,M,1,30~34,1,帛琉,63000,63000070,585
006,2010,37,台北市,萬華區,M,1,30~34,1,帛琉,63000,63000071,585
006,2010,37,台北市,萬華區,M,1,30~34,1,帛琉,63000,63000072,585
061,2010,37,高雄市,三民區,F,1,55~59,1,印尼,64000,64000050,360
061,2010,37,高雄市,三民區,F,1,55~59,1,印尼,64000,64000051,360
061,2010,37,高雄市,三民區,F,1,55~59,1,印尼,64000,64000052,360
061,2010,37,高雄市,三民區,M,1,55~59,1,越南,64000,64000050,704
061,2010,37,高雄市,三民區,M,1,55~59,1,越南,64000,64000051,704
061,2010,37,高雄市,三民區,M,1,55~59,1,越南,64000,64000052,704
061,2010,37,高雄市,鼓山區,F,1,20~24,1,泰國,64000,64000020,764
084,2010,37,新北市,新莊區,M,1,20~24,1,索羅門群島,65000,65000050,090
061,2010,37,新北市,樹林區,M,1,30~34,1,馬來西亞,65000,65000070,458
061,2010,37,新北市,蘆洲區,M,1,25~29,1,越南,65000,65000140,704
061,2010,37,台中市,南屯區,M,1,45~49,1,印度,66000,66000070,356
061,2010,37,台中市,太平區,M,1,50~54,1,印度,66000,66000270,356
061,2010,37,台中市,龍井區,M,1,50~54,1,越南,66000,66000250,704
084,2010,37,台南市,安南區,F,1,20~24,1,印度,67000,67000350,356
061,2010,37,台南市,東區,M,1,50~54,1,泰國,67000,67000320,764
061,2010,37,桃園市,桃園區,F,1,20~24,1,越南,68000,68000010,704
061,2010,37,桃園市,楊梅區,M,1,25~29,1,泰國,68000,68000040,764
061,2010,38,彰化縣,二林鎮,M,1,40~44,1,聖文森及格瑞那丁,10007,10007200,670
006,2010,38,基隆市,中山區,M,1,20~24,1,印尼,10017,10017050,360
056,2010,38,新竹市,東區,M,1,35~39,1,中國,10018,10018010,156
006,2010,38,台北市,信義區,M,1,30~34,1,其他,63000,63000020,OTH
006,2010,38,台北市,士林區,F,1,25~29,1,印尼,63000,63000110,360
002a,2010,38,台北市,士林區,F,1,50~54,1,中國,63000,63000110,156
006,2010,38,台北市,大安區,F,1,20~24,1,印尼,63000,63000030,360
004,2010,38,台北市,文山區,M,1,40~44,1,中國,63000,63000080,156
004,2010,38,台北市,文山區,M,1,40~44,1,中國,63000,63000081,156
004,2010,38,台北市,文山區,M,1,40~44,1,中國,63000,63000082,156
061,2010,38,高雄市,湖內區,F,1,35~39,1,菲律賓,64000,64000250,608
061,2010,38,高雄市,鳳山區,M,1,35~39,1,菲律賓,64000,64000120,608
061,2010,38,新北市,新店區,M,1,60~64,1,柬埔寨,65000,65000060,116
061,2010,38,新北市,汐止區,M,1,55~59,1,泰國,65000,65000110,764
084,2010,38,台中市,北屯區,M,1,40~44,1,布吉納法索,66000,66000080,854
061,2010,38,台中市,太平區,M,1,35~39,1,菲律賓,66000,66000270,608
004,2010,38,台中市,潭子區,F,1,25~29,1,印尼,66000,66000170,360
061,2010,38,台南市,安平區,F,1,35~39,1,印尼,67000,67000360,360
061,2010,38,桃園市,中壢區,F,1,20~24,1,緬甸,68000,68000020,104
002,2010,38,桃園市,中壢區,F,1,30~34,1,印尼,68000,68000020,360
004,2010,38,桃園市,中壢區,M,1,1,1,印尼,68000,68000020,360
004,2010,38,桃園市,中壢區,M,1,2,1,印尼,68000,68000020,360
061,2010,38,桃園市,龍潭區,M,1,25~29,1,菲律賓,68000,68000090,608
4828,2010,39,宜蘭縣,冬山鄉,M,1,70+,1,中國,10002,10002080,156
006,2010,39,彰化縣,永靖鄉,M,1,30~34,1,菲律賓,10007,10007160,608
061,2010,39,南投縣,埔里鎮,F,1,25~29,1,柬埔寨,10008,10008020,116
061,2010,39,台南縣(舊),下營鄉,F,1,35~39,1,印尼,10011,10011080,360
061,2010,39,高雄縣(舊),大寮鄉,M,1,30~34,1,菲律賓,10012,10012030,608
006,2010,39,屏東縣,長治鄉,M,1,30~34,1,印尼,10013,10013060,360
061,2010,39,嘉義市,西區,M,1,55~59,1,泰國,10020,10020020,764
0701,2010,39,台北市,中山區,M,1,40~44,1,越南,63000,63000040,704
061,2010,39,台北市,南港區,M,1,35~39,1,菲律賓,63000,63000090,608
006,2010,39,台北市,大安區,M,1,20~24,1,比利時,63000,63000030,056
061,2010,39,高雄市,鳳山區,F,1,70+,1,菲律賓,64000,64000120,608
006,2010,39,新北市,八里區,F,1,25~29,1,印尼,65000,65000230,360
061,2010,39,新北市,板橋區,F,1,30~34,1,馬來西亞,65000,65000010,458
084,2010,39,台中市,南區,M,1,50~54,1,布吉納法索,66000,66000030,854
006,2010,39,台中市,大里區,M,1,25~29,1,印尼,66000,66000280,360
061,2010,39,台南市,仁德區,F,1,20~24,1,印尼,67000,67000270,360
061,2010,39,台南市,東區,M,1,20~24,1,印度,67000,67000320,356
061,2010,39,台南市,西港區,F,1,60~64,1,越南,67000,67000140,704
061,2010,39,台南市,西港區,M,1,5~9,1,越南,67000,67000140,704
061,2010,39,桃園市,蘆竹區,M,1,25~29,1,菲律賓,68000,68000050,608
061,2010,40,苗栗縣,竹南鎮,M,1,45~49,1,越南,10005,10005040,704
061,2010,40,新竹市,東區,F,1,25~29,1,泰國,10018,10018010,764
061,2010,40,台北市,中山區,F,1,55~59,1,緬甸,63000,63000040,104
0701,2010,40,台北市,內湖區,F,1,15~19,1,泰國,63000,63000100,764
061,2010,40,高雄市,三民區,F,1,60~64,1,其他,64000,64000050,OTH
061,2010,40,高雄市,三民區,F,1,60~64,1,其他,64000,64000051,OTH
061,2010,40,高雄市,三民區,F,1,60~64,1,其他,64000,64000052,OTH
061,2010,40,高雄市,苓雅區,M,1,55~59,1,柬埔寨,64000,64000080,116
004,2010,40,新北市,三重區,F,1,35~39,1,印尼,65000,65000020,360
061,2010,40,新北市,三重區,F,1,40~44,1,越南,65000,65000020,704
061,2010,40,新北市,蘆洲區,M,1,30~34,1,越南,65000,65000140,704
061,2010,40,台中市,北區,M,1,30~34,1,泰國,66000,66000050,764
084,2010,40,台中市,潭子區,M,1,45~49,1,布吉納法索,66000,66000170,854
004,2010,40,台南市,安南區,M,1,30~34,1,印尼,67000,67000350,360
004,2010,40,台南市,新營區,M,1,50~54,1,泰國,67000,67000010,764
061,2010,40,桃園市,中壢區,F,1,20~24,1,印尼,68000,68000020,360
006,2010,40,桃園市,大園區,M,1,25~29,1,越南,68000,68000060,704
006,2010,41,新竹縣,新豐鄉,F,1,35~39,1,其他,10004,10004060,OTH
061,2010,41,屏東縣,屏東市,M,1,55~59,1,越南,10013,10013010,704
004,2010,41,台北市,內湖區,F,1,20~24,1,泰國,63000,63000100,764
061,2010,41,台北市,松山區,F,1,40~44,1,越南,63000,63000010,704
030,2010,41,新北市,三峽區,F,1,50~54,1,不丹,65000,65000090,064
056,2010,41,新北市,中和區,M,1,35~39,1,馬來西亞,65000,65000030,458
061,2010,41,新北市,瑞芳區,M,1,25~29,1,菲律賓,65000,65000120,608
061,2010,41,新北市,蘆洲區,M,1,55~59,1,柬埔寨,65000,65000140,116
006,2010,41,台中市,大里區,F,1,20~24,1,菲律賓,66000,66000280,608
061,2010,41,台中市,清水區,M,1,35~39,1,越南,66000,66000120,704
084,2010,41,台南市,麻豆區,M,1,25~29,1,布吉納法索,67000,67000070,854
006,2010,41,桃園市,大園區,F,1,30~34,1,菲律賓,68000,68000060,608
004,2010,41,桃園市,桃園區,F,1,25~29,1,印尼,68000,68000010,360
006,2010,42,宜蘭縣,員山鄉,F,1,20~24,1,印尼,10002,10002070,360
061,2010,42,苗栗縣,苗栗市,M,1,25~29,1,越南,10005,10005010,704
006,2010,42,嘉義縣,新港鄉,F,1,25~29,1,印尼,10010,10010070,360
