確定病名,建檔年份,建檔週別,縣市,鄉鎮,性別,非本國籍,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
010m,2010,12,宜蘭縣,三星鄉,M,0,65~69,1,10002,10002100
010m,2010,12,南投縣,信義鄉,F,0,25~29,1,10008,10008120
010m,2010,12,花蓮縣,新城鄉,F,0,55~59,1,10015,10015040
010m,2010,12,基隆市,中山區,F,0,70+,1,10017,10017050
010m,2010,12,台北市,信義區,M,0,70+,1,63000,63000020
010m,2010,12,高雄市,岡山區,M,0,40~44,1,64000,64000190
010m,2010,12,台南市,安南區,M,0,45~49,1,67000,67000350
010m,2010,13,新竹市,北區,F,0,55~59,1,10018,10018020
010m,2010,13,新竹市,東區,M,0,70+,1,10018,10018010
010m,2010,13,高雄市,前鎮區,M,0,50~54,1,64000,64000090
010m,2010,13,新北市,三重區,M,0,45~49,1,65000,65000020
010m,2010,13,台南市,學甲區,F,0,70+,1,67000,67000130
010m,2010,13,台南市,將軍區,M,0,35~39,1,67000,67000160
010m,2010,14,南投縣,草屯鎮,M,0,30~34,1,10008,10008030
010m,2010,14,花蓮縣,花蓮市,M,0,60~64,1,10015,10015010
010m,2010,15,台東縣,台東市,F,0,70+,1,10014,10014010
010m,2010,15,台北市,內湖區,F,0,30~34,1,63000,63000100
010m,2010,16,南投縣,信義鄉,M,0,45~49,1,10008,10008120
010m,2010,16,雲林縣,西螺鎮,M,0,50~54,1,10009,10009040
010m,2010,16,嘉義市,西區,M,0,70+,1,10020,10020020
010m,2010,16,高雄市,鳥松區,F,0,70+,1,64000,64000180
010m,2010,16,台南市,佳里區,M,0,35~39,1,67000,67000120
010m,2010,17,高雄市,仁武區,M,0,40~44,1,64000,64000170
010m,2010,17,台中市,西屯區,F,0,25~29,1,66000,66000060
010m,2010,17,台南市,大內區,M,0,50~54,1,67000,67000110
010m,2010,18,高雄市,三民區,F,0,55~59,1,64000,64000050
010m,2010,18,高雄市,三民區,F,0,55~59,1,64000,64000051
010m,2010,18,高雄市,三民區,F,0,55~59,1,64000,64000052
010m,2010,18,新北市,瑞芳區,F,0,70+,1,65000,65000120
010m,2010,18,台中市,大甲區,M,0,60~64,1,66000,66000110
010m,2010,18,桃園市,大園區,F,0,45~49,1,68000,68000060
010m,2010,19,高雄市,大樹區,M,0,70+,1,64000,64000150
010m,2010,20,高雄市,小港區,M,0,60~64,1,64000,64000110
010m,2010,21,南投縣,仁愛鄉,M,0,45~49,1,10008,10008130
010m,2010,21,台北市,文山區,M,0,40~44,1,63000,63000080
010m,2010,21,台北市,文山區,M,0,40~44,1,63000,63000081
010m,2010,21,台北市,文山區,M,0,40~44,1,63000,63000082
010m,2010,21,新北市,板橋區,F,0,30~34,1,65000,65000010
010m,2010,21,新北市,汐止區,M,0,65~69,1,65000,65000110
010m,2010,21,新北市,淡水區,F,1,25~29,1,65000,65000100
010m,2010,23,台東縣,關山鎮,M,0,35~39,1,10014,10014030
010m,2010,23,基隆市,安樂區,M,0,65~69,1,10017,10017060
010m,2010,23,新北市,板橋區,F,0,70+,1,65000,65000010
010m,2010,23,台中市,神岡區,M,0,55~59,1,66000,66000160
010m,2010,24,彰化縣,鹿港鎮,M,0,70+,1,10007,10007020
010m,2010,24,南投縣,仁愛鄉,M,0,45~49,1,10008,10008130
010m,2010,24,屏東縣,竹田鄉,M,0,20~24,1,10013,10013140
010m,2010,24,台中市,北區,M,0,60~64,1,66000,66000050
010m,2010,25,彰化縣,鹿港鎮,M,0,55~59,1,10007,10007020
010m,2010,25,新竹市,北區,F,0,70+,1,10018,10018020
010m,2010,25,高雄市,大樹區,F,0,35~39,1,64000,64000150
010m,2010,26,新竹縣,竹北市,F,1,25~29,1,10004,10004010
010m,2010,26,花蓮縣,萬榮鄉,M,0,55~59,1,10015,10015120
010m,2010,26,台北市,文山區,M,0,70+,1,63000,63000080
010m,2010,26,台北市,文山區,M,0,70+,1,63000,63000081
010m,2010,26,台北市,文山區,M,0,70+,1,63000,63000082
010m,2010,27,宜蘭縣,南澳鄉,M,0,20~24,1,10002,10002120
010m,2010,27,南投縣,埔里鎮,M,0,70+,1,10008,10008020
010m,2010,27,台北市,士林區,M,0,70+,1,63000,63000110
010m,2010,27,新北市,板橋區,M,0,60~64,1,65000,65000010
010m,2010,27,台中市,大肚區,M,0,70+,1,66000,66000240
010m,2010,28,花蓮縣,花蓮市,M,0,65~69,1,10015,10015010
010m,2010,28,台北市,內湖區,F,0,40~44,1,63000,63000100
010m,2010,28,高雄市,小港區,F,0,70+,1,64000,64000110
010m,2010,28,台南市,永康區,F,1,60~64,1,67000,67000310
010m,2010,29,新竹縣,竹北市,F,0,40~44,1,10004,10004010
010m,2010,29,台中市,烏日區,M,0,70+,1,66000,66000230
010m,2010,30,屏東縣,恆春鎮,M,0,50~54,1,10013,10013040
010m,2010,30,屏東縣,枋寮鄉,M,0,45~49,1,10013,10013160
010m,2010,30,高雄市,六龜區,M,0,55~59,1,64000,64000320
010m,2010,31,新北市,瑞芳區,M,0,45~49,1,65000,65000120
010m,2010,32,屏東縣,高樹鄉,M,0,30~34,1,10013,10013110
010m,2010,32,花蓮縣,花蓮市,F,0,40~44,1,10015,10015010
010m,2010,32,高雄市,三民區,M,0,45~49,1,64000,64000050
010m,2010,32,高雄市,三民區,M,0,45~49,1,64000,64000051
010m,2010,32,高雄市,三民區,M,0,45~49,1,64000,64000052
010m,2010,32,高雄市,前金區,F,0,20~24,1,64000,64000070
010m,2010,32,高雄市,鳳山區,M,0,60~64,1,64000,64000120
010m,2010,32,高雄市,鼓山區,M,0,65~69,1,64000,64000020
010m,2010,32,新北市,永和區,M,0,30~34,1,65000,65000040
010m,2010,33,台北市,中正區,F,0,20~24,1,63000,63000050
010m,2010,33,桃園市,大溪區,M,0,55~59,1,68000,68000030
010m,2010,34,宜蘭縣,南澳鄉,M,0,65~69,1,10002,10002120
010m,2010,34,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
010m,2010,34,高雄市,小港區,M,0,25~29,1,64000,64000110
010m,2010,34,新北市,三重區,M,0,50~54,1,65000,65000020
010m,2010,34,新北市,新莊區,F,0,70+,1,65000,65000050
010m,2010,34,台中市,東區,M,0,70+,1,66000,66000020
010m,2010,35,雲林縣,斗南鎮,M,0,55~59,1,10009,10009020
010m,2010,35,新北市,板橋區,M,0,70+,1,65000,65000010
010m,2010,35,台南市,官田區,F,0,70+,1,67000,67000100
010m,2010,36,彰化縣,芳苑鄉,F,0,70+,1,10007,10007230
010m,2010,36,花蓮縣,吉安鄉,F,0,70+,1,10015,10015050
010m,2010,36,新北市,新莊區,M,0,60~64,1,65000,65000050
010m,2010,37,雲林縣,元長鄉,M,0,45~49,1,10009,10009170
010m,2010,37,台中市,大雅區,F,0,55~59,1,66000,66000180
010m,2010,37,台南市,安南區,M,0,30~34,1,67000,67000350
010m,2010,39,高雄市,三民區,M,0,35~39,1,64000,64000050
010m,2010,39,高雄市,三民區,M,0,35~39,1,64000,64000051
010m,2010,39,高雄市,三民區,M,0,35~39,1,64000,64000052
010m,2010,39,高雄市,三民區,M,0,70+,1,64000,64000050
010m,2010,39,高雄市,三民區,M,0,70+,1,64000,64000051
010m,2010,39,高雄市,三民區,M,0,70+,1,64000,64000052
010m,2010,39,新北市,蘆洲區,F,0,25~29,1,65000,65000140
010m,2010,39,桃園市,八德區,M,0,55~59,1,68000,68000080
010m,2010,39,桃園市,龜山區,M,0,30~34,1,68000,68000070
010m,2010,40,嘉義縣,朴子市,M,0,40~44,1,10010,10010020
010m,2010,41,彰化縣,埔鹽鄉,F,0,70+,1,10007,10007140
010m,2010,41,台北市,北投區,F,0,70+,1,63000,63000120
010m,2010,41,台中市,太平區,M,0,30~34,1,66000,66000270
010m,2010,41,台中市,潭子區,M,0,70+,1,66000,66000170
010m,2010,42,雲林縣,台西鄉,M,0,70+,1,10009,10009160
010m,2010,42,嘉義縣,新港鄉,M,0,50~54,1,10010,10010070
010m,2010,42,新北市,汐止區,F,0,10~14,1,65000,65000110
010m,2010,43,新北市,汐止區,M,0,50~54,1,65000,65000110
010m,2010,44,南投縣,埔里鎮,M,0,70+,1,10008,10008020
010m,2010,44,台東縣,台東市,M,0,70+,1,10014,10014010
010m,2010,44,花蓮縣,卓溪鄉,M,0,60~64,1,10015,10015130
010m,2010,44,台北市,士林區,M,0,30~34,1,63000,63000110
010m,2010,44,新北市,中和區,M,0,55~59,1,65000,65000030
010m,2010,45,台東縣,卑南鄉,F,0,70+,1,10014,10014040
010m,2010,45,新北市,林口區,M,0,40~44,1,65000,65000170
010m,2010,46,屏東縣,新園鄉,M,0,55~59,1,10013,10013170
010m,2010,46,花蓮縣,秀林鄉,M,0,55~59,1,10015,10015110
010m,2010,46,新北市,三重區,F,0,55~59,1,65000,65000020
010m,2010,46,台中市,大肚區,F,0,70+,1,66000,66000240
010m,2010,47,基隆市,中正區,M,1,30~34,1,10017,10017010
010m,2010,47,新竹市,東區,F,0,25~29,1,10018,10018010
010m,2010,47,台南市,東區,F,1,25~29,1,67000,67000320
010m,2010,47,台南市,西港區,M,0,60~64,1,67000,67000140
010m,2010,48,宜蘭縣,羅東鎮,M,1,20~24,1,10002,10002020
010m,2010,48,雲林縣,水林鄉,M,0,35~39,1,10009,10009200
010m,2010,48,嘉義縣,竹崎鄉,M,0,70+,1,10010,10010140
010m,2010,48,新北市,中和區,M,0,65~69,1,65000,65000030
010m,2010,50,彰化縣,大村鄉,M,0,20~24,1,10007,10007130
010m,2010,50,台中市,清水區,M,0,65~69,1,66000,66000120
010m,2010,52,新竹縣,五峰鄉,M,0,40~44,1,10004,10004130
010m,2010,52,台東縣,台東市,M,0,40~44,1,10014,10014010
010m,2010,52,台北市,文山區,F,0,70+,1,63000,63000080
010m,2010,52,台北市,文山區,F,0,70+,1,63000,63000081
010m,2010,52,台北市,文山區,F,0,70+,1,63000,63000082
010m,2010,52,高雄市,林園區,M,0,65~69,1,64000,64000130
010m,2010,52,高雄市,楠梓區,F,0,50~54,1,64000,64000040
010m,2011,1,台中市,潭子區,M,0,60~64,1,66000,66000170
010m,2011,1,台南市,北區,F,0,55~59,1,67000,67000340
010m,2011,1,桃園市,桃園區,F,1,20~24,1,68000,68000010
010m,2011,2,屏東縣,萬巒鄉,M,0,40~44,1,10013,10013120
010m,2011,2,高雄市,左營區,M,0,50~54,1,64000,64000030
010m,2011,3,台南市,東區,M,0,40~44,1,67000,67000320
010m,2011,4,彰化縣,社頭鄉,M,0,25~29,1,10007,10007170
010m,2011,4,嘉義縣,六腳鄉,F,0,60~64,1,10010,10010080
010m,2011,4,屏東縣,車城鄉,M,0,50~54,1,10013,10013230
010m,2011,4,台南市,官田區,M,0,70+,1,67000,67000100
010m,2011,5,台南市,東區,F,0,30~34,1,67000,67000320
010m,2011,6,屏東縣,枋寮鄉,M,0,50~54,1,10013,10013160
010m,2011,6,台北市,內湖區,F,1,30~34,1,63000,63000100
010m,2011,6,台北市,北投區,F,0,20~24,1,63000,63000120
010m,2011,6,台北市,士林區,F,0,30~34,1,63000,63000110
010m,2011,7,嘉義縣,太保市,M,0,45~49,1,10010,10010010
010m,2011,7,台東縣,金峰鄉,F,0,35~39,1,10014,10014140
010m,2011,7,高雄市,楠梓區,F,0,70+,1,64000,64000040
010m,2011,7,台中市,潭子區,M,0,50~54,1,66000,66000170
010m,2011,7,台南市,下營區,M,0,60~64,1,67000,67000080
010m,2011,8,南投縣,仁愛鄉,F,0,35~39,1,10008,10008130
010m,2011,8,南投縣,信義鄉,M,0,35~39,1,10008,10008120
010m,2011,8,台東縣,鹿野鄉,F,0,70+,1,10014,10014050
010m,2011,8,台北市,大安區,F,0,25~29,1,63000,63000030
010m,2011,8,高雄市,三民區,M,0,70+,1,64000,64000050
010m,2011,8,高雄市,三民區,M,0,70+,1,64000,64000051
010m,2011,8,高雄市,三民區,M,0,70+,1,64000,64000052
010m,2011,8,高雄市,仁武區,M,0,60~64,1,64000,64000170
010m,2011,8,高雄市,大寮區,M,0,15~19,1,64000,64000140
010m,2011,8,台南市,歸仁區,M,0,55~59,1,67000,67000280
010m,2011,9,彰化縣,彰化市,M,0,40~44,1,10007,10007010
010m,2011,9,新北市,三重區,F,0,40~44,1,65000,65000020
010m,2011,9,新北市,蘆洲區,M,0,45~49,1,65000,65000140
010m,2011,9,台中市,豐原區,M,0,45~49,1,66000,66000090
010m,2011,10,花蓮縣,萬榮鄉,F,0,60~64,1,10015,10015120
010m,2011,10,台南市,東區,M,0,70+,1,67000,67000320
010m,2011,11,基隆市,仁愛區,M,0,60~64,1,10017,10017040
010m,2011,12,南投縣,仁愛鄉,F,0,70+,1,10008,10008130
010m,2011,12,雲林縣,口湖鄉,M,0,50~54,1,10009,10009190
010m,2011,12,花蓮縣,秀林鄉,M,0,60~64,1,10015,10015110
010m,2011,12,高雄市,三民區,F,0,70+,1,64000,64000050
010m,2011,12,高雄市,三民區,F,0,70+,1,64000,64000051
010m,2011,12,高雄市,三民區,F,0,70+,1,64000,64000052
010m,2011,12,台中市,北屯區,M,0,50~54,1,66000,66000080
010m,2011,13,新竹縣,竹北市,M,0,70+,1,10004,10004010
010m,2011,13,台北市,萬華區,M,0,60~64,1,63000,63000070
010m,2011,13,台北市,萬華區,M,0,60~64,1,63000,63000071
010m,2011,13,台北市,萬華區,M,0,60~64,1,63000,63000072
010m,2011,13,高雄市,旗津區,M,0,65~69,1,64000,64000100
010m,2011,13,桃園市,平鎮區,M,0,70+,1,68000,68000100
010m,2011,14,高雄市,三民區,M,0,70+,1,64000,64000050
010m,2011,14,高雄市,三民區,M,0,70+,1,64000,64000051
010m,2011,14,高雄市,三民區,M,0,70+,1,64000,64000052
010m,2011,14,高雄市,小港區,M,0,55~59,1,64000,64000110
010m,2011,14,新北市,板橋區,F,0,25~29,1,65000,65000010
010m,2011,14,台中市,太平區,M,0,70+,1,66000,66000270
010m,2011,15,雲林縣,褒忠鄉,M,0,50~54,1,10009,10009150
010m,2011,15,嘉義市,西區,M,0,70+,1,10020,10020020
010m,2011,15,高雄市,大寮區,M,0,40~44,1,64000,64000140
010m,2011,15,台南市,安南區,M,0,50~54,1,67000,67000350
010m,2011,16,彰化縣,福興鄉,M,0,60~64,1,10007,10007060
010m,2011,16,台北市,大安區,F,0,70+,1,63000,63000030
010m,2011,17,新竹縣,湖口鄉,M,0,35~39,1,10004,10004050
010m,2011,17,彰化縣,二林鎮,F,0,70+,1,10007,10007200
010m,2011,17,南投縣,國姓鄉,M,0,55~59,1,10008,10008100
010m,2011,17,台北市,中山區,M,0,65~69,1,63000,63000040
010m,2011,17,新北市,新店區,M,0,40~44,1,65000,65000060
010m,2011,17,台南市,官田區,M,0,20~24,1,67000,67000100
010m,2011,18,台南市,東區,M,0,15~19,1,67000,67000320
010m,2011,20,彰化縣,和美鎮,M,0,45~49,1,10007,10007030
010m,2011,20,屏東縣,潮州鎮,M,0,50~54,1,10013,10013020
010m,2011,20,台中市,南區,M,0,20~24,1,66000,66000030
010m,2011,21,新北市,三峽區,F,0,35~39,1,65000,65000090
010m,2011,22,宜蘭縣,頭城鎮,M,0,30~34,1,10002,10002040
010m,2011,22,雲林縣,林內鄉,M,0,70+,1,10009,10009100
010m,2011,22,桃園市,平鎮區,M,0,55~59,1,68000,68000100
010m,2011,23,嘉義縣,六腳鄉,F,0,70+,1,10010,10010080
010m,2011,23,嘉義縣,六腳鄉,M,0,70+,1,10010,10010080
010m,2011,23,高雄市,那瑪夏區,M,0,45~49,1,64000,64000380
010m,2011,23,新北市,新莊區,F,0,40~44,1,65000,65000050
010m,2011,23,台中市,大甲區,M,0,70+,1,66000,66000110
010m,2011,23,桃園市,龜山區,M,0,50~54,1,68000,68000070
010m,2011,24,新北市,汐止區,M,0,65~69,1,65000,65000110
010m,2011,25,南投縣,仁愛鄉,M,0,55~59,1,10008,10008130
010m,2011,25,嘉義縣,民雄鄉,M,0,50~54,1,10010,10010050
010m,2011,25,嘉義市,西區,M,0,50~54,1,10020,10020020
010m,2011,25,台北市,內湖區,F,0,50~54,1,63000,63000100
010m,2011,25,台北市,北投區,M,0,45~49,1,63000,63000120
010m,2011,25,高雄市,苓雅區,M,0,60~64,1,64000,64000080
010m,2011,25,新北市,板橋區,M,0,60~64,1,65000,65000010
010m,2011,26,屏東縣,瑪家鄉,M,0,45~49,1,10013,10013280
010m,2011,26,台東縣,台東市,M,0,30~34,1,10014,10014010
010m,2011,26,新北市,板橋區,F,0,60~64,1,65000,65000010
010m,2011,27,台北市,北投區,M,0,65~69,1,63000,63000120
010m,2011,28,彰化縣,大城鄉,M,0,70+,1,10007,10007240
010m,2011,28,台中市,東區,F,0,35~39,1,66000,66000020
010m,2011,28,台南市,東區,M,0,30~34,1,67000,67000320
010m,2011,29,新竹縣,竹北市,M,0,50~54,1,10004,10004010
010m,2011,29,苗栗縣,通霄鎮,F,0,70+,1,10005,10005030
010m,2011,30,花蓮縣,瑞穗鄉,M,0,70+,1,10015,10015090
010m,2011,30,新北市,坪林區,M,0,70+,1,65000,65000200
010m,2011,30,台南市,六甲區,M,0,70+,1,67000,67000090
010m,2011,31,彰化縣,埔心鄉,F,0,70+,1,10007,10007150
010m,2011,31,高雄市,鳳山區,M,0,60~64,1,64000,64000120
010m,2011,32,宜蘭縣,南澳鄉,M,0,15~19,1,10002,10002120
010m,2011,32,台南市,仁德區,M,0,55~59,1,67000,67000270
010m,2011,33,南投縣,仁愛鄉,F,0,70+,1,10008,10008130
010m,2011,33,雲林縣,崙背鄉,M,0,50~54,1,10009,10009120
010m,2011,33,屏東縣,潮州鎮,M,0,45~49,1,10013,10013020
010m,2011,33,基隆市,中正區,M,0,50~54,1,10017,10017010
010m,2011,33,新北市,中和區,M,0,70+,1,65000,65000030
010m,2011,34,高雄市,鹽埕區,M,0,25~29,1,64000,64000010
010m,2011,34,新北市,新莊區,F,0,30~34,1,65000,65000050
010m,2011,34,新北市,樹林區,M,0,55~59,1,65000,65000070
010m,2011,34,台中市,大雅區,F,1,25~29,1,66000,66000180
010m,2011,35,宜蘭縣,南澳鄉,F,0,45~49,1,10002,10002120
010m,2011,35,高雄市,鳳山區,M,0,65~69,1,64000,64000120
010m,2011,35,台中市,神岡區,M,0,70+,1,66000,66000160
010m,2011,35,桃園市,龍潭區,M,0,55~59,1,68000,68000090
010m,2011,36,宜蘭縣,宜蘭市,F,0,55~59,1,10002,10002010
010m,2011,36,台中市,大甲區,F,0,45~49,1,66000,66000110
010m,2011,36,台南市,南區,M,0,35~39,1,67000,67000330
010m,2011,36,台南市,東區,F,0,30~34,1,67000,67000320
010m,2011,36,桃園市,大溪區,M,0,70+,1,68000,68000030
010m,2011,37,新北市,中和區,M,0,40~44,1,65000,65000030
010m,2011,37,桃園市,復興區,M,0,50~54,1,68000,68000130
010m,2011,38,彰化縣,大城鄉,F,0,70+,1,10007,10007240
010m,2011,38,彰化縣,田中鎮,M,0,35~39,1,10007,10007120
010m,2011,38,嘉義市,西區,M,0,50~54,1,10020,10020020
010m,2011,38,台北市,內湖區,M,0,45~49,1,63000,63000100
010m,2011,38,桃園市,龜山區,M,0,35~39,1,68000,68000070
010m,2011,39,南投縣,仁愛鄉,F,0,70+,1,10008,10008130
010m,2011,40,彰化縣,二林鎮,F,0,70+,1,10007,10007200
010m,2011,40,花蓮縣,秀林鄉,F,0,45~49,1,10015,10015110
010m,2011,40,台北市,松山區,F,0,65~69,1,63000,63000010
010m,2011,40,高雄市,前鎮區,F,0,20~24,1,64000,64000090
010m,2011,40,台中市,龍井區,M,0,35~39,1,66000,66000250
010m,2011,40,桃園市,龜山區,M,0,50~54,1,68000,68000070
010m,2011,41,台北市,士林區,M,0,45~49,1,63000,63000110
010m,2011,41,新北市,土城區,M,0,50~54,1,65000,65000130
010m,2011,41,台中市,東勢區,M,0,60~64,1,66000,66000100
010m,2011,43,彰化縣,員林市,F,0,50~54,1,10007,10007100
010m,2011,43,新北市,淡水區,M,0,60~64,1,65000,65000100
010m,2011,44,高雄市,苓雅區,M,0,55~59,1,64000,64000080
010m,2011,44,高雄市,鳳山區,F,0,40~44,1,64000,64000120
010m,2011,45,新竹縣,竹東鎮,M,0,70+,1,10004,10004020
010m,2011,45,彰化縣,員林市,M,0,60~64,1,10007,10007100
010m,2011,45,高雄市,鳳山區,M,0,40~44,1,64000,64000120
010m,2011,45,新北市,三峽區,M,0,50~54,1,65000,65000090
010m,2011,45,台中市,南屯區,M,0,40~44,1,66000,66000070
010m,2011,45,台南市,永康區,M,0,45~49,1,67000,67000310
010m,2011,46,雲林縣,崙背鄉,M,0,70+,1,10009,10009120
010m,2011,46,新北市,中和區,M,0,50~54,1,65000,65000030
010m,2011,47,屏東縣,恆春鎮,F,0,55~59,1,10013,10013040
010m,2011,47,高雄市,鳳山區,M,0,60~64,1,64000,64000120
010m,2011,47,桃園市,平鎮區,F,0,40~44,1,68000,68000100
010m,2011,48,屏東縣,三地門鄉,F,0,55~59,1,10013,10013260
010m,2011,48,新竹市,東區,M,1,20~24,1,10018,10018010
010m,2011,50,雲林縣,虎尾鎮,M,0,50~54,1,10009,10009030
010m,2011,50,台南市,南區,M,0,70+,1,67000,67000330
010m,2011,51,彰化縣,秀水鄉,F,0,65~69,1,10007,10007070
010m,2011,51,雲林縣,斗南鎮,M,0,65~69,1,10009,10009020
010m,2011,52,台東縣,台東市,M,0,70+,1,10014,10014010
010m,2011,52,台北市,士林區,M,0,65~69,1,63000,63000110
010m,2011,52,新北市,新店區,M,0,20~24,1,65000,65000060
010m,2011,52,新北市,林口區,M,0,55~59,1,65000,65000170
010m,2012,2,屏東縣,枋寮鄉,M,0,70+,1,10013,10013160
010m,2012,2,花蓮縣,秀林鄉,F,0,50~54,1,10015,10015110
010m,2012,2,花蓮縣,秀林鄉,F,0,70+,1,10015,10015110
010m,2012,3,台中市,東區,F,0,40~44,1,66000,66000020
010m,2012,3,台中市,石岡區,M,0,40~44,1,66000,66000200
010m,2012,5,基隆市,中山區,F,0,70+,1,10017,10017050
010m,2012,5,台北市,內湖區,M,0,65~69,1,63000,63000100
010m,2012,6,雲林縣,口湖鄉,M,0,40~44,1,10009,10009190
010m,2012,6,花蓮縣,秀林鄉,M,0,40~44,1,10015,10015110
010m,2012,6,花蓮縣,萬榮鄉,F,0,20~24,1,10015,10015120
010m,2012,6,嘉義市,西區,M,0,50~54,1,10020,10020020
010m,2012,6,高雄市,鳳山區,M,0,60~64,1,64000,64000120
010m,2012,6,台南市,安南區,M,0,55~59,1,67000,67000350
010m,2012,6,桃園市,楊梅區,M,0,50~54,1,68000,68000040
010m,2012,7,雲林縣,四湖鄉,F,0,65~69,1,10009,10009180
010m,2012,7,花蓮縣,秀林鄉,F,0,50~54,1,10015,10015110
010m,2012,7,高雄市,苓雅區,M,0,65~69,1,64000,64000080
010m,2012,8,屏東縣,佳冬鄉,M,0,70+,1,10013,10013210
010m,2012,8,高雄市,前鎮區,M,0,70+,1,64000,64000090
010m,2012,9,基隆市,中正區,M,0,40~44,1,10017,10017010
010m,2012,9,台北市,萬華區,M,0,55~59,1,63000,63000070
010m,2012,9,台北市,萬華區,M,0,55~59,1,63000,63000071
010m,2012,9,台北市,萬華區,M,0,55~59,1,63000,63000072
010m,2012,9,新北市,新莊區,F,0,65~69,1,65000,65000050
010m,2012,10,宜蘭縣,三星鄉,M,0,60~64,1,10002,10002100
010m,2012,10,屏東縣,泰武鄉,M,0,70+,1,10013,10013290
010m,2012,10,花蓮縣,秀林鄉,M,0,20~24,1,10015,10015110
010m,2012,10,高雄市,三民區,M,0,70+,1,64000,64000050
010m,2012,10,高雄市,三民區,M,0,70+,1,64000,64000051
010m,2012,10,高雄市,三民區,M,0,70+,1,64000,64000052
010m,2012,12,新竹縣,湖口鄉,M,1,30~34,1,10004,10004050
010m,2012,12,南投縣,埔里鎮,M,0,45~49,1,10008,10008020
010m,2012,12,雲林縣,口湖鄉,M,0,45~49,1,10009,10009190
010m,2012,13,雲林縣,古坑鄉,F,0,35~39,1,10009,10009070
010m,2012,13,新北市,三重區,M,0,25~29,1,65000,65000020
010m,2012,13,新北市,板橋區,M,0,70+,1,65000,65000010
010m,2012,14,台北市,信義區,M,0,70+,1,63000,63000020
010m,2012,14,台北市,萬華區,M,0,65~69,1,63000,63000070
010m,2012,14,台北市,萬華區,M,0,65~69,1,63000,63000071
010m,2012,14,台北市,萬華區,M,0,65~69,1,63000,63000072
010m,2012,15,花蓮縣,秀林鄉,M,0,25~29,1,10015,10015110
010m,2012,15,新北市,淡水區,M,0,60~64,1,65000,65000100
010m,2012,16,彰化縣,和美鎮,M,0,30~34,1,10007,10007030
010m,2012,16,南投縣,仁愛鄉,M,0,50~54,1,10008,10008130
010m,2012,16,新北市,新店區,M,0,25~29,1,65000,65000060
010m,2012,16,台中市,西區,M,0,45~49,1,66000,66000040
010m,2012,17,花蓮縣,卓溪鄉,M,0,70+,1,10015,10015130
010m,2012,17,基隆市,安樂區,M,0,50~54,1,10017,10017060
010m,2012,17,台北市,內湖區,M,0,25~29,1,63000,63000100
010m,2012,17,台北市,內湖區,M,0,60~64,1,63000,63000100
010m,2012,17,新北市,板橋區,M,0,35~39,1,65000,65000010
010m,2012,17,台中市,外埔區,M,0,70+,1,66000,66000210
010m,2012,18,高雄市,鳳山區,F,0,70+,1,64000,64000120
010m,2012,18,新北市,汐止區,F,0,35~39,1,65000,65000110
010m,2012,18,新北市,汐止區,M,0,40~44,1,65000,65000110
010m,2012,19,高雄市,鳳山區,M,0,65~69,1,64000,64000120
010m,2012,19,高雄市,鼓山區,M,0,40~44,1,64000,64000020
010m,2012,19,台中市,西屯區,M,0,70+,1,66000,66000060
010m,2012,20,彰化縣,埤頭鄉,M,0,55~59,1,10007,10007220
010m,2012,20,彰化縣,鹿港鎮,F,0,70+,1,10007,10007020
010m,2012,21,雲林縣,古坑鄉,F,0,50~54,1,10009,10009070
010m,2012,21,新北市,蘆洲區,M,0,60~64,1,65000,65000140
010m,2012,21,台中市,大雅區,M,0,70+,1,66000,66000180
010m,2012,21,台南市,安南區,M,0,55~59,1,67000,67000350
010m,2012,21,桃園市,蘆竹區,M,0,15~19,1,68000,68000050
010m,2012,22,南投縣,埔里鎮,M,0,55~59,1,10008,10008020
010m,2012,22,嘉義市,西區,F,0,50~54,1,10020,10020020
010m,2012,22,高雄市,鳳山區,M,0,40~44,1,64000,64000120
010m,2012,23,基隆市,仁愛區,M,0,55~59,1,10017,10017040
010m,2012,23,台北市,北投區,M,0,45~49,1,63000,63000120
010m,2012,23,台中市,霧峰區,F,1,20~24,1,66000,66000260
010m,2012,23,台南市,後壁區,M,0,70+,1,67000,67000050
010m,2012,24,花蓮縣,富里鄉,M,0,70+,1,10015,10015100
010m,2012,24,台北市,松山區,F,0,70+,1,63000,63000010
010m,2012,24,新北市,汐止區,F,1,35~39,1,65000,65000110
010m,2012,25,雲林縣,斗六市,F,1,20~24,1,10009,10009010
010m,2012,25,花蓮縣,吉安鄉,M,0,60~64,1,10015,10015050
010m,2012,25,基隆市,中山區,M,0,65~69,1,10017,10017050
010m,2012,25,新北市,蘆洲區,M,0,45~49,1,65000,65000140
010m,2012,25,台中市,潭子區,M,0,65~69,1,66000,66000170
010m,2012,26,屏東縣,屏東市,M,0,65~69,1,10013,10013010
010m,2012,26,桃園市,中壢區,M,0,70+,1,68000,68000020
010m,2012,26,桃園市,楊梅區,F,0,55~59,1,68000,68000040
010m,2012,27,彰化縣,員林市,M,0,60~64,1,10007,10007100
010m,2012,27,屏東縣,新園鄉,M,0,45~49,1,10013,10013170
010m,2012,27,台南市,東區,M,0,35~39,1,67000,67000320
010m,2012,27,桃園市,中壢區,M,0,55~59,1,68000,68000020
010m,2012,28,新竹縣,湖口鄉,F,0,30~34,1,10004,10004050
