確定病名,死亡年份,死亡月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數
嚴重特殊傳染性肺炎,2023,6,台北市,北投區,F,否,70+,6
嚴重特殊傳染性肺炎,2023,6,台北市,北投區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,6,台北市,信義區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台北市,信義區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台北市,信義區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,6,台北市,中正區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台北市,中正區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台北市,萬華區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台北市,萬華區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台北市,萬華區,M,否,70+,6
嚴重特殊傳染性肺炎,2023,6,台北市,文山區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台北市,文山區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,6,台北市,文山區,M,否,70+,7
嚴重特殊傳染性肺炎,2023,6,台中市,豐原區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台中市,豐原區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台中市,東勢區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,台中市,東勢區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,東勢區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台中市,大甲區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台中市,大甲區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台中市,大甲區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,6,台中市,沙鹿區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台中市,沙鹿區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台中市,梧棲區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台中市,梧棲區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,后里區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台中市,后里區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台中市,神岡區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台中市,潭子區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台中市,潭子區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台中市,潭子區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,大雅區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台中市,大雅區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台中市,大雅區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,新社區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,台中市,新社區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台中市,新社區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,石岡區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,石岡區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台中市,外埔區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,大安區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,大安區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,大肚區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台中市,大肚區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,龍井區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,霧峰區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,台中市,霧峰區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台中市,太平區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台中市,太平區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,大里區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台中市,大里區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台中市,大里區,M,否,70+,6
嚴重特殊傳染性肺炎,2023,6,台中市,和平區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,中區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台中市,東區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,台中市,東區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,東區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台中市,西區,F,否,45-49,1
嚴重特殊傳染性肺炎,2023,6,台中市,西區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台中市,西區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台中市,西區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台中市,西區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台中市,南區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,南區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,6,台中市,北區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台中市,北區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,6,台中市,西屯區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台中市,西屯區,M,否,70+,6
嚴重特殊傳染性肺炎,2023,6,台中市,南屯區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台中市,北屯區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,6,台中市,北屯區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台中市,北屯區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,6,台中市,北屯區,M,否,70+,6
嚴重特殊傳染性肺炎,2023,6,台南市,新營區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,新營區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,鹽水區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,鹽水區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台南市,麻豆區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,台南市,麻豆區,M,否,60-64,2
嚴重特殊傳染性肺炎,2023,6,台南市,麻豆區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,佳里區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台南市,佳里區,M,否,70+,7
嚴重特殊傳染性肺炎,2023,6,台南市,新化區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台南市,善化區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,善化區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,學甲區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,學甲區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,柳營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,後壁區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,東山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,下營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,六甲區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台南市,官田區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,台南市,官田區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,大內區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台南市,西港區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,西港區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,七股區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台南市,將軍區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,北門區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,新市區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,安定區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,安定區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,山上區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,玉井區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,南化區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,左鎮區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,仁德區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,歸仁區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,歸仁區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,關廟區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台南市,關廟區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,關廟區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,永康區,M,否,65-69,2
嚴重特殊傳染性肺炎,2023,6,台南市,永康區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,永康區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,6,台南市,東區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,6,台南市,東區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台南市,東區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,6,台南市,南區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,6,台南市,南區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,南區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,台南市,中西區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,台南市,中西區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,台南市,北區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台南市,北區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台南市,北區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,北區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,台南市,安南區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,台南市,安南區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,台南市,安南區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,安南區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,台南市,安平區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,鳳山區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,6,高雄市,鳳山區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,高雄市,鳳山區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,高雄市,鳳山區,M,否,60-64,3
嚴重特殊傳染性肺炎,2023,6,高雄市,鳳山區,F,否,70+,9
嚴重特殊傳染性肺炎,2023,6,高雄市,鳳山區,M,否,70+,7
嚴重特殊傳染性肺炎,2023,6,高雄市,岡山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,岡山區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,高雄市,旗山區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,6,高雄市,旗山區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,高雄市,旗山區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,美濃區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,林園區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,林園區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,大寮區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,高雄市,大寮區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,高雄市,大寮區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,高雄市,大寮區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,大寮區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,大樹區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,大樹區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,仁武區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,高雄市,大社區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,高雄市,大社區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,高雄市,大社區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,大社區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,鳥松區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,高雄市,鳥松區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,橋頭區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,6,高雄市,橋頭區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,橋頭區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,燕巢區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,田寮區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,阿蓮區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,湖內區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,高雄市,湖內區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,茄萣區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,茄萣區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,彌陀區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,彌陀區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,梓官區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,六龜區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,六龜區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,杉林區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,高雄市,杉林區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,內門區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,高雄市,內門區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,內門區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,茂林區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,鹽埕區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,鼓山區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,6,高雄市,鼓山區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,高雄市,鼓山區,F,否,65-69,2
嚴重特殊傳染性肺炎,2023,6,高雄市,鼓山區,F,否,70+,5
嚴重特殊傳染性肺炎,2023,6,高雄市,鼓山區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,左營區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,高雄市,左營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,高雄市,左營區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,高雄市,楠梓區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,楠梓區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,三民區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,高雄市,三民區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,高雄市,三民區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,高雄市,三民區,F,否,70+,11
嚴重特殊傳染性肺炎,2023,6,高雄市,三民區,M,否,70+,7
嚴重特殊傳染性肺炎,2023,6,高雄市,新興區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,前金區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,高雄市,苓雅區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,高雄市,苓雅區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,高雄市,苓雅區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,6,高雄市,前鎮區,M,否,60-64,3
嚴重特殊傳染性肺炎,2023,6,高雄市,前鎮區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,高雄市,前鎮區,M,否,70+,8
嚴重特殊傳染性肺炎,2023,6,高雄市,小港區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,高雄市,小港區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,高雄市,小港區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,高雄市,小港區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,基隆市,中正區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,基隆市,七堵區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,基隆市,暖暖區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,基隆市,仁愛區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,基隆市,中山區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,基隆市,安樂區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,基隆市,安樂區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,基隆市,信義區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,基隆市,信義區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹市,東區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新竹市,東區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹市,東區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,新竹市,北區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新竹市,北區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹市,北區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,6,新竹市,香山區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,6,新竹市,香山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,嘉義市,東區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,嘉義市,東區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,嘉義市,東區,M,否,70+,6
嚴重特殊傳染性肺炎,2023,6,嘉義市,西區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,嘉義市,西區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新北市,板橋區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,新北市,板橋區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新北市,板橋區,F,否,70+,8
嚴重特殊傳染性肺炎,2023,6,新北市,板橋區,M,否,70+,12
嚴重特殊傳染性肺炎,2023,6,新北市,三重區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新北市,三重區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,6,新北市,三重區,M,否,70+,6
嚴重特殊傳染性肺炎,2023,6,新北市,永和區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,6,新北市,永和區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,6,新北市,中和區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,6,新北市,中和區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,新北市,中和區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,新北市,中和區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新北市,中和區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新北市,中和區,F,否,70+,7
嚴重特殊傳染性肺炎,2023,6,新北市,中和區,M,否,70+,11
嚴重特殊傳染性肺炎,2023,6,新北市,新店區,M,否,65-69,2
嚴重特殊傳染性肺炎,2023,6,新北市,新店區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,6,新北市,新店區,M,否,70+,6
嚴重特殊傳染性肺炎,2023,6,新北市,新莊區,M,否,20-24,1
嚴重特殊傳染性肺炎,2023,6,新北市,新莊區,M,否,55-59,2
嚴重特殊傳染性肺炎,2023,6,新北市,新莊區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,新北市,新莊區,F,否,70+,8
嚴重特殊傳染性肺炎,2023,6,新北市,新莊區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,6,新北市,樹林區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,6,新北市,鶯歌區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新北市,鶯歌區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,新北市,三峽區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,新北市,三峽區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,6,新北市,三峽區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,新北市,淡水區,F,否,40-44,1
嚴重特殊傳染性肺炎,2023,6,新北市,淡水區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,6,新北市,淡水區,F,否,70+,5
嚴重特殊傳染性肺炎,2023,6,新北市,淡水區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新北市,汐止區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,新北市,汐止區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新北市,汐止區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新北市,瑞芳區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,新北市,瑞芳區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新北市,瑞芳區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,新北市,土城區,M,否,60-64,2
嚴重特殊傳染性肺炎,2023,6,新北市,土城區,M,否,65-69,2
嚴重特殊傳染性肺炎,2023,6,新北市,土城區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新北市,土城區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新北市,蘆洲區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新北市,蘆洲區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,新北市,蘆洲區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,6,新北市,五股區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新北市,五股區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,新北市,泰山區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新北市,泰山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新北市,林口區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新北市,八里區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,新北市,八里區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新北市,八里區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新北市,雙溪區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,桃園市,桃園區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,6,桃園市,桃園區,F,否,50-54,1
嚴重特殊傳染性肺炎,2023,6,桃園市,桃園區,F,否,70+,6
嚴重特殊傳染性肺炎,2023,6,桃園市,桃園區,M,否,70+,8
嚴重特殊傳染性肺炎,2023,6,桃園市,中壢區,F,否,70+,5
嚴重特殊傳染性肺炎,2023,6,桃園市,中壢區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,6,桃園市,大溪區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,桃園市,楊梅區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,桃園市,楊梅區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,桃園市,大園區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,桃園市,大園區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,桃園市,龜山區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,桃園市,龜山區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,桃園市,龜山區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,6,桃園市,龜山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,桃園市,八德區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,桃園市,八德區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,桃園市,龍潭區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,桃園市,龍潭區,M,否,70+,6
嚴重特殊傳染性肺炎,2023,6,桃園市,平鎮區,F,否,60-64,2
嚴重特殊傳染性肺炎,2023,6,桃園市,平鎮區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,桃園市,平鎮區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,桃園市,平鎮區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,桃園市,新屋區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,桃園市,新屋區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,桃園市,觀音區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,桃園市,觀音區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,桃園市,復興區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,桃園市,復興區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹縣,關西鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹縣,關西鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹縣,竹東鎮,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新竹縣,竹東鎮,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新竹縣,竹東鎮,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新竹縣,竹北市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹縣,竹北市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹縣,湖口鄉,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,新竹縣,湖口鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹縣,湖口鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹縣,新豐鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,新竹縣,新豐鄉,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,新竹縣,峨眉鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,宜蘭市,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,宜蘭市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,宜蘭市,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,頭城鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,礁溪鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,礁溪鄉,M,否,70+,2
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,壯圍鄉,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,壯圍鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,五結鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,五結鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,宜蘭縣,三星鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,苗栗縣,苗栗市,F,否,70+,2
嚴重特殊傳染性肺炎,2023,6,苗栗縣,苗栗市,M,否,70+,3
嚴重特殊傳染性肺炎,2023,6,苗栗縣,竹南鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,6,苗栗縣,頭份市,F,否,70+,3
嚴重特殊傳染性肺炎,2023,6,苗栗縣,後龍鎮,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,6,苗栗縣,後龍鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,苗栗縣,公館鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,6,苗栗縣,三義鄉,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,6,苗栗縣,三義鄉,M,否,70+,1
